compound_id,smiles,generation,source,fitness,SA_score,LogP_score,Cycle_score,chromosome,parent1_id,parent2_id
0,COC(=O)[C@@H](C)Sc1ccccc1C(=O)Nc1nc(-c2ccccc2Cl)cs1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",initial,2.949042980857732,0.4948563681870809,2.2783234981424862,0.17586311452816475,,,
1,COC[C@@H](NC(=O)c1cn(Cc2c(F)cccc2F)nn1)c1ccnn1C,"[0, 1, 2]",initial,-0.7791180542596258,-0.1198227878827191,-0.8351583809050714,0.17586311452816475,,,
2,[H]OC(N([H])C1=C(F)C(F)=C([H])C([H])=C1[H])=C([H])C1=NN([H])C(N=C2N([H])C([H])=NC3=C([H])C(OC([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])O[H])=C(OC([H])([H])[H])C([H])=C23)=C1[H],"[0, 1, 2, 3, 4, 5]",initial,0.5540423902631341,-0.6968500606600245,1.0750293363949939,0.17586311452816475,,,
3,Cc1ccc(CNC[C@@H]2CC[C@H]3CCCC[C@@H]3[NH2+]2)s1,"[0, 1]",initial,-1.5145525857940738,-1.6309787282517658,-0.059436972070472854,0.17586311452816475,,,
4,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1)N1CCCC1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",initial,2.264283685202811,0.8947801278955769,1.1936404427790694,0.17586311452816475,,,
5,C[C@H](Sc1nnc(-c2ccccc2)n1Cc1ccc2c(c1)OCO2)C(N)=O,"[0, 1, 2, 3, 4, 5]",initial,0.8045387562885472,0.48344282543048883,0.14523281632989363,0.17586311452816475,,,
6,CCc1nnc2sc(NC(=O)COc3ccccc3)nn12,"[0, 1, 2, 3, 4, 5]",initial,0.5866945363473032,0.9993009758315108,-0.5884695540123723,0.17586311452816475,,,
7,C[C@H](c1ccccc1)S(=O)(=O)c1ccc2c(c1)OCCCO2,"[0, 1]",initial,-4.517212119358897,0.47107278472149905,0.6979557989969307,-5.686240703077327,,,
8,CC[C@H]1CC[C@H](C(=O)[C@@H]2CCOC3(CCC3)C2)C1,"[0, 1, 2]",initial,-0.20934122062501745,-1.3602375878964124,0.9750332527432302,0.17586311452816475,,,
9,COCCN(C(=O)c1nn(C)c2c1CSc1ccccc1-2)C1CCN(C(C)=O)CC1,"[0, 1, 2]",initial,0.7412935662318724,0.3372255468703996,0.22820490483330813,0.17586311452816475,,,
