compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
2,CC(C)NC(=O)CCc1csc(-c2ccccc2)n1,"[0, 1]","[-0.9222946  -0.1095081  -2.2281098  -2.1165957  -0.0874821   1.0233388
 -0.36404085 -0.2694559  -0.77588344 -1.0352279   0.5142749   0.6003407
 -0.28303564  0.2981443  -1.1198479  -1.1969192  -0.50024915  0.02774973
 -0.27213702  1.5781009  -0.6348709  -0.21338418 -0.48774874  2.119253
  0.5229201  -0.9015068  -0.59218985  0.18036115 -0.19021711  0.56240606
 -1.3117582   0.8831589  -0.60129315 -0.05676025 -0.07379728  0.1324763
 -0.7475621   0.08597478 -0.83218956 -0.65560806  0.5130106  -0.16339412
 -0.49280947  1.5532336  -0.01224223  1.4499588   0.8708356   0.07639474
  0.01316035 -1.2671232   0.4146753   0.01580203  0.5106809   0.6960571
  0.8590362   0.59100664 -0.6830012  -0.7919301   0.20514387  0.4984113
 -1.0465512  -0.66700375 -0.32849026 -1.4813434  -0.55635685  0.00815332
  0.009824   -0.647982   -0.22120051  0.26415485 -0.14856216 -0.02817729
  0.16483259  0.5925667  -1.0276501  -0.39411056 -0.41052246  0.18144199
  0.28749794  0.5053369   0.9966727  -0.23851311  0.08447762  0.16795038
  0.30999324  0.13103789  0.53639084 -0.22543901  0.1144297   0.04976642
  0.00964327 -0.6141299  -0.59324706 -0.12740557  0.5319807   0.90115666
 -0.39691016  0.03289542 -0.66459215 -0.4525159  -0.44165587 -0.07202473
 -0.0306095   0.14843526 -0.0579726   0.17217784  0.25986695 -1.3453428
  0.2711107   0.11465079 -0.09277402 -0.02783795 -1.3328289  -0.64927477
  0.05801901 -1.1226072  -0.420802   -1.5155567   0.29502714 -0.9476068
 -1.0495294   0.11378235  0.08461846  0.24142395  0.01848631  0.7271466
  0.47752097 -0.24415492]",2.272450897739857,,
25,CC(C)CNC(=O)COC(=O)c1c2c(nc3ccccc13)C(=Cc1ccc3c(c1)OCO3)CC2,"[0, 1]","[-3.29368472e+00  2.26673484e-02 -1.50457704e+00 -1.13467240e+00
 -1.11662269e-01 -2.30734587e+00  1.49125159e-01 -4.64494348e-01
 -1.66769385e+00  1.32233715e+00 -6.21618330e-01  5.62407792e-01
  1.30308479e-01  1.38532817e+00  6.73737049e-01  1.05567503e+00
  4.33944464e-01  1.60584736e+00  1.49619710e+00  2.05518031e+00
  1.29533565e+00  2.28409216e-01  7.77685702e-01  6.01336241e-01
 -6.18672669e-02  1.38854921e+00  4.24895048e-01  2.32112348e-01
  4.14035976e-01 -4.21153195e-02 -6.31358624e-01 -1.53121221e+00
 -5.52500486e-02 -4.18857038e-02  9.80230793e-02  1.62277913e+00
 -4.28762853e-01 -4.60056365e-01  2.38253340e-01  8.38086545e-01
  5.63914418e-01 -1.37714624e-01  1.54874671e+00  1.05383682e+00
 -2.46249223e+00 -1.64950579e-01  1.71510920e-01  2.88995981e+00
  1.02182388e+00  1.73658639e-01  6.33055210e-01 -2.01770091e+00
  5.16890943e-01  1.08979511e+00  9.00248051e-01 -5.44295967e-01
  3.17835379e+00 -8.85787427e-01  1.18317008e-02 -1.32865250e-01
 -1.15183258e+00 -8.87233078e-01 -1.56549311e+00 -3.90898049e-01
  3.60943913e-01  1.64723665e-01 -2.42996216e-02 -2.03708470e-01
  2.28240535e-01  5.44036031e-01 -5.11028431e-02  4.70648706e-03
 -5.24345934e-02 -1.34324670e-01  2.21805662e-01  7.01422244e-02
 -2.28167623e-02 -1.14082396e-01  2.14005455e-01 -4.17638004e-01
  1.63624668e+00  6.45183995e-02  1.55959666e-01 -1.67272985e-01
 -3.90662014e-01  1.23094767e-03 -2.37623155e-01 -1.56575590e-01
  1.34857342e-01 -6.95042163e-02 -9.17961895e-01  1.95090130e-01
  1.42491147e-01  5.23345694e-02 -2.36964062e-01  7.38678128e-03
 -2.90390849e-03  1.45794451e-01  1.80249184e-01  2.39982605e-02
 -3.88909459e-01  6.88657165e-02  1.93237394e-01 -1.49187490e-01
 -1.73394121e-02 -2.83220619e-01 -1.27563640e-01 -1.74769476e-01
 -1.63291574e-01 -1.02086328e-01  8.58373642e-02  3.70521769e-02
  1.74469978e-01  2.45847702e-01  1.62557140e-01  3.87531221e-01
  5.30133963e-01  8.24794710e-01  3.66249114e-01 -6.05776012e-01
  6.07301295e-01 -9.21891481e-02 -2.15494111e-02 -8.62436593e-02
 -5.26023768e-02 -1.17831588e-01 -7.91635096e-01  1.42429769e-02]",2.038982211796336,,
28,CC1CC1C(=O)Nc1ccc(C(=O)Nc2cc(Cl)ccc2F)cc1,"[0, 1]","[ 1.4519582  -1.0811219  -0.03409103  0.25162178 -0.04366116  0.11653232
 -0.47766554  0.01729339 -0.16255489 -0.52576995 -0.10594261 -0.00337997
  1.2953584   0.9864993  -0.3154446   1.1262667  -0.5219364  -0.23629038
 -0.99028236 -1.2792939   0.3050806   0.75711846 -0.11504908  1.2772384
  0.42613965  1.4603763   0.24087462  0.84557843  0.5900538   0.3998566
 -2.1606493  -1.4023737   1.0631741   0.16531083  0.57617736 -0.05159304
 -1.7134452  -0.51161313 -1.0245906  -1.2484055   0.2796599   1.0793171
  0.16699006 -0.6497905   0.4300931   0.8755918   1.1192234  -1.0116053
 -0.70503354  1.1858202   0.47643226 -0.15643664 -0.4123137  -1.4343736
 -0.13171601 -0.46606955  1.701849    0.82252324 -0.8546112  -0.30108237
  1.2688478   0.300757   -1.3712422   0.19209847 -0.62633294 -0.1879245
 -0.08244933 -0.02788123  0.21819523 -0.52935207 -0.05182231  0.08838268
  0.66212595  0.03858122 -1.0026357  -0.06425249  0.3010035   0.093771
 -0.03298722 -0.26724523  1.5637043   0.01146117 -0.33542687  0.07702462
  0.04164124 -0.04799819 -1.0659271   0.13212274 -0.23250592  0.7726021
  0.7383621  -0.03179621 -0.09696765 -0.02190028  1.4145784   0.2863397
 -0.12329435  0.30333933 -0.44372886  0.11321612 -0.25922546 -0.37825108
 -0.09842378  0.19177866 -0.00904398  1.500967   -0.42249572 -0.33683106
  0.31095195 -0.12041795 -0.15033898  0.06563446  0.02932233  0.17295232
 -0.06513879  0.40974838 -0.65290606 -0.81688654  0.8332222  -0.20456436
  0.7424889  -0.04332719 -0.20272882 -0.18088341  0.02418221 -0.18574448
 -1.8214333  -0.17663237]",2.0971770005356594,,
35,Cc1c(C=NNC(=O)c2ccccc2O)c2ccccc2n1C,"[0, 1]","[ 0.03064477 -0.9406146  -1.2025722  -0.5854645  -0.06654765  0.6327779
 -1.5886204   0.39912516 -0.5783408  -0.41495332 -2.1055775   0.22239447
 -0.02528448 -0.26537585 -0.44206047  0.93922645 -1.0564756   0.6265329
  0.7285009  -1.1783631   0.36923906 -0.05928448  0.5645018  -2.8082218
 -0.19299164  2.9436328  -1.2450756   1.4287086  -1.2976544   0.45823437
  0.0058829   0.9841298   1.188354   -0.02294342  1.3953924  -0.19877768
  1.3891402   2.1785512   0.565333    0.434332   -1.3318958  -0.05776095
 -0.40512353 -0.99156666  0.17079023 -0.20020401 -0.95523936  0.6507924
 -0.4395364   0.07252339 -0.24173915 -1.3050989  -0.10380411  1.5382185
  0.42533082 -0.1865575   0.34164053 -0.4051454   1.3019094   0.2467032
 -0.7478082   1.1131756  -0.81585085  1.1302866   1.2845472   0.15913235
  0.09989246  0.47402048 -0.2517276   1.464143   -0.07012282  0.16200975
 -0.35029334 -0.25991356 -0.0110953   0.12191838  0.19047377 -0.02191546
 -0.08530396  0.0054985   1.1664705  -0.10013153  0.22333562 -0.07750151
 -0.4022292  -0.28707075 -0.10882473  0.16770642  0.1152304   0.2730092
 -0.28613412 -0.04504642  0.11689606  0.16189021  1.6185436  -0.3717538
 -0.16822551  0.03859449 -0.20653059 -0.14232476 -0.7450317   0.08827604
  0.1647818  -0.16515534  0.06594323  0.24095596 -0.05745573  0.37665805
  0.05878091 -0.01803281 -0.24721813 -0.01830528  0.4319335   0.38295352
  0.11709099 -0.24183694  0.14553016  0.41463345  0.22738516  0.21360756
  0.10662107 -0.25950348  0.10748379  0.11814988  0.047175   -0.404562
  0.5662523  -0.13397154]",1.5935901780855213,,
41,CCSCc1ccc(C(=O)NCc2ccc(N3CCCC3=O)cc2)cc1,"[0, 1]","[ 1.3944132e+00 -8.3406436e-01 -2.6045245e-01  3.5741746e-02
 -1.8568307e-01  1.3770056e+00 -1.6072445e-01  9.8330581e-01
 -3.4190229e-01 -1.3079551e+00 -4.7166884e-02  1.0368904e+00
  1.8529298e+00  9.3282020e-01  1.4242359e+00  1.7935895e+00
  2.0231667e+00 -4.8882639e-01  4.8308790e-02 -1.8261397e+00
  1.2239891e+00 -1.0546412e+00  1.5653932e-01 -4.6140397e-01
  8.4873185e-02  3.1734723e-01  7.9915422e-01 -3.3811873e-01
  2.7162629e-01  1.4071776e-01 -1.6155317e+00 -8.4871486e-02
 -3.8952065e-01  2.0489365e-01  1.0563290e-01 -2.0902252e-01
  1.2832205e+00 -1.1920344e+00 -2.2099524e+00  4.2193800e-01
  3.5880607e-01  7.6418561e-01  1.0397047e+00 -5.4678297e-01
 -8.3482638e-02 -4.9503294e-01  2.2423406e+00 -1.2393508e+00
  1.8244549e+00  1.5132323e-01 -4.3304557e-01 -1.8302991e+00
 -3.0027437e-01 -7.6646531e-01  4.0566117e-01 -1.0008246e-02
  6.3819289e-01 -2.4118721e-01 -4.0837136e-01  9.2727184e-01
 -2.3278608e+00  5.1447749e-01 -8.5154748e-01 -1.7280969e-01
 -9.0034604e-01 -1.0984126e-01  4.4242732e-02 -2.6793867e-01
  2.8958383e-01 -4.3750253e-01  4.6653531e-02  8.7393522e-03
  2.0566799e-01 -1.8129995e-01 -6.2202287e-01 -1.9522471e-02
  2.0810035e-01 -1.2910388e-02 -3.5383919e-01 -3.8176209e-02
  1.7364205e+00  3.0261993e-02 -2.6266402e-01  4.6001330e-02
  7.0323378e-02 -5.4803264e-01 -7.8156614e-01  5.9676439e-02
 -1.7663857e-01  6.7649168e-01 -2.1195132e-01  2.3868240e-01
  6.5980971e-02  7.2083592e-02 -2.2971600e-02  1.8634987e-01
  6.0171761e-02  1.5819967e-01  5.0312638e-02 -9.8479807e-02
  5.9613585e-01 -2.2129896e-01 -2.1157756e-02  6.9311649e-02
  3.4827009e-02  1.2126434e+00  3.1025407e-01  4.2904323e-01
  1.2626623e-01  5.7474151e-04 -4.1111737e-02  3.6414884e-02
 -3.2843572e-01  4.1131002e-01 -5.8494709e-02  9.9475998e-01
 -4.7523525e-01 -7.2803283e-01  5.5123645e-01  5.0913170e-02
 -9.7579074e-01 -7.7523351e-02 -1.5852141e-01  7.1439967e-02
  4.5265608e-02 -5.7355297e-01 -1.5818720e+00 -2.3452859e-01]",2.6395004103121615,,
10,CCC1(CC)CCN(c2nc3ccc(N)cc3s2)C1,"[0, 1]","[ 2.2437382  -0.7110619  -2.1318276   0.39516312  0.1280097  -0.2133774
  0.02373436 -0.911606    0.21504574 -0.19351444  0.7751677   1.7786267
 -0.18304539 -0.6800842   0.35885674 -1.7044638  -1.4954004   0.516396
  1.4605407  -0.16336203  0.21607761 -2.6907065   0.12589541 -0.02245438
 -0.1198529  -0.09546983 -1.292501   -0.78534895 -0.46823746 -0.28179118
  1.0412391  -0.07439709  1.286777   -0.07184666 -0.5428734   0.99328303
 -0.0353226   1.384793    0.18380928  0.08056438  0.7500678  -0.42098385
 -1.0332198   0.24109735  0.29672587 -1.176683    0.76466525 -0.0932832
  1.2995976   0.6630027   1.2439334   0.18310493 -0.6914544  -2.7092671
 -0.602938    0.08948821 -1.2706151   0.68089896  0.14062226 -0.45249724
 -0.6454799  -0.10232821 -1.239539    0.73143625 -0.30506328  0.22423774
  0.02779026 -0.7871101  -0.43708527 -0.56628686  0.03489209  0.30300444
 -0.14656785 -0.2892682  -0.02607378  0.02120942 -0.2344645  -0.2497149
  0.23491594  0.1843558   1.6315159   0.03639397 -0.06970482 -0.08499931
 -1.0604744  -0.07068329  0.17284745  0.0951166   0.1062429  -0.41951656
  1.7026188  -0.09469945  0.1048606   0.02221423  0.03805461 -0.11968574
  0.14432748 -0.38268706  0.6048436   0.08389625 -0.2086698   0.10873967
  0.08397263 -0.02498008 -0.00280067 -0.32681078  0.85739595  1.2580194
  0.21975654 -0.10587181 -0.16492285  0.07847549 -0.57822055 -0.04100525
  0.00499787  0.40579596  0.14467883  0.09113924 -0.7082387  -0.10886482
 -0.16666615 -0.08889414 -0.10176986 -0.20915437 -0.12018586 -0.17553177
 -0.2653326   0.02305276]",1.4618469660721456,,
12,Cc1ncccc1NC(=O)CCc1cccs1,"[0, 1]","[-0.8127985  -0.31005237 -0.31913704 -0.75563824  0.05921644  2.4011705
  0.74776685 -0.06925452  1.1396567  -2.18081     1.4130752   0.630223
 -0.9386068   0.17610992 -0.13214213 -0.6463989  -0.87846404  0.14248788
 -0.9082633  -0.5210681  -0.51376605  0.18705502 -0.7856606   1.426231
 -0.36801156 -0.97210765 -0.13294703  2.1385932  -0.7750817   1.8857524
 -0.6761009  -0.7696831  -0.6791526   0.09915498  1.1502557  -0.7416641
  0.0963729  -0.02825287  0.16422468 -0.9541702  -0.5393014   0.8015382
  0.61057884 -0.19216837  0.2170703   0.6602311  -0.5851825  -0.3635265
  0.2392152  -1.6465364   0.22983998 -0.99285877  1.0869818   0.63232225
  1.2310708  -0.5181352  -2.2370965  -0.45925033 -0.12785482  0.21215987
 -1.2801218  -0.9432124  -0.13634062 -0.85993826  1.5215398  -0.20777458
  0.04711587 -2.3780959  -0.5164753   1.1518636  -0.10083012  0.34561172
 -0.7524216  -0.07237431 -0.9189272   0.05533281  0.28102094 -0.3708435
  0.20822282  1.2236944   1.4673762   0.3096235  -0.20205137  0.22065382
  0.12883037  0.19427487  0.08813123 -0.01130339  0.03135067 -0.24337593
 -1.9780312  -0.96456784 -0.3382069   0.23900148  1.2480798   0.1835179
  0.5946041  -1.5564982  -0.6610223  -0.9983138   1.050476   -0.02383918
 -0.03384575  0.03333648 -0.02045754 -0.09472948 -1.3265522  -0.20438273
  0.7880024   0.03118601  0.26222783 -0.28130493  0.6462847  -2.0167668
 -0.07183053 -0.24291492 -0.13710722 -1.098352   -0.2615369  -0.66225123
 -0.02316898  0.34890515  0.14326389 -0.05849996  0.0179314  -0.47422957
 -0.45472795 -0.09826975]",1.9002791474216134,,
17,COc1cccc(OCCNC(=O)Cc2ccc(C)nc2)c1,"[0, 1]","[-3.16907167e-01  1.08648944e+00  1.05948043e+00 -1.55786002e+00
 -2.66965240e-01  1.16027153e+00  2.80900836e-01  9.33337212e-02
  3.74099612e-01 -1.83926344e-01  2.23985195e-01  3.46875072e-01
  1.08442217e-01 -5.99291682e-01 -4.81159240e-01 -4.40301359e-01
 -7.93190062e-01  1.72293320e-01 -1.90526277e-01  3.00252944e-01
  1.75383699e+00  1.22171152e+00  1.12226173e-01  5.60841382e-01
 -1.41319603e-01  5.55096865e-02  9.69070196e-01  7.87756562e-01
  2.56074280e-01  6.08326316e-01  9.81404066e-01 -8.29610944e-01
  7.32511699e-01 -1.70552790e-01 -1.45740926e-01  7.63130188e-03
 -1.67804331e-01 -1.07216859e+00 -5.10703743e-01 -3.86407554e-01
  5.25042593e-01 -6.81163728e-01  2.06862879e+00 -1.09593332e-01
 -7.39834309e-01 -5.94967306e-01 -1.25415713e-01  2.36855745e+00
  1.65489852e-01 -3.70118022e-03 -2.74154973e+00 -1.20190084e+00
  7.07517385e-01  1.94941819e-01  7.24858403e-01 -6.41483963e-02
 -1.97989190e+00 -1.02931058e+00 -1.88537538e-01 -4.22493219e-01
 -1.29533029e+00 -7.04339266e-01  9.88366187e-01 -6.25714064e-01
  1.40728438e+00  4.97184917e-02 -2.27555260e-03  6.51315868e-01
 -1.23646498e-01 -4.66164619e-01  1.10893454e-02  1.67066708e-01
 -1.60714239e-02 -3.12604725e-01 -4.83441710e-01 -4.03628439e-01
 -2.33234882e-01  1.36106506e-01  7.39194095e-01 -3.67549062e-02
  9.52512026e-01 -1.27735972e-01 -1.66955590e-02 -9.78300124e-02
  7.47319102e-01 -6.05138540e-01 -6.00009859e-01  2.69664675e-02
  5.07903397e-02 -3.55868340e-01  1.08359861e+00 -3.11655402e-01
 -2.51278400e-01  1.78118467e-01 -1.21184993e+00 -4.06167865e-01
 -3.53495568e-01  2.74397582e-02  8.25266957e-01  1.95513755e-01
 -2.86137283e-01  9.54351276e-02  1.16528280e-01 -1.26202151e-01
 -4.60355878e-02 -2.62849617e+00  4.64717984e-01  8.86983633e-01
  4.97521520e-01 -4.20662761e-03  7.33035803e-02  7.23732859e-02
 -2.86041647e-01 -4.03722286e-01  1.01461895e-01  6.96088374e-01
 -2.67941296e-01 -6.00599170e-01 -7.97431052e-01 -1.26998901e+00
 -3.19040298e-01  1.44378077e-02  2.30053797e-01 -2.68794559e-02
 -2.13274956e-01 -3.47753108e-01 -1.13338441e-01 -4.99817729e-02]",1.421501479492864,,
8,Cc1nn(CC(O)c2ccc(Cl)cc2)c(=O)c2ccccc12,"[0, 1]","[-1.28609598e-01 -1.09238076e+00 -1.13770127e+00  4.49293971e-01
  3.67436439e-01  1.72286779e-01 -6.20720267e-01  2.77784467e-02
 -5.18881083e-01 -1.14294291e-01  6.48082435e-01 -2.60402501e-01
  1.73524404e+00 -2.21315682e-01 -5.36430538e-01 -3.02116752e-01
 -1.24273390e-01 -8.88879299e-01  8.49582076e-01 -1.22472513e+00
  6.79843187e-01  1.31810975e+00 -8.62106144e-01 -1.72441101e+00
 -8.04563165e-01  1.64847267e+00 -1.43572164e+00  7.82478154e-01
 -1.48645687e+00  5.04688621e-01 -4.65676844e-01  1.68412423e+00
  3.58295858e-01  2.29301497e-01  1.08917570e+00  8.88835311e-01
  1.27461684e+00  7.44237065e-01  4.87138033e-01  4.02889311e-01
 -4.22071069e-02 -2.25312039e-01  1.06790811e-01  4.83518153e-01
  5.39017975e-01 -7.76525617e-01 -6.45760059e-01  2.30762631e-01
  2.51560271e-01 -6.27752542e-01 -2.05624700e-01 -2.44556859e-01
  1.20529389e+00  3.19836289e-01 -8.19080174e-02 -5.39463103e-01
 -8.61690402e-01 -3.28141391e-01 -1.67108619e+00  1.08619165e+00
 -1.86314464e-01 -2.18277693e+00 -1.13544971e-01  5.15784562e-01
  5.21043539e-01 -7.99283832e-02  6.85261041e-02  1.24037042e-01
  1.22515649e-01  9.07586694e-01 -4.21723984e-02 -3.22520733e-03
 -3.50766689e-01  1.67499959e-01 -3.66837323e-01  4.71645519e-02
 -5.93697309e-01 -5.93141951e-02 -6.39394447e-02  1.57739103e-01
  1.57313991e+00 -1.41192675e-02 -3.40160429e-02 -4.70960438e-02
 -3.74154858e-02  5.21161556e-01  2.58835495e-01  1.21935725e-01
 -1.13167614e-03  2.05231428e-01 -2.97451988e-02 -1.11477748e-01
 -2.06133336e-01  4.06375118e-02 -1.65372896e+00 -3.42430979e-01
  6.18478060e-01 -1.03618346e-01  2.79048681e-02  3.13563645e-02
 -7.22467154e-02  2.69839410e-02 -9.62354392e-02  1.48623198e-01
  7.35637732e-03  6.54824853e-01  4.62591290e-01  2.50449926e-02
  4.27086204e-02 -2.49157809e-02 -1.98367134e-01  6.57411069e-02
 -3.29645514e-01 -1.94368124e-01 -1.39902368e-01 -1.53151393e-01
  2.96649277e-01  9.31471527e-01 -7.60397613e-01  7.04325497e-01
  1.86227292e-01  2.56889462e-02 -2.33547390e-02 -3.57620299e-01
  8.75884891e-02  9.38877344e-01 -3.17063510e-01  1.71592087e-02]",1.2312733939980975,,
5,Cc1cccc(C)c1-n1nnnc1SCC(=O)Nc1ccccc1C(=O)NC1CC1,"[0, 1]","[-1.6397624  -1.3016094   0.34409276 -0.19415802  0.04922573  0.3143024
 -0.7147148   1.246963   -1.132655   -0.3377561   0.3736869  -0.5186234
 -0.07238954 -0.3309493  -1.0942224   2.332133    0.70148665  0.19026434
 -0.5822895   0.50083375 -0.68237793  0.48854157 -1.0358802  -0.96148574
  0.2287947  -0.68290395  0.28024265  0.3061759  -0.30182543  1.4771895
 -1.6382003  -2.4736586   1.7095889  -0.1379503   0.360499   -0.44716287
  1.2006309   0.61336255 -2.3491375  -0.5200629  -0.8597902   0.77800894
  1.3319349   0.01135156  1.4530423   0.7448162   2.1594248  -0.3780647
  0.56997675  1.3395568   0.43059862 -1.1483243   0.6101397   0.70595306
 -0.33173537  0.73149747  0.51816523 -0.40116304 -0.8439363   0.6502706
  0.34198064  0.3635542   0.84112215  1.5455747   0.8384972   0.2225894
 -0.04049557  1.2621709  -1.0399706   1.2266438  -0.28972632  0.1618873
  0.50908494 -0.3053387   1.5048554  -0.86200994 -0.35646528  0.11732066
  0.708914    0.60410947  0.50251377  0.05958539  0.09242808 -0.01288186
 -0.78976464 -0.60920465  0.96262604  0.07112639  0.42791563 -0.19016898
 -0.8341783   0.05427282 -0.13940577  0.23611236  0.21913515 -0.81776726
 -0.5786898   0.8305378  -0.24693368  0.27276504 -0.3651496   0.03063957
  0.08730979 -0.14424253 -0.06134713  1.7186848   0.09784112  0.2539676
  0.32281137 -0.15474921  0.2885394   0.05020217  0.10437825 -0.02475557
  0.13325398 -0.2454772   0.28905025  0.9318911  -0.7669918  -1.1872027
  1.264745   -0.19781488  0.1953702   0.01205236 -0.23011175 -0.18002084
  0.73758256 -0.10542173]",1.4221948796472224,,
