compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
80,O=C(c1ccco1)N(C(=O)c1ccco1)c1ccc(Cl)cc1F,"[0, 1, 2, 3, 4, 5]","[-0.14037816  0.74064827 -0.08720699  1.9425797  -0.41848177 -3.1074388
  0.80424607  0.31418633  1.6514261  -0.9771941  -0.5607878  -0.43873188
  0.24453172 -1.8356147   0.8907107  -2.0251627   0.79252607  0.01266462
  1.8022994  -1.1085585  -0.31487513  1.1283057  -0.7045779   0.7769234
 -0.30808643  1.0314224  -0.22059321 -1.2265826   0.72382945 -0.25031543
 -2.0740907  -1.4116664  -0.17908561 -0.3070966   0.7256405  -1.221779
 -2.0538719  -0.2717416   0.34599596 -1.1397284  -1.171607    0.04157019
 -1.0796832   0.36428806 -1.3200616   0.21944278 -1.4743466  -0.69805515
 -0.2655181  -0.5359227   1.3709002   0.29455945  0.6922543   0.21348228
  0.85728616  0.39656708  1.3011533   0.67841196 -0.849705    0.17612883
  1.0774219   0.61451197  0.20403138  1.4806039   0.578913    0.150406
  0.0079391   0.13831899 -1.4590032  -0.23334482 -0.25282905  0.0926027
 -1.1906408   0.03494035 -0.02114552 -0.32941633 -0.7716523  -0.31916803
  0.12502801  0.5546708   1.4623079   0.13989072 -0.1665417   0.01915219
 -1.6934556  -0.01920408  0.7351372   0.08830179  0.07715876 -1.0414528
 -1.0484943   0.05323422  0.3321867   0.21590151 -0.5760504  -0.6766256
  0.76562744 -0.24934925  0.24662447 -0.16447116 -0.11831781  0.03400823
 -0.10211952  0.28072175 -0.05504189  0.55349314 -0.37985682  0.11230212
  0.05247542 -0.19184543  0.0244576  -0.09203266 -0.01283979 -0.6560738
 -0.11092201 -0.23002133  0.66774607 -0.11221881 -0.6400863  -0.00623484
  0.29320568 -0.00625439  0.08078975 -0.4302311  -0.00735359  0.4920131
  0.76166296 -0.02252302]",1.8943887315761945,,
40,CC(=O)Nc1ccc(NC(=O)c2ccccc2C(=O)c2ccc(F)cc2)cc1Cl,"[0, 1, 2, 3, 4]","[-3.34250379e+00  1.03410923e+00 -4.18751240e-01 -1.66824651e+00
  2.36864865e-01 -4.71216154e+00 -5.50375223e-01  2.14112711e+00
 -1.21973772e+01  6.28721476e-01  3.05059403e-01  7.82734230e-02
  1.61612523e+00  1.35848856e+00 -1.48206472e+00  7.75186121e-01
  6.40054345e-01 -6.90803051e-01 -8.52175772e-01 -2.58973241e-03
 -1.39436269e+00  3.38542032e+00  4.58092481e-01  1.24002266e+00
 -2.62411046e+00  9.35935676e-02 -2.59860128e-01 -3.17930400e-01
 -2.54664063e-01  5.22946417e-01 -5.90575218e-01 -4.14388299e-01
  3.04245427e-02  2.96012133e-01 -6.55321553e-02  3.24297935e-01
 -4.38399464e-01 -4.46221495e+00 -1.89322913e+00 -3.15569377e+00
 -2.04162192e+00  1.27360952e+00  1.39943767e+00 -5.75269341e-01
 -1.22644275e-01 -5.87779284e-02 -4.29887116e-01 -1.45547080e+00
  6.27336740e-01 -2.07735628e-01 -2.38669246e-01  4.32113796e-01
 -3.05415958e-01  1.04986846e-01  3.18915844e-01  2.71756053e-01
  1.58547986e+00  3.34228694e-01 -1.19250822e+00 -1.52388310e+00
  6.15478134e+00 -8.06036219e-02 -2.01507330e-01  8.89769435e-01
  1.87966263e+00  1.83669001e-01  2.62894612e-02 -3.71259391e-01
  4.97485757e-01  4.26290073e-02 -1.04711525e-01  5.13972491e-02
 -5.57798266e-01 -2.09846899e-01 -1.92374259e-01  1.01424672e-01
  3.41279447e-01  5.01146726e-02 -1.36078686e-01  9.00102556e-02
  1.17515099e+00 -4.32749689e-02  1.02567211e-01 -1.83262944e-01
 -1.09135866e+00 -3.26163173e-01  9.27563757e-03 -7.82548860e-02
  1.20145842e-01  1.54755011e-01 -6.26245618e-01 -2.85025351e-02
  3.05463076e-01 -3.12639624e-02 -5.06246030e-01 -1.14565842e-01
 -2.54516304e-01  9.75250825e-02  2.84786850e-01 -2.48423845e-01
 -5.14193118e-01  1.22082539e-01  9.19338837e-02 -2.31158733e-01
 -2.55994909e-02  6.41070604e-01  2.92490348e-02  4.32691216e-01
 -9.62398499e-02  1.34146363e-02 -7.19955862e-01  9.03261825e-02
 -9.66930449e-01  1.90729052e-01  8.26499145e-03  3.58336806e-01
  3.48090291e-01  6.37414694e-01  3.41719508e-01  4.32313979e-01
  1.41609669e-01 -7.73583502e-02  4.73275483e-02  2.38814894e-02
 -1.58445090e-02 -3.51613969e-01  1.76706508e-01  6.04279190e-02]",3.4003806680761057,,
35,CC(c1ccc(F)c(F)c1)N(C)C(=O)C1CCCCC1,"[0, 1, 2, 3, 4]","[ 1.67049551e+00  1.00657046e-02 -8.17243934e-01  9.05208111e-01
 -1.18213579e-01 -1.56698298e+00 -1.12932229e+00 -2.21473694e-01
 -3.23950768e-01 -6.73546612e-01  1.50782871e+00 -1.22593708e-01
 -2.50029182e+00  1.25199065e-01  3.11819732e-01 -8.40994239e-01
  4.23716456e-01  4.90965694e-02  1.10216069e+00  1.23167348e+00
  3.70192081e-01 -1.14364266e-01  8.51689816e-01 -5.26966858e+00
  2.20896363e-01 -4.09083180e-02  8.39173615e-01 -8.02001595e-01
  7.42303014e-01 -2.61306572e+00  1.46512225e-01 -8.07386494e+00
 -3.25820386e-01  1.37460738e-01  1.52152526e+00 -9.52349544e-01
 -1.05642879e+00  2.57790089e-03  2.81133711e-01 -1.87627363e+00
  5.29790938e-01 -8.18407118e-01 -1.67285055e-01 -1.41338897e+00
 -7.10909843e-01 -5.85925579e-01 -3.18356705e+00 -2.96048373e-02
  9.64935422e-02 -9.72817707e+00  1.09962058e+00  2.62333870e+00
  5.65889299e-01 -3.98543447e-01  2.81524777e-01 -6.38135314e-01
  4.07660425e-01  1.09197521e+00  9.12158251e-01  7.05432236e-01
  5.34174442e-01  1.71939075e-01  7.93351591e-01  1.64400411e+00
 -4.96154606e-01  1.30203456e-01  8.65083337e-02 -5.23377299e-01
  1.47721124e+00  5.10776564e-02 -3.17837894e-02  9.15099233e-02
  3.24522018e-01 -1.88528612e-01  4.84267771e-01 -2.24245816e-01
  1.07026911e+00  1.98537707e-02  4.86209631e-01 -1.14035100e-01
  1.47614360e+00  2.87496485e-03  1.78433493e-01 -1.24234945e-01
  3.19758981e-01  1.51194051e-01 -1.56274840e-01 -3.30297798e-02
  1.40653193e-01 -6.72313869e-01  2.45376617e-01 -3.65351260e-01
 -2.22521126e-01  6.74298704e-02 -7.87053585e-01 -3.16775590e-02
 -2.47371197e-01  2.84003586e-01  4.19899672e-01  3.67937572e-02
 -4.20022160e-02  1.71597511e-01  7.73084909e-02 -1.94317818e-01
 -2.28054225e-02 -1.62314668e-01  1.18545294e-02  1.92787305e-01
  7.97032937e-02 -3.38625759e-02 -4.24729735e-01 -8.42062011e-03
 -2.53940642e-01 -6.55578554e-01  6.37475774e-02 -2.51673460e-01
  4.16710854e-01  3.79692644e-01 -4.65296090e-01  7.71249831e-01
 -4.57010746e-01  7.69827142e-02  3.10222507e-01 -1.37291402e-01
 -1.01705208e-01 -6.80362582e-02  1.82232261e-03  5.36670834e-02]",1.76096584665152,,
42,FC(F)(F)c1ccc(-c2nc(-c3ccc(Cl)cc3)cs2)nc1,"[0, 1, 2]","[-4.2439112e-01  1.0300060e+01 -9.5974958e-01  1.9240336e+00
 -2.9658785e-01  4.5773205e-01 -1.6741751e+00  7.1391326e-01
 -5.7686300e+00  2.6036540e-01  9.0053275e-02 -8.9104271e-01
  1.6477379e+00 -2.3031044e-01 -3.1674331e-01 -1.6760603e-01
 -2.8994888e-01  3.5050201e+00 -1.0665269e+00  6.6926384e-01
 -6.5797633e-01  7.9647076e-01  7.1163714e-01  9.1755849e-01
  4.5814186e-01 -4.0250760e-02  1.0788951e+00  5.8762398e+00
 -1.7713482e+00 -3.0257314e-02  1.3488451e-01 -1.7416577e+00
 -3.3519852e-01 -9.6376616e-01 -1.2369674e+00  8.9993876e-01
 -1.9338543e+00  2.3719898e-01 -9.6484995e-01  4.0527913e-01
 -2.7088600e-01 -1.6567761e+00 -8.4634408e-02 -7.5601190e-02
  2.2916335e-01  2.7711229e+00 -1.4782803e+00  2.0966262e-01
  1.0618972e+00 -1.8530521e-01 -1.1259471e+00  9.7920161e-01
 -1.5759206e-01 -3.4063745e-01  9.8904216e-01  9.6836853e-01
 -2.1044609e-01  4.8879284e-01 -8.7311494e-01  1.4328584e-01
 -2.1178974e-01  1.1938524e+00  7.9655045e-01 -9.9577463e-01
 -1.2137655e+00 -3.2869697e-01 -3.1197585e-02  1.7814517e-02
  6.4664459e-01  5.1202446e-01 -1.2598741e-01 -3.1651229e-02
 -4.2968705e-01  3.6019221e-01  7.0036906e-01 -5.1556930e-02
 -8.1487733e-01  2.3274183e-02 -1.0814372e-01 -8.6460751e-01
  1.5928684e+00 -1.0920210e-01  2.1015111e-01  5.0016530e-03
 -4.9216276e-01  5.4123110e-01 -9.5255840e-01 -1.6593912e-01
 -3.5265154e-01 -1.7775616e-01  3.0795363e-01  3.9804047e-01
  4.2612100e-01 -1.3109654e-01 -2.0639656e+00 -6.3572729e-01
  7.9689038e-01  7.9759926e-01  6.1340034e-01  4.1082969e-01
 -3.8394630e-03 -1.3686791e-03 -8.8325545e-02  1.5342224e-01
 -1.1613910e-01  1.2588940e+00  2.2649627e+00  8.4425616e-01
  1.3455075e-01  1.6772652e-02 -2.1207727e-01 -1.0831375e-03
  4.2087725e-01 -9.2641294e-01 -1.8392521e-01  9.7502530e-02
  5.5799037e-01  2.0141821e-01  3.6040068e-02  1.8230729e-01
  4.9124697e-01  4.0591955e-02 -2.4616075e-01 -6.0847187e-01
  1.7404957e-01  7.5692332e-01 -1.0720766e+00  4.9384171e-01]",3.590303137893175,,
86,O=C(OCc1cccc(F)c1)c1ccc(N2CCNC2=O)cc1,"[0, 1, 2, 3, 4, 5]","[ 2.0431125  -0.20107234  0.85419667  0.6072891  -0.2133898  -1.1033139
  0.19388388  0.83990437 -0.6929892  -0.5414578   0.02751738  0.4788664
  0.86035633 -1.7087045   1.6226846  -1.8662436  -0.7427826  -0.28646058
 -0.75410664  0.37184668  0.5379187   0.8962453  -0.2883821  -0.59568936
  0.12083164  0.22583562  0.27522975 -0.7062813  -0.5128453  -0.7173713
  1.4746449   1.0380497  -0.7600159  -0.37106854  1.55349    -1.1334074
 -0.26415235  0.3807354  -1.056452    0.02892265  0.8776041  -0.30841595
  1.1138346  -0.895166    0.30523723  0.5767999   1.2427615   0.34003544
 -0.27145225 -0.44973543  0.14722748 -0.6094272  -0.17320698 -0.63210905
  0.6720466  -1.1432003   0.04351985  1.5824062   0.0311033   0.48167711
 -1.6202382   0.58552486  0.37708908  0.5693253  -0.6793518   0.00331803
 -0.003004   -0.25124604  0.36122644  0.07122929 -0.16474986  0.26143527
  0.2954335  -0.3041778  -0.22893453 -0.23689252  1.6028664  -0.02669069
 -0.06542091  0.56489056  1.414117    0.17384273 -0.42887414  0.03420304
  0.67827004 -0.66460395  0.26769114  0.34749344  0.11234215  0.6252754
  0.6933968  -0.03660166 -0.07966594  0.27609664 -0.32446074  0.19210325
 -0.02974325  0.27458307 -0.32711267 -0.19796047  0.3574896  -0.15255348
 -0.02037065  0.20407808  0.04295857 -0.34884366  0.50243056 -0.22295493
  0.23507623  0.00923493 -0.10371163  0.1618123  -0.0334785   0.34161857
 -0.1522943   1.5565361  -0.69706684 -0.6102832   1.1826568  -0.34165567
  0.83746433 -0.3315881   0.00985556  0.04516315 -0.00217506 -1.1275339
 -0.64949095 -0.76660085]",1.4084080045494876,,
45,COc1ccc(C(CC(=O)Nc2nc(-c3c(C)[nH]c4ccccc34)cs2)NC(C)=O)cc1,"[0, 1, 2, 3, 4, 5]","[ 1.00371933e+00  6.44331634e-01  1.05407131e+00 -1.24078178e+00
 -5.65702617e-02 -2.41485223e-01  7.11061120e-01 -2.39585567e+00
  2.16463864e-01  9.59552765e-01 -2.20340937e-01 -2.49011540e+00
  1.32941186e+00 -9.91139531e-01 -3.74397218e-01  1.25139797e+00
 -7.00861096e-01  2.21233320e+00  2.82645583e-01  6.82274103e-01
  1.35795116e+00 -1.12454808e+00  9.82988834e-01  1.71520579e+00
 -3.54487836e-01 -2.00788975e+00  7.00530469e-01  1.77079186e-01
  1.05697799e+00 -1.74287379e-01 -7.91070163e-02 -1.28332448e+00
  6.20100856e-01  6.19291306e-01 -4.76359457e-01  5.53166389e-01
  1.90318644e-01  1.21291828e+00  2.78725535e-01  1.11527824e+00
  7.99397409e-01  6.63147569e-01 -5.73044598e-01  9.71964747e-02
 -1.57512200e+00  1.18562713e-01  8.95780563e-01 -3.81613672e-01
  1.97316721e-01 -1.54433441e+00 -8.58898878e-01 -2.02129245e+00
  9.32139397e-01  4.44186777e-01 -1.68514580e-01  3.29948962e-03
  5.94096839e-01  6.50779068e-01  7.16386020e-01 -6.27842605e-01
  7.89695740e-01 -2.55271482e+00 -9.86849964e-01 -9.88766730e-01
  2.06420898e-01  1.08216092e-01 -4.86869141e-02  5.53414106e-01
 -5.32188416e-02  9.38958466e-01 -1.15013681e-04 -1.63976476e-01
 -6.80922151e-01 -2.11210415e-01  3.10911745e-01  9.95064005e-02
  2.22959757e-01  7.96696767e-02 -3.56269866e-01  1.07255183e-01
  1.60321331e+00  1.28304511e-01  1.84103131e-01 -1.05253145e-01
  2.83853740e-01  3.84006128e-02 -9.04866874e-01  4.03825939e-03
  1.54468000e-01  1.13391891e-01  2.59619117e-01  8.76479521e-02
  2.39014417e-01  1.48588300e-01 -3.05741638e-01 -6.03005409e-01
  1.67536169e-01 -3.92882019e-01 -4.61906791e-02 -8.13839734e-02
 -7.42167294e-01  1.02941476e-01  1.25199884e-01 -2.37403348e-01
 -6.38204366e-02  7.44408190e-01 -6.29826635e-02 -4.51372474e-01
 -1.95610687e-01 -7.83196390e-02  1.97102092e-02 -3.43585052e-02
 -6.00483239e-01  3.88802052e-01  1.15196705e-02 -8.18736106e-02
  3.15835774e-01  1.00934076e+00  1.16198629e-01  2.89499998e-01
 -1.47223055e-01 -1.07197374e-01  4.60645780e-02 -1.04277030e-01
 -2.59261578e-03 -3.94955635e-01 -7.95757234e-01  1.40977427e-01]",1.9363140752971666,,
46,Cc1ccccc1NC(=O)C(C)Sc1nc2sc3c(c2c(=O)n1C)CCCC3,"[0, 1, 2, 3, 4, 5]","[-8.4343833e-01 -9.8055065e-02  2.8042716e-01  1.5708473e-01
 -7.2993055e-02 -1.7259079e+00  2.8983366e-01 -1.2745175e+00
  1.2496245e+00 -1.9093853e+00  3.9843422e-01 -8.7449777e-01
 -9.2596799e-01 -5.7668424e-01  3.9355028e-01  1.5001353e+00
 -4.2880681e-01  1.9708868e+00 -3.1398660e-01 -1.0585198e+00
 -3.5433662e-01  1.9146124e-01 -1.4519545e-01  1.7850690e+00
 -2.0886728e-01 -3.1430703e-01 -1.0733846e+00 -1.3987278e+00
 -1.1135482e+00  5.6975424e-01 -1.0538949e+00 -1.2278349e+00
  1.3078251e+00 -1.8009350e-02 -5.0595069e-01 -3.2669398e-01
  6.8412751e-01  1.2846223e+00  2.6858088e-01  2.6380357e-01
  3.8791373e-01  5.4637843e-01 -5.3193671e-01 -1.4663845e+00
 -1.5533526e-01 -3.1350887e-01  8.5118818e-01  1.2122542e-01
  3.9870125e-01 -1.8467333e+00  1.5834388e+00 -7.7569687e-01
  1.4601132e+00 -6.6123039e-02  4.5806214e-01  6.2383614e-02
  5.5842769e-01 -1.9616402e+00  2.0322423e+00  5.8779275e-01
  2.3232804e-01 -1.3087459e+00 -1.0924548e+00  6.7961800e-01
 -4.6489781e-01  6.0613111e-02 -3.6251936e-02  4.4399977e-02
 -3.7891570e-01  1.1246158e+00 -2.7976355e-01  2.9352951e-01
  3.6094663e-01 -2.0906679e-02  7.5307608e-02 -3.5451594e-01
  5.9482992e-02 -5.1239267e-02  3.7840143e-01  2.0903896e-01
  1.5856526e+00  1.9931516e-01 -1.9890454e-01 -5.4415926e-02
  3.0596453e-01  2.9484615e-02 -3.1671554e-01  2.2105479e-01
  3.3238685e-01 -4.5744568e-01 -3.9388511e-01 -1.5511931e-01
 -1.8259999e-01  1.9538453e-01  1.7482755e+00 -3.0446893e-01
  2.2523940e-01 -1.6881952e-01 -2.8613317e-01  6.9870755e-02
 -2.9434344e-01 -1.1282981e-01 -1.2852065e-02  8.1090212e-02
 -1.0612874e-01  9.3658119e-01 -2.4002439e-01  2.2182900e-01
  1.0960581e-02 -1.9773577e-01  3.5655349e-01  5.9120264e-02
  2.9039249e-01  5.5964328e-03  1.2587003e-02 -6.3824862e-01
  2.5710616e-01 -5.9826672e-04 -5.9345615e-01 -1.3531511e-01
  4.4147500e-01  2.6879020e-02 -8.7378293e-02 -3.1311035e-01
  4.7923088e-02  2.6032180e-01  1.7111424e-01 -2.0534708e-01]",1.6484776359678706,,
30,O=C(Nc1ccc2c(c1)OCCO2)c1cc(S(=O)(=O)N2CCCC2)ccc1Cl,"[0, 1, 2, 3, 4, 5]","[ 1.49261451e+00 -1.46289921e+00 -1.37466893e-01  2.15830135e+00
 -5.20838648e-02 -1.50002635e+00  6.10369444e-02  6.36566877e-01
 -9.93048549e-01 -3.66742641e-01 -2.80442894e-01  1.31487682e-01
  1.08026886e+00 -6.16402924e-01  3.74279678e-01  1.10067797e+00
  1.31465340e+00 -8.79417717e-01  1.05502665e-01 -1.28638411e+00
 -1.32822430e+00  1.43552935e+00 -1.02270931e-01  1.54538703e+00
 -3.71971726e-01 -1.24999642e+00  1.35983288e-01 -6.83057427e-01
 -4.89907861e-01 -1.03106117e+00  3.39896888e-01  3.90385807e-01
 -1.68403530e+00 -7.71310478e-02  3.31943750e-01 -1.26949906e-01
  1.97554260e-01  1.05099952e+00  2.73196042e-01  2.71499366e-01
 -4.26485300e-01  4.52350080e-01  3.13576877e-01 -1.30623317e+00
  9.77408707e-01 -1.17647119e-01  7.55387723e-01  4.05752331e-01
  1.03913081e+00 -1.07455838e+00  1.25194752e+00  2.47726631e+00
  8.15542042e-01  6.71814144e-01 -2.27163583e-01 -6.15029812e-01
  9.73292112e-01 -5.91457665e-01 -8.26178551e-01  1.19429183e+00
 -1.00516438e+00 -6.00783944e-01 -1.88764542e-01  4.08035070e-01
  6.15084529e-01 -1.40497044e-01 -3.75137590e-02  5.96859932e-01
 -2.59225607e-01  1.31797791e-03 -8.94526243e-02  7.63064772e-02
 -1.08171868e+00 -3.91034931e-02  2.49652356e-01 -7.66836107e-02
 -2.71854401e-01  8.73433277e-02  1.07976794e-03  3.19018811e-02
  1.41032410e+00  8.66184011e-02 -2.56436802e-02 -1.63250461e-01
  4.29591835e-01 -7.61339068e-01 -4.51435924e-01 -1.68094605e-01
 -4.63690497e-02 -3.20698954e-02 -1.81089297e-01  2.66013034e-02
  2.12949887e-01  4.29251716e-02  1.43607348e-01 -7.82270789e-01
 -2.66737789e-01 -6.16146863e-01 -9.81270000e-02 -9.75443721e-02
 -2.56509185e-01  3.12925242e-02  3.87728289e-02 -2.11533159e-02
 -3.48089822e-02 -1.14552593e+00 -3.00483793e-01 -1.43410534e-01
  8.95337909e-02 -4.25617918e-02 -4.89773393e-01  1.01114258e-01
  1.16070986e+00 -3.04814756e-01  2.25050822e-02 -4.86816436e-01
  2.96491623e-01 -1.30613282e-01 -6.59819543e-01  8.58704627e-01
 -3.91511619e-01  9.77997556e-02 -9.09262523e-02  6.57004118e-02
 -4.68020551e-02 -3.57530534e-01  2.81075180e-01  5.62750101e-02]",1.6448044099274524,,
91,COCc1cccc(NC(=O)NC(C)c2ncc(C)s2)c1,"[0, 1, 2, 3, 4, 5]","[-0.3989942  -0.21069562  0.8900415  -1.5731378  -0.19949201 -0.7681884
 -0.48559877 -0.08704312  0.09047906 -0.8685255   0.23772205  0.36151004
 -0.4750687  -0.6469731  -0.39717394  0.9128758   0.47865498 -0.15508908
  1.0026499  -0.06160358 -0.39881346 -0.61532134  0.79115736  1.5880699
  0.32875782 -0.68913347 -0.15276039  0.40790677  1.2540514  -0.06572607
  1.0550075   0.50342315  0.33385703 -0.02932005 -0.10142689  0.15344918
 -0.96607757 -0.40765858  0.5787796   0.12104076  0.72135156  0.85919654
 -0.7070149  -0.32947648  0.50318295 -1.5228472   0.41575187 -1.1885651
  0.14235252  0.815391   -1.5056909  -0.8071592  -0.26194733 -1.6229088
  1.8209234  -0.30896497 -0.6494216  -0.7983446  -0.06362353  0.46831715
  0.31621295 -0.5349213   0.8237172  -0.0621891   0.10322914 -0.11788722
  0.12619951  0.56441015  0.2980865   0.201624    0.18268926 -0.34932125
  0.43569902  0.2479548  -0.23610252  0.03531377 -1.0528567  -0.12282431
 -0.05684703 -0.57234573  0.6046413   0.01415592 -0.08569883  0.31528372
  0.24620539  1.1698377   0.2045839   0.28380087 -0.7583356  -0.10602917
  0.13339135  0.63265556  0.07367103 -0.17464502 -0.64301753 -0.2575835
  0.18664029  0.66544455  1.1405209   0.40788254  0.5011709  -0.06928932
 -0.00934372  0.40932852  0.13935843 -2.0396352   1.5393707   0.03226447
 -0.12582585  0.07756684 -0.26207963 -0.10185812  2.4456298  -1.3583748
  0.22968449  0.43925512 -0.35946435 -0.36375147 -1.269784    0.28809497
 -0.11551085 -0.11460668  0.40459585 -0.70172375  0.04581976  1.9068183
  1.0748193   0.48341426]",0.9797487240964299,,
9,O=C(C=Cc1ccc(N2CCCC2=O)cc1)Nc1cc(Cl)ccc1OCC1CCCO1,"[0, 1, 2, 3, 4, 5]","[ 1.14599228e+00  8.41562212e-01  4.90504652e-01  4.45413619e-01
  4.39417660e-02 -7.28092909e-01  1.07228243e+00  1.47977209e+00
 -1.78525531e+00  7.00171441e-02 -1.82984138e+00 -1.10152856e-01
  1.02950990e+00  1.02269483e+00  1.00007439e+00 -3.79431814e-01
  1.18146479e+00 -1.12519130e-01 -3.60225439e-02 -7.48420537e-01
  1.07040071e+00  1.23752987e+00 -1.17116617e-02  1.99097586e+00
 -3.51197571e-01 -1.46026528e+00  9.73131478e-01  2.60644943e-01
 -4.28168446e-01 -2.69390047e-01 -3.62976134e-01 -8.46642137e-01
  1.37694359e+00 -2.96727031e-01 -2.72845209e-01 -6.91649556e-01
  9.45554554e-01  4.41776693e-01 -1.16477096e+00 -2.95770139e-01
 -1.60506880e+00 -1.55617446e-01  4.93593961e-01 -6.17166042e-01
 -1.78291667e+00 -4.44380164e-01  1.39717019e+00  6.19630814e-01
  1.28405571e+00  1.30889165e+00  1.19968462e+00 -5.68676353e-01
 -1.52389205e+00 -8.01483691e-01  4.20736343e-01 -5.39154410e-01
  5.70254982e-01  8.15643370e-02 -1.48638725e+00  6.99299991e-01
 -6.10672057e-01 -1.20151830e+00 -1.46762860e+00 -1.70895189e-01
 -2.98625380e-01 -9.40750465e-02 -4.17798385e-03 -3.88582647e-02
 -3.89542580e-01 -1.81642979e-01  2.33481769e-02  8.56418014e-02
  1.46131426e-01 -2.13453751e-02  1.25750899e-03 -1.89228028e-01
  2.18270332e-01 -2.34188437e-02 -5.47305346e-02  2.65149415e-01
  1.67301345e+00 -1.11960471e-02 -1.95437089e-01  6.68815598e-02
 -3.73122066e-01 -2.33572155e-01  6.99532852e-02  1.11830309e-01
  6.97503984e-03  3.00899208e-01 -6.85580254e-01 -1.69501379e-01
 -1.28165692e-01  1.08984597e-02 -2.12130159e-01 -2.21424997e-02
  5.49582653e-02  5.71604073e-02 -6.65039599e-01 -1.03357188e-01
 -2.02255264e-01 -1.45245507e-01 -2.60008574e-02  1.32621914e-01
 -2.64009386e-02  1.27660525e+00 -7.63026476e-02 -3.69503856e-01
  2.03167051e-01 -6.25490695e-02 -2.21681789e-01  9.52005386e-04
  2.07858145e-01 -1.25096053e-01 -3.68060842e-02 -2.04962716e-02
 -1.60998911e-01 -2.46454135e-01  1.65201664e-01  3.29042196e-01
  1.03907895e+00 -2.54759520e-01  7.03842342e-02  1.41966790e-01
  7.58782774e-03  2.57238448e-02 -4.84812826e-01 -3.26183975e-01]",1.8563922054047883,,
