compound_id,smiles,generation,source,Combined_fitness,SA_score,LogP_score,Cycle_score
0,O=C(c1ccccc1O)N1CCN(C(=O)[C@H]2C[C@@H]2c2ccccc2F)CC1,"[0, 1]",initial,0.6347753205740515,0.29058260375919565,0.24368893528893462,0.10050378152592122
1,COc1ccc2c(=O)ccn(CCC(N)=O)c2c1,"[0, 1]",initial,0.31169827030946673,1.1019841571089946,-0.890789668325449,0.10050378152592122
2,CCn1c(=O)c(CCC(=O)Nc2cccc(C)c2C)nc2c(C)nn(-c3ccccc3)c21,"[0, 1]",initial,1.980346886586503,0.6682847314057591,1.2115583736548228,0.10050378152592122
3,CSc1cccc(N2C[C@@H](C(=O)[O-])CC2=O)c1,"[0, 1]",initial,-1.0951333819116909,-0.06001106078924837,-1.1356261026483638,0.10050378152592122
4,CC[C@](O)(c1ccccc1)[C@@]1(C#N)CC[C@H](C)C1,"[0, 1]",initial,-0.11633217130849681,-1.1114024619762375,0.8945665091418195,0.10050378152592122
5,C[C@H]1CCCN(C(=O)CSc2nnc(Cc3cccs3)n2C2CC2)C1,"[0, 1]",initial,1.1851200462741358,0.1889243716752476,0.8956918930729668,0.10050378152592122
6,O=S(=O)(N[C@H](c1nccs1)C1CC1)c1c[nH]c2nccc(Cl)c12,"[0, 1]",initial,0.1413452369995759,-0.5188709907131093,0.559712446186764,0.10050378152592122
7,CNC(=O)NC(=O)[C@H](C)[NH2+]CC1(c2ccc3c(c2)OCO3)CCOCC1,"[0, 1]",initial,-2.343826148503523,-0.8897600302219077,-1.5545698998075363,0.10050378152592122
8,COC(=O)[C@@H]1CC(=O)N(c2cccc(C(F)(F)F)c2)C1,"[0, 1]",initial,0.7717484112664653,0.6814868012413572,-0.010242171500813057,0.10050378152592122
9,CNC(=O)[C@@H]1CCC[NH+]1Cc1cccc(NN)n1,"[0, 1]",initial,-4.2456224949173365,-1.9995347204414728,-2.3465915560017843,0.10050378152592122
10,CCN(C[C@@H]1CCOC1)C(=O)c1ccnc(Cl)c1,"[0, 1]",initial,0.38385243061787594,0.2920859467313496,-0.008737297639394842,0.10050378152592122
11,c1cc2c(cc1-c1n[nH]cc1CN1CC[C@H]([NH+]3CCCC3)C1)OCCO2,"[0, 1]",initial,-2.1970433009727324,-1.5476921227599385,-0.7498549597387151,0.10050378152592122
12,COCCn1nc(C)c(NC(=O)c2cc(SC)ccc2C)c1C,"[0, 1]",initial,1.8113021044617807,0.9374199601470344,0.773378362788825,0.10050378152592122
13,CN1C[C@H](C(=O)N[C@H]2CCCc3c2cnn3C)CC1=O,"[0, 1]",initial,-1.4495824502699868,-0.3364029762487631,-1.213683255547145,0.10050378152592122
14,CC1CC([NH2+]Cc2c[nH]nc2-c2cccs2)C1,"[0, 1]",initial,-1.22605940906175,-1.165048481365164,-0.16151470922250727,0.10050378152592122
15,C[C@@H]1CC(C(=O)NC2CC[NH+](Cc3ccc(F)c(F)c3)CC2)C[C@@H](C)O1,"[0, 1]",initial,-1.71816892712599,-1.5471059196509056,-0.2715667890010057,0.10050378152592122
16,O=C(C[C@H]1Nc2ccccc2OC1=O)Nc1ccccc1F,"[0, 1]",initial,0.8098219146667558,0.5084199589548367,0.20089817418599787,0.10050378152592122
17,CN(Cc1ccc2c(c1)OCCO2)C(=O)/C=C/c1nc2ccccc2s1,"[0, 1]",initial,1.8543280100902406,0.777392581361348,0.9764316472029714,0.10050378152592122
18,CCOc1ccc(NC(=O)Nc2ccc(I)cc2)cc1,"[0, 1]",initial,3.1604497026627376,1.6944716661080697,1.3654742550287466,0.10050378152592122
19,Cc1[nH]nc(O)c1CC(=O)N/N=C/c1ccccc1[N+](=O)[O-],"[0, 1]",initial,-0.22842667049286403,0.47076854718203487,-0.7996989992008201,0.10050378152592122
20,CCOC(=O)c1c(C)oc2ncnc(Nc3cccc(OC)c3)c12,"[0, 1]",initial,1.815098571386929,0.9208286577148818,0.7937661321461258,0.10050378152592122
21,CCOC(=O)[C@H](C)Oc1ccc2c(c1)O/C(=C\c1ccc(OC)cc1)C2=O,"[0, 1]",initial,1.4593345852330868,0.44619272236866286,0.9126380813385025,0.10050378152592122
22,C[C@H]1C[NH+](Cc2ccc(F)cc2C[NH3+])C[C@@H]1C,"[0, 1]",initial,-3.837325950739749,-2.6235816451967944,-1.3142480870688757,0.10050378152592122
23,Cc1ccc(N2C(=N)S/C(=C\c3cc(Cl)ccc3O)C2=O)cc1,"[0, 1]",initial,2.354766784604325,0.8391998828510107,1.4150631202273933,0.10050378152592122
24,O=S(=O)(/C=C/c1ccccc1)Nc1ccc(Cl)c(-c2nnc3n2CCCCC3)c1,"[0, 1]",initial,-7.654272188871092,0.6660552791366213,1.6295469030584864,-9.9498743710662
25,Cc1nn(C)c(C)c1CCC(=O)N1CCN(C(=O)c2ccccc2F)CC1,"[0, 1]",initial,1.1231997652686712,1.1232698445076508,-0.10057386076490094,0.10050378152592122
26,CCCc1c(C(=O)[O-])nnn1-c1ccccc1[N+](=O)[O-],"[0, 1]",initial,-0.7286202421825043,0.31945708000779993,-1.1485811037162255,0.10050378152592122
27,N#CC(C#N)=NNc1ccc(cc1)[N+]([O-])=O,"[0, 1]",initial,0.06258636473071645,0.5097871828462154,-0.5477045996414202,0.10050378152592122
28,Cn1c(SCC(=O)Nc2ccc3c(c2)OC2(CCCC2)O3)nc2ccccc21,"[0, 1]",initial,1.7268226282382912,0.2531893637798869,1.373129482932483,0.10050378152592122
29,Cc1cccc(NCC(=O)Nc2ccc(OC[C@@H]3CCCO3)cc2)c1,"[0, 1]",initial,1.8248441165062594,0.8368140183380234,0.8875263166423147,0.10050378152592122
30,CCOC(=O)[C@@]1(CC)C[C@H](CSc2nc3ccccc3[nH]2)OC1=O,"[0, 1]",initial,-0.03335827013360397,-0.5807743875382436,0.4469123358787184,0.10050378152592122
31,Cc1noc(C)c1[C@@H](C)C(=O)OC[C@@H](C#N)Cc1cccs1,"[0, 1]",initial,0.02377648635137221,-0.8194585746291002,0.7427312794545512,0.10050378152592122
32,CC[NH2+][C@@H](c1cccs1)[C@@H]1CN(C)CCO1,"[0, 1]",initial,-2.6085133875443676,-1.6988844606045412,-1.0101327084657474,0.10050378152592122
33,CCOC(=O)c1c(C)[nH]c(/N=N/c2ccc(C)cc2)c1C,"[0, 1]",initial,2.081897208952007,0.4862644748414092,1.4951289525846765,0.10050378152592122
