compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
24,Cc1cc(C)c(C(=O)Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)c(C)c1,"[0, 1]","[-9.41090763e-01 -9.64110911e-01 -1.27017665e+00 -1.55482733e+00
  9.53072682e-03 -6.58590972e-01 -3.55119646e-01  6.73502803e-01
 -6.58705831e-05 -6.22979164e-01 -3.17883939e-01  1.74677879e-01
 -1.00780237e+00  4.93172407e-02 -1.37270856e+00  8.02184939e-01
  9.89149451e-01 -9.98674035e-01  6.78281903e-01 -1.56964397e+00
 -7.28905380e-01 -1.09898388e+00 -2.26191372e-01  7.37968087e-01
  3.84481668e-01  1.95241332e-01 -1.59306204e+00 -1.12501979e+00
 -7.19133914e-02  2.21223176e-01 -5.01000106e-01 -1.20041299e+00
 -1.55445457e+00 -1.91516191e-01 -9.47397470e-01 -9.53248620e-01
 -6.86983943e-01  9.62593138e-01 -8.18440437e-01  1.68038476e+00
 -1.20261312e+00  5.66667914e-01 -5.27126372e-01  8.86907876e-02
  1.61599791e+00  2.31105161e+00  7.14559913e-01 -5.59241116e-01
 -1.14645600e-01  1.67088962e+00 -6.55557454e-01  1.31726444e+00
 -4.07614708e-02 -3.43896210e-01  6.98063970e-02  6.24540925e-01
  3.32631612e+00 -9.57078516e-01 -6.89126849e-02 -1.95842594e-01
  7.71915913e-01 -1.52120578e+00  1.39877868e+00 -6.94931865e-01
  4.88902986e-01 -3.52636993e-01 -1.09378546e-02  4.30779696e-01
 -7.71571696e-01  2.14232668e-01 -5.26793450e-02 -2.47208670e-01
 -4.38606709e-01  1.90211460e-01 -2.77421176e-01 -5.97819649e-02
 -7.54470527e-01  3.35218847e-01 -6.59967840e-01 -4.20774221e-02
  1.62368917e+00 -8.86707008e-03  1.25781566e-01 -4.92603928e-02
 -5.05968928e-01 -4.29246604e-01 -4.98160601e-01 -1.32550776e-01
 -4.76224944e-02  1.20525348e+00  2.34201536e-01  2.98467517e-01
  7.26768225e-02  6.55200183e-02  1.98305130e-01 -9.91199434e-01
  6.15587831e-01 -4.94226664e-02  1.84767127e-01  2.40166157e-01
 -1.02018130e+00 -7.01791607e-03 -1.42698020e-01  1.05629712e-02
 -1.67195842e-01  1.12005532e+00  8.71700764e-01  1.07443154e-01
 -1.62657499e-02  4.18304615e-02  5.52895248e-01 -1.24879688e-01
 -9.57256854e-01  8.84378314e-01 -2.31104717e-01 -1.48797631e-01
  2.28497297e-01  9.44103122e-01  6.41000211e-01 -2.08448954e-02
 -2.81451046e-01 -2.62279809e-01 -2.57992931e-03 -2.79852748e-01
  2.12274164e-01  3.78164947e-01 -8.59634697e-01  2.87416160e-01]",2.9899739508297913,,
33,CC(Oc1ccccc1Cl)C(=O)Nc1cccc(Br)c1,"[0, 1]","[ 2.601848    0.55461776  0.27943262  1.177349    0.04221793 -1.1597662
 -0.27519262 -0.9366526   0.36956948 -0.15911429 -0.69110674 -0.8877711
  1.1692435  -1.4656463   0.28988492 -0.3810953  -0.42873344 -1.4820871
  0.23259783  0.02224988 -0.9565369   0.50989074 -0.24084274  0.6867259
  0.02404109  0.04334539  0.25312966 -0.5589341  -1.0371693  -0.0971998
  0.09722534  1.7577446  -0.3637996  -0.5225218  -1.21309     0.26780498
  0.39079535 -0.29728302 -1.4865713  -1.8810723   0.9682259   0.25103587
  1.5922246   0.3841049  -0.5982853  -0.18111534 -0.25327453  1.0913546
  0.05835426  0.00759637 -0.521587    0.5366887   1.1243027  -0.23103929
  0.70494795 -0.65632665 -0.4453185   0.05062407 -0.2614522  -0.3001558
  0.97659093 -0.15164906  0.7454814   1.0766318   0.12763721 -0.02590534
  0.19405822 -0.8203069   0.8061225   0.64771247  0.1201555  -0.26288903
  0.41426945  0.1793948   0.18777019  0.39170712  0.10528028  0.34026414
 -0.33135673 -0.01617816  0.8938061  -0.15642068  0.32796    -0.05814329
  1.1252612   0.36148712  0.83325475 -0.04192744  0.03220731  0.5785835
  0.08170903  0.2121517  -0.01655009  0.04488299  1.8708007   0.10980238
  0.6599689  -0.26392207  0.16041711 -0.09807244  1.5921975   0.16072798
 -0.06330238 -0.09941126 -0.07850782 -1.8264405  -0.19865227 -0.84601206
 -0.28853846  0.21520935  0.54874605 -0.03927354  0.4242794   0.12492365
 -0.22467516  0.08529359 -0.15986618  0.38476413 -0.16239458  0.42441583
  0.00794089 -0.02652159 -0.07085086  0.06398404  0.2013084  -0.18454686
  0.5055609   0.1390343 ]",2.6866833680091635,,
50,COCOC1CC[NH2+]CC1OC(=O)CSc1ncc2cccc(-c3ccccc3)c2n1,"[0, 1]","[-6.01225662e+00 -2.19213104e+00  1.12708735e+00  8.98307204e-01
  1.70907527e-02 -1.02500212e+00 -5.63438475e-01 -1.50325000e-01
  1.39883742e-01 -5.20406532e+00  9.10445333e-01 -6.95325792e-01
 -5.70378974e-02  5.29828072e-01 -4.18648303e-01 -9.79511619e-01
 -1.18376076e-01  7.28493392e-01 -1.12698185e+00  4.82796103e-01
 -2.90816951e+00  1.05287826e+00 -5.29067338e-01 -6.06169760e-01
  8.55125904e-01  8.12592745e-01 -3.11742008e-01 -1.19313288e+00
  7.50447154e-01  3.58962029e-01  6.76164806e-01  1.84216499e-01
 -4.48004335e-01  5.27451277e-01 -1.36820292e+00  4.22121793e-01
 -1.63359237e+00 -1.32830691e+00  1.79270947e+00  5.64759016e-01
  9.68257010e-01 -1.83741927e-01  2.12874079e+00  1.16754547e-01
 -1.96284974e+00 -7.73501337e-01  1.00418448e+00  2.79044777e-01
 -2.03815252e-01  5.02579546e+00 -1.14270878e+01 -6.61487460e-01
  1.14359021e-01 -2.39272094e+00  4.00169253e-01  8.13265920e-01
  1.58158982e+00  6.50226533e-01 -1.67584568e-01 -2.95215249e-01
 -2.64918852e+00  3.14571291e-01 -9.87072706e-01  6.78165928e-02
  1.44267529e-02 -2.32753426e-01  1.60813257e-01 -4.69425023e-02
  9.54114497e-02  2.57470757e-01  1.04074161e-02 -2.96102166e-02
 -1.68621153e-01  2.40327865e-01 -3.50261182e-01  1.44486785e-01
 -6.14669085e-01  1.03942476e-01 -1.43249989e-01  1.94008440e-01
  1.50555944e+00 -8.77031982e-02 -4.70885634e-02  9.35444534e-02
 -7.98185945e-01  5.68416715e-01 -1.21737194e+00 -1.38736814e-01
 -1.03645042e-01  2.21860468e-01 -2.02470347e-01 -1.21722385e-01
 -2.22136647e-01  7.76967853e-02 -1.34619164e+00  7.52608776e-02
  2.46178776e-01  1.37696698e-01  1.10621810e-01 -8.10827613e-02
  5.94482869e-02 -5.41352853e-02 -1.10303983e-01  1.40547484e-01
  2.63563655e-02  2.00866178e-01  3.43533576e-01 -6.70838356e-02
  2.32100725e-01  1.85157120e-01 -3.72799486e-01 -7.47291893e-02
  5.05655050e-01 -5.31829000e-01 -1.45978332e-01  4.10226196e-01
 -2.22789943e-01  4.89617407e-01  1.22735649e-01 -5.83509028e-01
 -7.55306900e-01 -4.18596566e-02  3.98764387e-02 -2.27142215e-01
  1.99794769e-04  6.35522485e-01  1.67797670e-01  1.74759142e-02]",-1.7542296640442,27.0,
6,O=C(c1cccc(OC(F)F)c1)N1CCCC(c2nc3ccccc3s2)C1,"[0, 1]","[ 9.60343719e-01 -6.31612659e-01 -4.85575199e-03  1.71408749e+00
  3.25646177e-02 -2.00261092e+00  9.39946473e-02  8.67724419e-01
 -2.41282344e-01  6.60995245e-02  1.47600996e+00 -6.30906224e-02
 -5.75790465e-01 -1.75301015e-01  7.25542665e-01 -1.53275418e+00
 -2.42354468e-01 -9.55798149e-01 -1.23726094e+00  9.11390066e-01
 -5.31006694e-01 -7.38371968e-01  1.43591225e+00  9.01211977e-01
  6.41663551e-01 -5.53191721e-01 -2.72330701e-01 -8.84255648e-01
 -7.34254122e-02 -5.97642183e-01  1.40177560e+00  9.36469287e-02
  7.63889551e-02 -4.41575348e-02  1.72513080e+00 -1.29038382e+00
  4.96283770e-01 -1.78988516e-01 -2.44661868e-02  9.32050467e-01
  7.81111717e-02 -7.54096806e-01 -6.35996580e-01 -1.36232972e-01
 -8.60415459e-01 -3.95315111e-01 -1.60476893e-01  8.67027223e-01
 -3.52043927e-01 -7.34272480e-01 -1.84291780e-01 -4.36879158e-01
  6.66596889e-02  6.22007012e-01  5.34674048e-01 -3.74478936e-01
  4.75973547e-01  2.11413383e+00 -1.99000549e+00 -9.12573934e-03
 -8.24087083e-01 -1.79363322e+00 -3.42010349e-01  8.57434034e-01
 -8.73378068e-02  7.99864009e-02 -2.31859744e-01 -3.87902975e-01
  1.74034715e-01  8.82832289e-01 -8.24535787e-02  1.25679612e-01
 -7.05977440e-01  2.50362515e-01  4.69453424e-01  8.82634521e-03
  8.35071504e-02 -2.63822883e-01  1.79859146e-01 -4.78606522e-01
  1.05063760e+00  2.45640188e-01  1.95208024e-02 -1.60814092e-01
  7.14560270e-01  3.55586201e-01  1.75586009e+00  1.58467889e-03
  1.20212398e-01 -6.30376279e-01  1.22073674e+00  2.79083103e-01
  1.63371354e-01 -3.94913368e-02 -4.73192751e-01 -2.31222942e-01
  5.73592186e-02 -3.74751031e-01  3.21952045e-01  2.40775332e-01
  1.41531795e-01 -1.37002468e-02  2.83548176e-01 -8.94509852e-02
 -4.27423418e-02 -1.28134191e+00 -9.04261470e-02 -1.05423406e-01
 -5.02869904e-01 -1.85194746e-01  7.24273741e-01  8.90638530e-02
  5.70086360e-01  1.04830921e-01  3.08484286e-01 -1.11156917e+00
  8.83812904e-01  2.44020820e-01 -4.47702706e-02  1.22835785e-01
 -5.97765505e-01  8.13044161e-02 -1.25132367e-01 -3.70035142e-01
  8.91121924e-02  2.55723953e-01  1.59945533e-01  2.08855420e-01]",2.205407232325766,,
20,O=C(NCc1cccc(COCc2ccco2)c1)c1cccc(Cl)c1Cl,"[0, 1]","[ 1.5116894e+00  1.7584777e-01 -5.2168334e-01  7.8876436e-01
 -1.4576520e-01  3.5937202e-01 -2.1858944e-01  2.4869671e+00
  5.5649650e-01  5.2194345e-01 -4.3095809e-01 -3.6888266e-01
  2.4078598e+00  3.4118509e-01  4.4654322e-01 -8.3974704e-02
  1.5475851e+00 -7.3394674e-01 -1.2009421e-01  9.2150450e-01
  2.2832351e+00  2.4827175e+00  4.9079098e-03  9.9900705e-01
 -2.6407599e-02 -7.8206521e-01 -9.7237742e-01  5.8937699e-01
  7.7837873e-01 -5.5181658e-01 -8.5055834e-01 -1.0689499e+00
  4.4812417e-01 -2.8511262e-01 -8.0595124e-01 -8.2091933e-01
 -1.4481683e+00  7.9915762e-02 -9.1769481e-01 -6.5918684e-01
 -1.5165368e+00  1.9271803e+00  1.1397057e+00  4.5374733e-01
  7.3202193e-01  7.8574789e-01  1.1258651e+00  1.4428238e+00
 -4.1803676e-01 -1.6186360e+00 -1.2700206e+00  1.8522787e+00
 -1.1563444e+00  6.1075854e-01 -4.9368739e-02 -7.7097303e-01
 -1.3378016e+00  9.0932608e-02 -2.8519411e+00  9.2792261e-01
 -1.4037836e+00 -2.3390355e+00 -1.2809758e+00  6.4923480e-02
  4.2723948e-01  5.1392615e-03 -2.7974762e-02 -3.9756835e-01
  3.0174929e-01  9.6714926e-01  5.8263447e-03  1.1124377e-01
  1.2642838e-01  1.7955931e-01  1.1122761e+00  1.9292349e-01
  1.3830929e+00 -9.2523031e-02  1.9765711e-01  3.4662038e-02
  7.6180238e-01 -3.2835421e-01  4.2447392e-02 -5.2276522e-02
  1.0104984e+00  6.7485189e-01  1.4588351e+00 -1.7350140e-01
  8.0526002e-02 -3.7762952e-01  3.5470104e-01 -4.7316799e-01
 -4.2891452e-01  2.7125582e-02 -4.7512352e-03  8.9918327e-01
 -1.5313092e-01 -9.5410921e-02 -6.6645378e-01  4.9938172e-02
  4.2255312e-01  1.9533375e-01 -2.2596963e-02  1.7140895e-01
  2.7909540e-03 -1.1567876e+00 -2.8767592e-01 -6.2808686e-01
 -2.3636279e-01  1.7977697e-01 -2.5154173e-02 -6.6409685e-02
  1.5945143e+00 -2.6502651e-01  7.5292699e-02 -4.2754108e-01
  1.7395166e-01  3.5592765e-01  8.7156487e-01 -1.2352955e+00
 -7.3601395e-01 -2.0252435e-01  3.9350811e-01  5.4171377e-01
  5.1506385e-02 -3.1458730e-01  4.0149808e-01 -2.6863724e-01]",3.2383452208481276,,
23,O=C(Nc1nccs1)c1cc(-c2ccccc2)cs1,"[0, 1]","[-5.96937835e-01 -1.10107887e+00 -2.99844563e-01  5.23125231e-02
  1.71612695e-01  2.03317225e-01 -4.85686421e-01  1.05938554e+00
 -4.23039585e-01 -1.76236057e+00 -7.81128705e-01 -7.68429339e-01
  8.81180882e-01 -1.96026742e+00  6.31558716e-01 -1.47678804e+00
 -8.07875633e-01 -4.36335266e-01  1.16191037e-01 -4.91937518e-01
 -3.12560296e+00 -3.14175785e-02 -1.48242921e-01  1.14266074e+00
 -4.97339547e-01 -1.43878996e-01  5.08757830e-01 -5.77698588e-01
 -4.90592659e-01  2.37061977e-02 -1.37125444e+00 -4.97716576e-01
 -7.87629426e-01  6.33496881e-01  5.78566074e-01 -1.12913632e+00
 -1.23482203e+00  7.43704081e-01 -1.96809709e-01  2.47300196e+00
  5.02684772e-01  9.06705141e-01 -1.10219747e-01  5.22753954e-01
  7.98286319e-01  3.59286189e-01 -8.13787341e-01 -4.13449287e-01
  4.74171042e-01 -9.74737108e-01 -4.00698692e-01  6.53135419e-01
  9.50595260e-01  6.24904513e-01  1.07163143e+00  5.07122576e-02
  6.55089319e-01 -9.95447040e-02 -5.93076944e-02  5.49069941e-01
  6.55338764e-02  1.04244971e+00  2.38568157e-01 -6.05820060e-01
 -8.60408843e-01  1.30577162e-01  3.55390608e-02  4.21017826e-01
  6.58990681e-01  3.05502564e-02  1.16546884e-01 -1.81624174e-01
 -1.03209090e+00 -7.46244907e-01  5.40226698e-01  3.24404716e-01
  1.75879940e-01 -6.14013374e-01 -7.47356534e-01 -6.12901330e-01
  1.38810480e+00  5.56731761e-01  1.19574368e-03 -2.41403744e-01
 -6.19790375e-01 -6.12083435e-01 -5.26610553e-01  2.10628435e-01
  1.13343626e-01 -1.09543896e+00  9.80926633e-01  3.42962176e-01
  6.03277147e-01 -6.33134842e-02 -6.10916853e-01 -1.23266923e+00
  4.22489226e-01 -7.24190176e-01  1.26017916e+00  8.72568339e-02
  1.62945306e+00 -2.50033945e-01  9.17552486e-02 -2.51103222e-01
 -1.48787260e-01 -5.08555830e-01  1.31192696e+00 -5.41536272e-01
 -6.23212814e-01 -1.82854533e-01 -5.22277117e-01  7.56160915e-02
  1.57532227e+00  9.12275553e-01  1.35199398e-01 -4.90896702e-02
  8.14585328e-01  8.34194720e-01 -1.65447521e+00  1.15861011e+00
  1.53808677e+00  2.23851383e-01 -2.32416838e-01 -2.63682842e-01
  1.03262737e-02 -1.23514867e+00 -1.68545175e+00  2.32093427e-02]",2.5090942568764,,
39,CCn1c(C)cc(C(=O)CS(=O)Cc2cccc3ccccc23)c1C,"[0, 1]","[-1.78923535e+00 -1.25961673e+00 -1.18847322e+00  6.57691836e-01
 -9.66425240e-02  7.63676882e-01 -4.68761027e-01 -2.69581944e-01
 -9.58324224e-02  9.61902499e-01  1.64211333e-01  1.74520302e+00
  6.14589453e-01  1.07026362e+00  5.48489332e-01  1.85334611e+00
  8.64114165e-01 -7.65735567e-01 -5.79657674e-01  2.51936335e-02
  1.35883045e+00 -7.36794710e-01 -5.81838489e-02 -1.71295762e+00
 -1.08675182e-01  9.17699277e-01 -1.53293514e+00 -9.59155321e-01
 -1.87221050e-01 -1.45252728e+00 -2.32470536e+00 -2.03468680e-01
 -4.71267879e-01 -2.56344616e-01 -8.45415592e-01  9.75587487e-01
 -5.39647758e-01 -3.76580447e-01  1.67661643e+00  9.24247086e-01
 -6.94202781e-01 -1.34369183e+00  1.02174366e+00  1.16899347e+00
  8.86521935e-01 -2.05287129e-01  1.51829517e+00 -1.89343393e-01
 -3.15527111e-01 -1.54633021e+00 -1.35688996e+00  8.93940508e-01
  2.72558856e+00  3.46799302e+00 -1.41604394e-01 -3.06685627e-01
 -3.24317575e-01 -4.60359693e-01  6.06380105e-01  8.02807927e-01
 -4.38448966e-01  1.40131164e+00  1.80341005e-02  3.09245497e-01
  5.82585454e-01 -4.84025739e-02  9.93310660e-02 -3.88361961e-02
  2.86316186e-01  5.09909213e-01  8.89381394e-03  3.00242156e-02
  3.93023193e-02 -4.72179055e-03  3.70819032e-01 -3.28109413e-02
  5.77882767e-01 -2.47817487e-01  2.16687664e-01  3.84866595e-02
  1.56455398e+00  2.85800993e-02  7.03234673e-02  1.14136331e-01
  7.42587030e-01  3.62938523e-01  8.02700222e-03  2.73420274e-01
  2.87913531e-03  2.83841729e-01 -6.19031668e-01  1.60268426e-01
 -3.36365789e-01 -4.86453064e-02  2.29610562e-01 -1.91822767e-01
  1.05686925e-01  2.00711995e-01 -2.92253315e-01 -5.97323328e-02
 -6.85830593e-01  7.20768049e-02  7.06897750e-02  6.82793409e-02
  9.93772596e-02  4.20811176e-02 -7.67866254e-01  5.67335077e-03
 -4.90840226e-02  2.04702467e-02  2.09851399e-01  8.83375853e-02
 -2.74809062e-01 -4.57707673e-01  4.53272313e-02 -2.83419609e-01
  1.69525325e-01  2.42898747e-01  1.64042741e-01  2.94780761e-01
 -4.06998694e-02 -2.33563527e-01  1.80945456e-01 -3.40662152e-01
  1.20757744e-02  3.44649822e-01  7.51635492e-01 -4.16976362e-02]",1.5512005772174786,,
37,CCCN(CC1COc2ccccc2O1)S(=O)(=O)c1ccc(F)c(F)c1,"[0, 1]","[ 5.22557855e-01 -1.32459676e+00 -1.73570490e+00  2.29199481e+00
 -1.10792316e-01  2.65414906e+00 -1.00747287e+00 -1.46004462e+00
 -1.59976017e+00  1.36074805e+00 -2.32202262e-01 -5.52209020e-01
  3.71231019e-01  1.14772069e+00 -1.80896819e-01 -1.23981857e+00
  8.20046902e-01 -4.78779882e-01  4.18227494e-01  1.11913776e+00
  1.36094618e+00  4.44933116e-01 -2.02964276e-01 -3.74217033e-02
  6.17251158e-01 -2.32243538e-02 -4.40255731e-01 -2.98371732e-01
  3.63370776e-01 -7.97554404e-02 -1.30296409e-01  3.34869683e-01
 -1.63278425e+00 -9.31961238e-02  7.23056912e-01  1.22488523e+00
 -8.96073937e-01  3.83978784e-02  2.01231647e+00 -6.83209419e-01
  3.59038442e-01 -1.45214379e+00  4.34839159e-01 -4.36513722e-01
  1.90439165e-01 -1.23889184e+00 -2.04684705e-01 -7.89543211e-01
 -9.79785323e-01  1.35162622e-01  1.01961064e+00 -4.85516757e-01
  1.98037517e+00 -3.39594066e-01  7.73812830e-01  5.17325342e-01
  8.81233454e-01 -7.17183173e-01 -2.80059993e-01  1.88558072e-01
  7.31413424e-01  3.54870439e-01 -4.21633601e-01  1.92342818e+00
 -7.03303814e-02  7.38426447e-02  3.18090469e-02 -4.67892945e-01
  1.12027597e+00 -2.18497291e-01 -1.01393104e-01  7.96662122e-02
  1.95014507e-01 -5.48314676e-02  4.74863499e-01 -2.57073045e-01
  9.43350077e-01 -6.17234297e-02  5.90180874e-01  3.39267254e-02
  1.20314610e+00 -4.89068702e-02  1.60442546e-01 -4.19044644e-02
  3.94323289e-01 -1.24487579e-01  1.95925921e-01  2.79824249e-04
  1.36051700e-01 -3.36457521e-01 -1.22803431e-02 -5.12082696e-01
 -2.27225259e-01  3.64237390e-02 -4.59230125e-01 -6.72799349e-03
 -4.50934231e-01  2.54173934e-01 -4.52910513e-02 -8.36415589e-02
 -4.40721661e-01  7.33868331e-02  1.36671185e-01 -2.35765725e-02
 -2.77422182e-02  1.21912375e-01  1.50533974e-01  2.84245580e-01
  3.17864984e-01  1.09889740e-02 -5.81825674e-01  3.18167247e-02
 -1.35726348e-01 -8.21177006e-01  1.46694928e-01 -3.79568934e-01
  2.04567298e-01 -1.12770647e-01 -3.33990782e-01  6.18499935e-01
 -5.11291683e-01 -7.82316029e-02  2.31048614e-01  1.12983339e-01
 -2.37573460e-02 -1.06912017e-01  3.58430296e-01 -1.67379737e-01]",0.8358207350486083,,
40,CCCN(CCC)c1nc2ccccc2n(CC(=O)N2CCc3ccccc3C2)c1=O,"[0, 1]","[-1.7685232e-01  3.5811949e-01 -2.4787624e+00 -3.0579460e-01
 -1.5967137e-01  4.5975032e-01  3.4833094e-01 -1.9489009e+00
 -5.8513272e-01  8.8790393e-01  3.2210267e-01 -1.6322094e-01
  1.2950876e-01  2.0942371e+00 -1.3979354e+00 -8.1010032e-01
  4.3215343e-01 -3.7215436e-01 -1.3387662e-01  9.6822381e-01
  9.0770209e-01 -3.3346367e-01  8.1235677e-01 -1.4257736e+00
  1.1353962e+00 -1.2579082e+00 -5.6482524e-02 -6.4304888e-02
  8.6061293e-01  8.9919376e-01 -1.2709422e+00  1.3620846e+00
 -1.0796841e+00 -1.9995496e-01  1.8217040e+00 -1.0869904e+00
  2.0598684e-01  1.0480384e+00 -4.5586890e-01 -3.3900094e-01
  3.2276395e-01 -1.9230995e+00 -4.4690388e-01  2.1874552e+00
 -8.6585927e-01 -2.9332900e+00  1.3437443e+00  1.0703641e+00
  5.0018972e-01  7.5895613e-01  1.1683161e+00 -3.6655149e+00
 -1.1587858e+00  1.0705161e+00 -9.3604946e-01 -2.9618740e-03
 -7.0040667e-01 -1.0707099e+00 -4.8764962e-01 -6.9588208e-01
 -3.0368328e-01  2.5239763e-01  1.7060758e-01  1.5123304e+00
 -3.0891493e-02 -1.6137425e-02 -2.4060473e-02 -7.5295299e-02
 -1.9846484e-01  7.7925509e-01  3.2079749e-02  4.5484424e-02
 -3.8769761e-01  4.4247929e-02 -4.1163430e-01  9.1290481e-02
 -1.9917913e-01 -6.5277502e-02 -6.1925985e-02  1.7179599e-01
  1.2857440e+00  5.8928132e-04 -2.1981359e-01 -7.9565749e-02
 -1.0482471e-01  3.2209978e-02  2.9994267e-01  1.7999488e-01
  1.9461164e-01 -7.8855760e-02  8.7232310e-01 -3.4947133e-01
 -2.1281683e-01  1.3120261e-01 -3.9192548e-01  5.4149911e-02
  1.4964005e-01 -5.4807985e-01 -9.4457164e-02 -2.2499157e-01
  1.2533634e+00  4.9776569e-02 -4.8886899e-02  1.0641230e-01
 -2.4643727e-03  3.7811148e-01  4.1470996e-01 -1.8279457e-01
  1.0685998e-01  7.9295859e-02  1.3851693e-01  5.0516319e-02
  6.7012155e-01  1.0331461e-01 -5.8190271e-02 -2.5496003e-01
 -5.2531213e-02  1.4570944e-02 -3.6878777e-01 -2.2452015e-01
  2.8422165e-01 -1.4607482e-01  1.0112132e-01  2.9922250e-01
  1.0372122e-01 -2.7009606e-02 -4.1291419e-01 -8.7867796e-02]",1.5706859708771255,,
29,Cc1cccc(CC(=O)Nc2cc(N3CCN(c4ccccc4)CC3)ncn2)c1,"[0, 1]","[ 1.32541880e-01 -2.40943164e-01  3.38319242e-02  4.92213786e-01
  1.85725689e-01  3.51711541e-01 -1.22329101e-01 -1.70078278e+00
  7.69548595e-01 -9.36371207e-01  1.12966347e+00 -1.16481113e+00
  1.50423753e+00  3.81365180e-01 -1.04091609e+00  2.42834449e-01
 -4.85206425e-01  1.31149030e+00 -8.76488268e-01 -7.59541988e-01
 -1.30206752e+00 -2.19222069e+00  2.05687821e-01  6.40749931e-03
 -1.87185362e-01 -1.08377373e+00 -1.42554080e+00  2.31489992e+00
 -7.63480961e-01  1.83396012e-01  3.48678529e-01 -1.22373557e+00
 -7.62650311e-01  5.76106161e-02  3.85301173e-01 -1.93683672e+00
  1.13345528e+00  1.44927990e+00 -3.33929181e-01  3.71580422e-01
  1.97116315e-01  1.10620394e-01  1.77641332e-01 -5.57969034e-01
  1.60204434e+00 -6.66353166e-01  5.97682595e-01  3.76625180e-01
  7.49540091e-01  1.80098319e+00  1.77150369e-01 -1.51161218e+00
 -6.35561109e-01 -3.75668705e-01  5.15464008e-01  1.10070705e-02
  1.38854527e+00  3.29783469e-01  5.36623836e-01  1.87151253e-01
 -1.96661472e+00 -1.14433932e+00  2.26488963e-01  4.30695564e-01
  5.17131686e-02  1.79519802e-01  6.63905740e-02  4.98490334e-02
 -8.69251192e-02 -2.55705982e-01  7.04850256e-02 -1.04332924e-01
  5.69438577e-01 -1.38295993e-01  7.84835994e-01  4.89001721e-02
  1.90167293e-01 -1.13486961e-01 -1.42900482e-01 -2.85923481e-04
  1.09383500e+00  4.45291921e-02  1.34803504e-01  6.70383349e-02
 -1.34556919e-01  5.76281011e-01  3.60607594e-01  1.56701654e-01
 -7.18999878e-02 -1.62917376e-01  1.20167673e+00  3.28397930e-01
  3.97376120e-01 -1.72690898e-01  4.27998036e-01  4.03684437e-01
  1.39191985e-01  6.48753345e-01 -5.80990791e-01  2.48546302e-01
 -3.52700889e-01 -1.28097206e-01 -6.42535165e-02  3.48778129e-01
  6.27863407e-03 -1.92881155e+00 -7.84226000e-01 -1.66064692e+00
 -3.78594309e-01 -5.16142063e-02  2.81335115e-02 -1.70681030e-02
 -3.27810347e-01  2.65533090e-01 -1.50760636e-01  1.68598533e-01
 -1.79414511e-01  8.62650335e-01 -3.98795307e-01  5.81405401e-01
  3.79716247e-01 -1.73375994e-01 -1.22953825e-01 -1.23775356e-01
  2.27396935e-02 -2.72819221e-01 -4.29870754e-01 -1.97045088e-01]",1.9080089326184628,,
