smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
O=C(c1nn2c(c1Cl)N[C@H](c1ccc(/C=C/c3cccc(NCC(F)(F)F)c3)cc1)C[C@@H]2C(F)(F)F)N1CCOCC1,27.0,77.0,ZINC001161629525,mutation,[1],,50.0,5.670971321082759
CCN1CC[C@@H](NCCCSC(=O)c2ccccc2-c2ncc(-c3ccccc3)o2)C1,48.0,25.0,ZINC001173359202,mutation,[1],,51.0,4.820505692898996
CC[Si](C)(C)COC(=O)[C@@]1(Nc2cccc(OC)c2)CCCC1(C)C,0.0,24.0,ZINC000195760894,mutation,[1],,52.0,5.548821141907187
C=CCCNC(=S)N1C(=O)C(=Cc2ccc(OCc3ccccc3)c(OCC)c2)SC1=S,18.0,32.0,ZINC000002556931,mutation,[1],,53.0,5.3827771089911725
C=C(C)[C@H](C)C(=O)N(C(=O)C(C)C)c1ccc(-c2csc(Cc3csc(C)n3)n2)cc1,24.0,23.0,ZINC000005650617,mutation,[1],,54.0,4.8264990996784665
COC(=O)c1ccnc(/C=C/c2c[nH]c(C(=O)N3CCN(Cc4csc(-c5ccc(F)cc5)n4)CC3)c2)c1C,1.0,77.0,ZINC001240827205,mutation,[1],,55.0,4.1250984108857525
CC1C2CC(C(=O)N3C[C@@H](C)O[C@H](C)C3)SC2N(Cc2ccc(F)cc2)N1C(=O)[C@@H]1CC12CCCC2,41.0,13.0,ZINC000019087892,mutation,[1],,56.0,3.7816752977894232
CCOC(=O)C(O)(C=[N+]=[N-])c1c(C)ccc(F)c1[C@H](N)C(F)(F)F,7.0,81.0,ZINC000082053054,mutation,[1],,57.0,2.654075291829604
C[C@@H]1CC[C@H](N(C(=O)NC[C@@H]2CCCN(c3ncccn3)C2)C(=O)c2ccccc2)c2ccccc21,6.0,26.0,ZINC000114419197,mutation,[1],,58.0,4.785885185506693
CC[C@@H](C)COC(=O)N(C(=O)CCNC(=O)Cc1coc(-c2ccccc2)n1)c1ccc(C)cc1Cl,21.0,12.0,ZINC000034141530,mutation,[1],,59.0,5.024800394849704
COc1ccccc1N1CC[C@H](CN(C(=O)N2C[C@H]3CCCC[C@H]3C2)C(=S)Nc2ccc(C(=O)c3ccccc3)cc2)C1,5.0,32.0,ZINC000002565854,mutation,[1],,60.0,5.751431934772799
O=C(O[C@H]1CS(=O)(=O)C[C@@H]1Cl)N(CCc1ccccc1)C(=O)c1cnc2scc(-c3ccc(F)cc3)n2c1=O,38.0,12.0,ZINC000003163174,mutation,[1],,61.0,3.203055230982729
COC(=O)c1n[nH]c2ccc(N(C(=O)C3CC3)C(=O)N(C)[C@H](C)c3ccco3)cc12,23.0,26.0,ZINC000100508525,mutation,[1],,62.0,3.5974160554314105
CC[C@@H](Oc1ccc(OC)cc1)C(=O)Nc1ccc(Cc2nnnn2CC#Cc2ccccc2)cc1,9.0,47.0,ZINC000001729044,mutation,[1],,63.0,4.292549362981077
COc1n[nH]c2cccc(C(=CC(=O)N(C)C[C@H](C)[N+](=O)[O-])c3ccccc3)c12,8.0,18.0,ZINC000001758981,mutation,[1],,64.0,3.171772171949799
CCc1c(C(=O)OC)c(C)c(C(=O)N(C)CC(=O)Nc2c(C)cccc2C)n1-c1ccc(OCOC)c(Cl)c1,22.0,85.0,ZINC000169995220,mutation,[1],,65.0,4.478283156579378
COC(=O)C[C@H](C)C(=O)Nc1cnc(SCc2ccccc2)cc1C,36.0,13.0,ZINC000006763328,mutation,[1],,66.0,3.444971989961884
COc1cc(-c2ccc(NCC(C)C)cc2[N+](=O)[O-])c(OC)cc1NC(=O)N(C)Cc1ccncc1,3.0,89.0,ZINC000163923084,mutation,[1],,67.0,4.1705773102845765
CCc1nn(C)cc1CNC(=O)Nc1ccc(-c2c([N+](=O)[O-])cccc2P(=O)(O)O)c(F)c1,42.0,89.0,ZINC000001870300,mutation,[1],,68.0,2.1377988061460917
COc1ccc(C2=NN(C(=S)N[C@H](CS)C(=O)O)[C@@H](c3cccs3)C2)cc1,39.0,32.0,ZINC000757190153,mutation,[1],,69.0,2.7632641849880297
O=C(c1nn2c(c1Cl)N[C@H](c1ccc(Br)cc1)C[C@@H]2C(F)(F)F)N1CCOCC1,27.0,,,crossover,[1],24.0,70.0,3.83400226644529
O=C(OC[C@@H]1CCCCO1)c1ccccc1-c1ncc(-c2ccccc2)o1,48.0,,,crossover,[1],23.0,71.0,4.787422845644645
O=C(OC[C@@H]1CCCCO1)c1ccccc1-c1ncc(-c2ccccc2)o1,48.0,,,crossover,[1],23.0,72.0,4.779303982885162
O=C(OC[C@@H]1CCCCO1)c1ccccc1-c1ncc(-c2ccccc2)o1,23.0,,,crossover,[1],48.0,73.0,4.787422845644645
O=C(OC[C@@H]1CCCCO1)c1ccccc1-c1ncc(-c2ccccc2)o1,23.0,,,crossover,[1],48.0,74.0,4.779303982885162
CCOC(=O)[C@]1(Nc2cccc(OC)c2)CCCC1(C)C,0.0,,,crossover,[1],46.0,75.0,4.294216256356565
CCOC(=O)[C@]1(Nc2cccc(OC)c2)CCCC1(C)C,0.0,,,crossover,[1],46.0,76.0,4.225903997772387
CCOC(=O)[C@]1(Nc2cccc(OC)c2)CCCC1(C)C,7.0,,,crossover,[1],0.0,77.0,4.294216256356565
CCOC(=O)[C@]1(Nc2cccc(OC)c2)CCCC1(C)C,7.0,,,crossover,[1],0.0,78.0,4.225903997772387
CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1OCc1ccccc1NC(=O)CN(C)C(=O)c1[nH]c(CC)c(C(=O)OC)c1C,18.0,,,crossover,[1],22.0,79.0,4.050383506936573
C[C@H]1CC[C@H](NC(=O)NC[C@@H]2CCCN(c3ncccn3)C2)c2ccc(-n3c[n+](-c4ccccc4)c([S-])n3)cc21,6.0,,,crossover,[1],31.0,80.0,3.656556092675822
Cc1nc(Cc2nc(-c3ccc(N(C(=O)C(C)C)S(=O)(=O)c4ccc(C(=O)N5C[C@@H](C)O[C@H](C)C5)cc4)cc3)cs2)cs1,24.0,,,crossover,[1],46.0,81.0,4.853152377976662
COc1ccccc1N1CC[C@H](CNC(=O)N2C[C@H]3CCCC[C@H]3C2)C1,5.0,,,crossover,[1],31.0,82.0,3.4938125689521176
COc1ccccc1N1CC[C@H](CNC(=O)N2C[C@H]3CCCC[C@H]3C2)C1,5.0,,,crossover,[1],31.0,83.0,3.453251209630276
COc1ccccc1N1CC[C@H](CNC(=O)N2C[C@H]3CCCC[C@H]3C2)C1,36.0,,,crossover,[1],5.0,84.0,3.4938125689521176
COc1ccccc1N1CC[C@H](CNC(=O)N2C[C@H]3CCCC[C@H]3C2)C1,36.0,,,crossover,[1],5.0,85.0,3.453251209630276
CN(CC(=O)OCC1CCC(c2cc(C(=O)N(C)c3cccc4ncccc34)no2)C(F)C1)c1ncc(C=O)cn1,43.0,,,crossover,[1],45.0,86.0,3.358791513178492
Cc1ccc(NC(=O)CCNC(=O)Cc2coc(-c3ccc(F)cc3)n2)c(Cl)c1,21.0,,,crossover,[1],38.0,87.0,3.358077822624198
CCC(Oc1ccc(OC)cc1)C(=O)Nc1ccc(CC#N)cc1Cl,9.0,,,crossover,[1],21.0,88.0,4.019671658813552
O=C(c1cc(Br)c[nH]1)N1CCN(Cc2csc(-c3ccc(F)cc3)n2)CC1,1.0,,,crossover,[1],21.0,89.0,3.634322052629541
Fc1ccc(C2=NN[C@@H](c3cccs3)C2)cc1,38.0,,,crossover,[1],39.0,90.0,3.213744004364984
CNC(=O)C=C(c1cc(NC(=O)C(C)C)ccc1-c1csc(Cc2csc(C)n2)n1)c1cccc2[nH]nc(OC)c12,8.0,,,crossover,[1],24.0,91.0,4.613434199451093
COc1cc(NC(=O)N(C)Cc2ccncc2)c(OC)cc1Cl,39.0,,,crossover,[1],3.0,92.0,2.7105438088182296
