smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CCCC(C)(C)Oc1ccc(OC)c(S(=O)(=O)N[C@H](c2ccccc2)c2ccccn2)c1,4.0,19,ZINC000001648167,mutation,"[1, 2]",,50.0,1.6077807107281388
COC[C@@H](C)OC(=O)c1ccccc1-c1nc2ccc(OC)cc2cc1CN(Cc1ccc(F)cc1)C(=O)C1CC1,36.0,89,ZINC001606798926,mutation,"[1, 2, 3]",,51.0,2.4361046181938097
COCc1cccc(N(C(=S)NC2=CCS(=O)(=O)C2)[C@@H](C)C(=O)Nc2ccc(F)c(F)c2F)c1,5.0,94,ZINC000002454917,mutation,[1],,52.0,-1.4032510815363364
Cc1ccc(C2OC2CC(=O)NCc2ccc(Cn3cncn3)cc2)cc1,46.0,3,,mutation,[1],,53.0,-1.0110079972178838
[N-]=[N+]=Nc1cc(-c2cccc(C(=O)NC3CC3)c2)ccc1C=O,39.0,6,,mutation,"[1, 2]",,54.0,1.0490209749391102
CC[C@@H](O)C(=O)N(C(=O)[C@H](C)c1ccsc1)[C@@H](c1ccccc1)C(F)(F)F,27.0,26,ZINC000198623003,mutation,[1],,55.0,-0.8422365526954088
C#CC[C@H](C)OCc1nc(-c2ccccc2COC(C)C)n[nH]1,29.0,52,ZINC000708430984,mutation,[1],,56.0,-0.9774106293241631
CCC(C)(C)N1CC(C=C2SC(=S)N([C@@H](C)c3ccccc3)C2=O)CN1C,19.0,18,ZINC000001586302,mutation,[1],,57.0,-0.7341440189338597
CC[C@@H](C)CC(=O)N(C[C@H]1Cc2cccc(-c3ccncc3)c2O1)C(=S)Nc1ccc(OC)c(OC)c1,44.0,32,ZINC000000164235,mutation,"[1, 2]",,58.0,1.2223221987982114
CC[C@H](C)C(=O)N(C(=O)CN(C)c1nc(C(F)(F)F)cs1)c1ccc(N2CCOCC2)cc1,14.0,26,ZINC000086049781,mutation,[1],,59.0,-0.2976305868817175
C=C[C@H](O)C(=O)Nc1cccc2c(=O)n(Cc3cccc(NC(=O)N4CCCC4)c3)c(CNCC(F)(F)F)nc12,16.0,44,ZINC001602819986,mutation,[1],,60.0,-1.1428317444626517
Cc1nc(N2CCN([C@H](C)C3CCCN(C45CC(C4)C5)C3)CC2)nc(C)c1CC(C)C,35.0,18,ZINC000095922273,mutation,[1],,61.0,-1.8196632815206386
COC(=O)C[C@@H](NC(=O)Cn1cnc2ccccc2c1=O)c1ccccc1Sc1nc(=O)c2c(F)cccc2[nH]1,12.0,20,ZINC000160205752,mutation,[1],,62.0,-0.804205631092522
