smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
COC(=O)CCCOC(=O)C(F)(F)F,8.0,27,ZINC000059699251,mutation,"[1, 2, 3]",,50.0,2.7623791599536864
Cc1cccc(OCC(=O)NC(=S)N(Cc2ccc(Cl)nc2)C(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)c1C,9.0,32,ZINC000070461487,mutation,"[1, 2]",,51.0,2.415326357874067
Cc1ccccc1-n1nnnc1SCC(=CCNc1cccnc1C)c1c(N)n(C)c(=O)n(C)c1=O,29.0,86,ZINC001167815567,mutation,"[1, 2]",,52.0,2.744736536048975
O=C(CN1C(=O)CCC(n2cncn2)N1C(=O)O[C@H]1CS(=O)(=O)C[C@@H]1O)NCC(F)(F)F,1.0,12,ZINC000001619189,mutation,[1],,53.0,-2.4074405701498134
O=C(CCCCC(=O)SC1CCNCC1)NC(=O)NC1CC1,41.0,15,ZINC000005847841,mutation,"[1, 2]",,54.0,2.713147807846477
CC[C@@H](F)C(=N)NC(=O)c1c(C=NNC(=O)c2cc(C)nn2C)ccc(OC)c1OC,5.0,13,ZINC000257197864,mutation,"[1, 2]",,55.0,2.267928315059935
Cc1oc(S(=O)(=O)N2CC[NH+](CC(C)C)CC2)cc1C(=O)SC1=NCN(C2CC2)CN1,31.0,25,ZINC000020375849,mutation,[1],,56.0,-0.356264029147901
CCOC(=O)[C@H](C(=O)N(C)CC1(C)CC1)[C@@H]1CCS(=O)(=O)C1,38.0,23,ZINC000062720345,mutation,[1],,57.0,0.7960131506040404
CCC(=O)O[C@H](Cc1c(Cl)c(C)nn1CC)C[NH+](C)C,23.0,27,ZINC000217038213,mutation,[1],,58.0,0.5621864221230101
Cc1oncc1CN(CC[NH+](C)C)C(=O)c1ccc(CNC(=O)[C@@H]2CCO[C@@H]2C)cc1,25.0,18,ZINC000034168289,mutation,[1],,59.0,0.3850121651086196
COC1CC[NH+](CCNC(=O)NC2CCC(OC(=O)[C@@H]3CC3(C#N)C#N)CC2)CC1,4.0,24,ZINC000039087620,mutation,[1],,60.0,-1.048247687876671
C[C@@H](c1ccccc1F)[NH+]1CCC[C@H](CN([C@@H]2C=CCCOCC2)S(N)(=O)=O)C1,17.0,72,ZINC000222337111,mutation,[1],,61.0,-6.937720043980743
C#CCN1CCN(C(=O)C[NH+](C)[C@H](C)C2CCN(C(=O)c3nccnc3C)CC2)CC1,26.0,23,ZINC000039057601,mutation,[1],,62.0,-1.2308341264692206
CNc1ccc(Nc2nc(NC(C)C)[nH]c(=O)n2)cc1C#N,19.0,87,ZINC000002579267,mutation,"[1, 2]",,63.0,2.573889800111872
CC1N(CCNS(=O)(=O)C(C)C)CCN1C(=O)CC(C)(C)CO,10.0,13,ZINC000095533144,mutation,[1],,64.0,0.35256821362448554
[NH-]C1=NC2=NC=N[C@H]2C(N2CCC(n3cc(C4CCCN(c5c(N)cccc5O)C4)nn3)CC2)=[NH+]1,47.0,18,ZINC000032188351,mutation,[1],,65.0,-0.8747329781193557
CC1=C(c2ccc(NC(=O)COC(=O)CC3=c4ccccc4=[NH+]C3)nc2)[C@H](Br)OC1=O,11.0,78,ZINC000034540611,mutation,[1],,66.0,-0.900125421011143
COC(=O)CCCOC(=O)CCc1ccco1,8.0,14,ZINC000000152318,mutation,"[1, 2, 3, 4]",,67.0,3.590850529825745
Cn1c(=O)c2c(ncn2CC(=O)NCc2ccc(N3C[C@@H]4C[C@H]3CO4)nc2)n(C)c1=O,9.0,90,ZINC000002574864,mutation,[1],,68.0,-1.5236303313519115
COc1ccc(C=NNC(=O)C2CC(C)N(C(=O)[C@@H]3[CH]C=CC=C3)N2C)c(C(=O)[O-])c1OC,5.0,23,ZINC000104153458,mutation,[1],,69.0,-0.7199497284025814
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,29.0,,,crossover,"[1, 2]",43.0,70.0,1.2010097972849842
COC1CCCC(C(=O)[O-])C1(F)OC,5.0,,,crossover,[1],17.0,71.0,-1.0565005072865392
COC(=O)C(C[NH+]1CCCC1)[C@@H]1CCS(=O)(=O)C1,38.0,,,crossover,[1],3.0,72.0,-2.4936621603114513
O=C(COC(=O)CCCO)Nc1ccc(Cl)cn1,8.0,,,crossover,"[1, 2, 3]",11.0,73.0,2.8268683696285835
O=C(Cn1nc(-n2cncn2)ccc1=O)NCC(F)(F)F,23.0,,,crossover,[1],1.0,74.0,0.5849891003912806
CCNC(c1cccs1)[C@@H]1C[NH+]2CCN1CC2,10.0,,,crossover,[1],12.0,75.0,-1.9816977530079276
O=C(COC(=O)CC1=c2ccccc2=[NH+]C1)Nc1ccc(Cl)cn1,32.0,,,crossover,[1],11.0,76.0,-0.40617227785069476
CC1CC1NC(=O)NC(=O)C(C(C)CCC(=O)[O-])N1CC[NH+](C)CC1,41.0,,,crossover,[1],0.0,77.0,-4.302797378555058
O=C(COC(=O)CC1=c2ccccc2=[NH+]C1)Nc1ccc(Cl)cn1,11.0,,,crossover,[1],4.0,78.0,-0.40617227785069476
COC(=O)c1cc(S(=O)(=O)N2CC[NH+](CC(C)C)CC2)oc1C,17.0,,,crossover,[1],31.0,79.0,-0.21872396061635627
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,49.0,,,crossover,[1],29.0,80.0,1.2010097972849842
CC[C@@H](C)CNC(=O)N1CCO[C@@H](CC(=O)[O-])C1,4.0,,,crossover,[1],49.0,81.0,-0.38181837182152156
C#CCN1CCN(C(=O)C[NH+](C)[C@H](C)c2ccncc2)CC1,13.0,,,crossover,[1],26.0,82.0,-1.0385332732999448
CCNC(c1ncon1)c1cnn(C)c1C,48.0,,,crossover,[1],12.0,83.0,0.9434608606100932
C#CCN1CCN(C(=O)C[NH+](C)[C@H](C)C2CCN(C)CC2)CC1,34.0,,,crossover,[1],26.0,84.0,-1.5705208491957834
C[C@H](c1ccncc1)[NH+](C)CC(=O)N1CCOCC1,26.0,,,crossover,[1],13.0,85.0,-0.8264472110635074
C#CCN1CCN(C(=O)NC2CC[NH+]([C@@H]3CCCC[C@H]3O)CC2)C([C@H](NCC)c2cccs2)C1,12.0,,,crossover,[1],33.0,86.0,-0.17227472601335872
CC(C)C(C)CNC(=O)N1CCO[C@@H](CC(=O)[O-])C1,0.0,,,crossover,[1],49.0,87.0,-0.1461793416430183
O=S(=O)(/N=C(\[O-])[C@@H]1CCC[NH+]1Cc1ccccc1)c1ccc(Cl)c[nH+]1,22.0,,,crossover,[1],1.0,88.0,-1.842845522001517
C#CCN1CCN(C(=O)NC2CC[NH+]([C@@H]3CCCC[C@H]3O)CC2)CC1,33.0,,,crossover,[1],23.0,89.0,-1.5069726044498974
COC(=O)CCCO,,,,initial,"[0, 1, 2]",,8.0,1.8424019594017247
Cc1ccccc1-n1nnnc1SCC(=O)c1c(N)n(C)c(=O)n(C)c1=O,,,,initial,"[0, 1]",,29.0,1.2010097972849842
Cn1c(=O)c2c(ncn2CC(=O)NCc2ccc(Cl)nc2)n(C)c1=O,,,,initial,"[0, 1]",,9.0,1.1171835528884715
COc1ccc(/C=N/NC(=O)c2cc(C)nn2C)c(C(=O)[O-])c1OC,,,,initial,"[0, 1]",,5.0,0.7394952948311421
Cc1noc([C@@H]2CN(CC(=O)N(C)C)CCO2)n1,,,,initial,"[0, 1]",,14.0,0.46134197705523594
O=C(Cn1nc(-n2cncn2)ccc1=O)NCC(F)(F)F,,,,initial,"[0, 1]",,1.0,0.5849891003912806
CCOC(=O)[C@H](C(=O)OC)[C@@H]1CCS(=O)(=O)C1,,,,initial,"[0, 1]",,38.0,0.11880947156617547
CC(C)NC1=NC(N)=NC(=O)N1,,,,initial,"[0, 1]",,19.0,0.20254831005765192
O=C([O-])CCCCC(=O)NC(=O)NC1CC1,,,,initial,"[0, 1]",,41.0,0.37983124523547473
