smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CC(C)(CC#N)COC(=O)C1C(C=C(Cl)Cl)C1(C)C,37.0,24,ZINC000034211539,mutation,[1],,50.0,-2.465560092367534
N#Cc1c(Oc2cccc(Br)c2)ccc(Br)c1Br,29.0,21,,mutation,"[1, 2]",,51.0,1.3125548009376808
N[C@@]1(CN(Cc2ccccc2Cl)S(=O)(=O)c2cc(Cl)ccc2Cl)CCNC1,13.0,72,ZINC000107265537,mutation,[1],,52.0,-1.678257036702858
Cc1cccc(C(=O)N2CCC(c3noc(-c4ccc(Cl)c(Cl)c4)n3)CC2)c1,32.0,23,ZINC000032297706,mutation,"[1, 2]",,53.0,1.3378674774576038
CCCN(C(=O)C1=COCC1)C(=O)c1cccc(C(=O)Nc2ccc(Br)cc2)c1,34.0,13,ZINC000012649694,mutation,[1],,54.0,-0.10487305526453486
[C-]#[N+][C@H](C)c1ccc(-c2ccc(C=CC(=O)Nc3ccc(OC)cc3)cc2[N+](=O)[O-])cc1,20.0,79,ZINC000095698342,mutation,[1],,55.0,0.7082209420244542
Cc1cncc(C)c1C(O)c1ccc(OCc2nnc(NC(=O)C3CCN(C(=O)c4cccs4)CC3)s2)cc1,44.0,81,ZINC000014982744,mutation,[1],,56.0,-0.6800996838829056
NCCOc1ccc([N-]S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1-c1nc2ccccc2s1,15.0,19,ZINC000035302911,mutation,[1],,57.0,-0.6724236575204994
O=C1c2ccccc2C(=O)c2c1cccc2N(C(=O)c1c(F)cccc1F)C(=O)[C@@H]1C2CCN1CC2,30.0,13,ZINC000023933818,mutation,[1],,58.0,-2.479732042107327
Cc1cccc(NC(=O)[C@H](C)N(C(=O)N[C@H]2CCC[C@@H]2OCc2ccccc2)c2cccc(F)c2C)c1C,18.0,31,ZINC000002548047,mutation,[1],,59.0,0.2706451703274484
COc1ccc(NC(=O)[C@@H](C)Oc2ccc(N=[N+]=[N-])c(C)c2)c(OC)c1,8.0,22,,mutation,[1],,60.0,-0.390373375203808
Cc1c(NC(=O)c2cc([N+](=O)[O-])ccc2N(C)C)cccc1-c1ccnc2c1CCNC2,43.0,79,ZINC000095642697,mutation,[1],,61.0,-0.6104136583475096
C=C(C[C@H](C)CCc1nc(-c2ccccc2)cs1)C(=O)O,28.0,69,ZINC000001627212,mutation,[1],,62.0,-0.42755290653361877
COc1ccc(C=CC(O)(CCCNC(C)=O)c2ccc(C)cc2)cc1O,39.0,81,ZINC000005378209,mutation,[1],,63.0,-1.4722580251453203
C=CCn1c(S[C@H](C)C(=O)N(C(=O)Nc2ccc(C)s2)c2c(C)cc(C)cc2C)nnc1C1CC1,45.0,31,ZINC000012370780,mutation,[1],,64.0,0.19059048768291986
Cc1c(Br)ccc2c(=O)n(-c3cc(Cl)c(Cl)cn3)c([C@H](C)Oc3ccccc3)nc12,9.0,44,ZINC000061674969,mutation,"[1, 2]",,65.0,0.7625133502412935
CCC(CC)c1cc(CNC(=O)N(C(=O)OCCOC)c2cccc(NC(C)=O)c2)on1,17.0,12,ZINC000001845909,mutation,[1],,66.0,-0.8352943202700056
CCCNC(=O)N(C(=O)c1cccc(N(C)C)c1)c1ccc(OC(F)F)c(F)c1,16.0,13,ZINC000034246868,mutation,[1],,67.0,-0.13993204136387122
CC(=O)[C@@H](C)CC(=O)N(C(=O)C[C@H]1C=CCC1)c1ccc2oc(C(C)(C)C)nc2c1,35.0,13,ZINC000002044242,mutation,[1],,68.0,-1.4928325440613597
CCCNC(=O)c1cccc(C(=O)Nc2ccc(N=[N+]=[N-])cc2)c1,34.0,22,,mutation,[1],,69.0,0.3433899539970363
CN(C)c1cccc(C(=O)Nc2cc(F)c(Oc3cccc(Br)c3)c(Br)c2Br)c1,29.0,,,crossover,"[1, 2, 3]",16.0,70.0,2.4760242488186823
CCCC(NC(=O)Nc1cccc(S(=O)(=O)N(C)C)c1)c1ccccc1,44.0,,,crossover,[1],21.0,71.0,-0.5040527652652486
CC1(Cl)CCCCC1CNS(=O)(=O)c1cc(Cl)ccc1Cl,13.0,,,crossover,[1],6.0,72.0,-1.1777626675661852
Cc1c(Cl)c(Cl)cc(-c2nc(-c3ccncc3)no2)c1NC(=O)c1cc([N+](=O)[O-])ccc1N(C)C,32.0,,,crossover,[1],43.0,73.0,0.6721269399269968
CN(C)c1cccc(C(=O)Nc2ccc(OC(F)F)c(F)c2)c1,14.0,,,crossover,[1],16.0,74.0,0.29263738379477044
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(=C=N)c1ccc(F)c(Oc2ccccc2)c1,37.0,,,crossover,[1],25.0,75.0,-0.23014621667994928
COc1ccc(NC(=O)C=Cc2cc([N+](=O)[O-])c(Cl)cc2-c2csc(CC[C@@H](C)CCl)n2)cc1,20.0,,,crossover,"[1, 2]",28.0,76.0,1.0670990454298528
COc1ccc(NC(=O)[C@@H](C)Oc2ccc(Cl)c(C)c2)c(OC)c1,34.0,,,crossover,[1],8.0,77.0,0.13829894476624005
CCCNC(=O)c1cc(C(=O)Nc2ccc(Br)cc2)ccc1-c1csc(CC[C@@H](C)CCl)n1,28.0,,,crossover,"[1, 2]",34.0,78.0,1.452616449607119
Cc1cccc(NC(=O)[C@H](C)Nc2cccc(F)c2C)c1Cc1noc(CSc2ccncc2)n1,18.0,,,crossover,[1],6.0,79.0,0.03228490516829108
O=C(NS(=O)(=O)c1cc(Cl)ccc1Cl)c1c(F)cccc1F,30.0,,,crossover,[1],13.0,80.0,-0.15863843496381635
Cc1c(NC(=O)c2cc([N+](=O)[O-])ccc2N(C)C)cccc1S(=O)(=O)N(C)C,43.0,,,crossover,[1],21.0,81.0,-1.306188096214437
O=C(COc1ccc(F)cc1)c1ccc2sc(-c3cc([N-]S(=O)(=O)c4ccc([N+](=O)[O-])cc4)ccc3O)nc2c1,15.0,,,crossover,"[1, 2]",31.0,82.0,0.7447243044065095
COc1ccc(NC(=O)C(C)Oc2cc(C(C)=O)c(Cl)cc2OC(=O)c2cc3cnn(C(C)C)c3nc2C)c(OC)c1,8.0,,,crossover,[1],25.0,83.0,0.19385464634624483
CN(C)c1cccc(C(=O)Nc2ccc(OC(F)F)c(F)c2)c1,16.0,,,crossover,[1],20.0,84.0,0.29263738379477044
O=C(C[C@H]1C=CCC1)Nc1ccc(Br)c(Br)c1Br,35.0,,,crossover,[1],29.0,85.0,-0.14425621972069935
CCC(CC)c1cc(CNC(=O)Nc2c(C=CC(=O)c3ccc(C)cc3)ccc(OC)c2O)on1,39.0,,,crossover,[1],17.0,86.0,0.7339219894001627
CCC(CC)c1cc(CNC(=O)NC2CCC3CCN(C(=O)C4(c5ccc(Cl)cc5)CCOCC4)C3(NC(C)=O)C2)on1,17.0,,,crossover,[1],7.0,87.0,-2.2650954832188157
CCCCC(=O)N1CCN(c2nc(-c3ccc(F)c(Cl)c3)cs2)CC1,22.0,,,crossover,[1],32.0,88.0,0.579957406405692
COc1cc(C(C)=O)ccc1F,25.0,,,crossover,[1],37.0,89.0,-0.5684605692608597
BrC1=CC(OC2=CC=C(Br)C(Br)=C2Br)=CC=C1,,,,initial,"[0, 1, 2, 3, 4]",,29.0,2.3074952436038347
[H]N=C=C(OC(=O)C1([H])C([H])(C([H])=C(Cl)Cl)C1(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(F)C(OC2=C([H])C([H])=C([H])C([H])=C2[H])=C1[H],,,,initial,"[0, 1]",,37.0,-0.23014621667994928
O=S(=O)(NCc1ccccc1Cl)c1cc(Cl)ccc1Cl,,,,initial,"[0, 1, 2]",,13.0,0.8280972346469394
CCCNC(=O)c1cccc(C(=O)Nc2ccc(Br)cc2)c1,,,,initial,"[0, 1, 2]",,34.0,0.9255232626823078
COc1ccc(-c2noc(-c3nnn(-c4ccc(C(C)C)cc4)c3C)n2)cc1,,,,initial,"[0, 1]",,14.0,0.46156575620113655
Clc1ccc(-c2nc(-c3ccncc3)no2)cc1Cl,,,,initial,"[0, 1]",,32.0,0.5569744373709582
O=C(Nc1nnc(COc2ccc(Cl)cc2)s1)C1CCN(C(=O)c2cccs2)CC1,,,,initial,"[0, 1]",,44.0,0.35038633814085657
COc1ccc(NC(=O)/C=C/c2ccc(Cl)c([N+](=O)[O-])c2)cc1,,,,initial,"[0, 1]",,20.0,0.5152220646323162
C[C@@H](CCl)CCc1nc(-c2ccccc2)cs1,,,,initial,"[0, 1]",,28.0,0.08308006889125771
O=C1c2ccccc2C(=O)c2c(NC(=O)c3c(F)cccc3F)cccc21,,,,initial,"[0, 1]",,30.0,0.4040388716377079
CN(C)c1cccc(C(=O)Nc2cc(F)c(Oc3cccc(Br)c3)c(N3C[C@@H]4C[C@H]4[C@@H]3C#N)c2Br)c1,70.0,18,ZINC000103525752,mutation,[2],,50.0,-0.6877427984444106
CCCNC(=O)c1cc(C(=O)Nc2ccc(Br)cc2)ccc1-c1csc(CC[C@@H](C)COC[C@H](C)[C@H](C)N)n1,78.0,65,ZINC000039244672,mutation,[2],,51.0,-0.5230416327196139
COc1ccc(N(C(=O)C=Cc2ccc(Cl)c([N+](=O)[O-])c2)C(=S)Nc2ccccc2Cl)cc1,20.0,32,ZINC000000164692,mutation,[2],,52.0,0.827259566859417
CCC[C@H](C)OC(=O)C(C)=C(C)c1ccc(-c2nc(C3CCN(C(=O)c4cccc(C)c4)CC3)no2)cc1Cl,53.0,78,ZINC000205621603,mutation,[2],,53.0,0.4386951659660982
CC(C)NCc1ccc(-c2c(Br)ccc(Oc3cccc(Br)c3)c2Br)cc1,29.0,67,ZINC000169907228,mutation,"[2, 3, 4, 5]",,54.0,2.215396387051772
CCCNC(=O)c1cccc(C(=O)Nc2ccc(N(N)[C@H](C)CCCO)cc2)c1,34.0,87,ZINC000104560063,mutation,[2],,55.0,-1.904102611210036
O=C(COc1ccc(F)cc1)c1ccc2sc(-c3cc([N-]S(=O)(=O)c4ccc([N+](=O)[O-])cc4)ccc3OC(=O)c3cccc(C(F)(F)F)c3)nc2c1,82.0,27,ZINC000100501727,mutation,"[2, 3]",,56.0,1.4954351206735796
Cc1nccn1-c1ccc(/C=C/c2c(Br)ccc(Oc3cccc(Br)c3)c2C#N)nn1,51.0,77,ZINC001240829434,mutation,[2],,57.0,0.22424130202962264
