smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CCN(C)C(=O)c1cc(F)c(F)cc1-c1ccc(C(=O)N[C@@H](CCOC)C(=O)[O-])cn1,32.0,89,ZINC000088570798,mutation,[1],,50.0,1.0251871030806852
C=CCS(=O)(=O)N(C[C@@H](NC(=O)N[C@@H]1CCN(C)C1=O)C(C)C)[C@H](C)CO,4.0,72,ZINC000086657329,mutation,[1],,51.0,-1.1080536915374235
CNC(=O)c1ccc(C2CCN(C(=S)NC3CCN(Cc4ccccc4)CC3)CC2)nc1,23.0,94,ZINC000019840536,mutation,"[1, 2, 3, 4]",,52.0,3.9561528156268184
C[C@@H](C(=O)NC[C@@H](c1ccsc1)[NH+](C)C)N1CN(C(=O)CC(F)(F)F)CN1,26.0,26,ZINC000100159191,mutation,[1],,53.0,-1.7439387675833025
CO[C@@H]1O[C@]1(C)CC(=O)c1nc(N(C)C)nc(N2CCOCC2)n1,48.0,80,ZINC000001669387,mutation,[1],,54.0,-0.46793729040543663
O=C1C[C@H](C(=O)N(C(=O)OCC(F)(F)F)c2ccc3c(c2)OCCO3)CN1CCC1=c2cc(Cl)ccc2=[NH+]C1,18.0,12,ZINC000004290611,mutation,[1],,55.0,-0.05543706873690679
O=C(NCCn1nncc1CCNC1COC1)C(F)(F)Cn1ccnc1[N+](=O)[O-],25.0,49,ZINC000069769389,mutation,[1],,56.0,-0.4729424049154592
CCCCCCCCCCCC(=O)OCC[C@H]([NH3+])CS(=O)(=O)c1cccc(F)c1,15.0,27,ZINC000101673636,mutation,"[1, 2, 3]",,57.0,3.71709730554079
CCCCCC(=O)n1c(O)cnc1O,36.0,26,ZINC000085866217,mutation,"[1, 2]",,58.0,1.9779035008153576
NS(=O)(=O)c1cccc(NC(=O)O[C@@H]2CS(=O)(=O)C[C@H]2O)c1,49.0,12,ZINC000005161078,mutation,[1],,59.0,-0.4495955388561602
COc1ccc(OC)c(C=NN=C2NC(=O)[C@@H](CC(=O)N3N=CCCC3=O)S2)c1,40.0,13,ZINC000011919760,mutation,[1],,60.0,0.31742654752863564
CC(C)(C)OC(=O)N1CCC(CC(=O)NNC(=O)CN2CC[NH+](Cc3ccccc3)CC2)CC1,45.0,26,ZINC000059729518,mutation,[1],,61.0,0.7811538294986922
C[NH+]1CCC(Cc2n~c3cccnc3n2C[C@@H]2COCCN2)(NC(=O)C[C@@H](O)c2ccccc2)CC1,35.0,38,ZINC001159042563,mutation,[1],,62.0,-2.0873860493273786
O=C(NC=Cc1ccc(F)c(F)c1)N(CCc1ccccn1)[C@@H]1CCc2ncnn2C1,31.0,31,ZINC000071623995,mutation,"[1, 2]",,63.0,2.5084862235342675
CCC(CC)(C(=O)[O-])[NH+](Cc1cc(C(N)=O)ccc1F)c1cncc(OC(C)=O)c1,37.0,87,ZINC000060248034,mutation,[1],,64.0,-0.7639744295168367
O=C1O[C@@H]([NH+]2CCC(C(=O)N=C=S)CC2)c2ccccc21,19.0,10,,mutation,[1],,65.0,-0.7902903639224117
CN(CCC1CC1)Cc1n[nH]c(-c2ccc(CN3CC(=O)N(C)CC3=O)nc2)n1,44.0,51,ZINC000083926681,mutation,"[1, 2]",,66.0,1.3517035087621232
COc1ccc(CNC(=O)N(c2c([NH+]3CCC[C@@H](NC(=O)N4CCc5ccccc5C4)C3)c(=O)c2=[OH+])C2CC2)c(OC)c1,8.0,93,ZINC000019730723,mutation,[1],,67.0,-0.21204380079789154
COC[C@@H](C[NH+]1CCC(NCc2cccc3c2OCO3)CC1)OC(=O)[C@H]1C[C@@H](C)O1,30.0,24,ZINC000104842552,mutation,[1],,68.0,-1.247500718226092
CCNC(=S)NN=c1nc(N2CCOCC2)nc(N2CCOCC2)n1C(=O)OC(C(F)(F)F)C(F)(F)F,16.0,12,ZINC000034307582,mutation,[1],,69.0,0.5782253914081462
COc1ccc(OC)c(C=N/N=C2/NC(=O)[C@@H](CC(=O)[O-])S2)c1,40.0,,,crossover,[1],32.0,70.0,-0.5469308707030965
CC(CO)C(CS(=O)(=O)c1cccc(F)c1)NC(=O)N[C@@H]1CCN(C)C1=O,15.0,,,crossover,[1],4.0,71.0,-0.1289626453569703
COCC(C)C(NC(=O)c1ccc(Br)nc1)C(=O)O,4.0,,,crossover,"[1, 2]",32.0,72.0,1.6322372233291256
COc1cccc(OC)c1C(NC(=O)C(F)(F)Cn1ccnc1[N+](=O)[O-])C(=O)O,25.0,,,crossover,[1],27.0,73.0,1.194735814293153
Cn1cc(C[NH+](C)C(C(=O)Nc2sccc2C(N)=O)C(O)c2ccccc2)cn1,35.0,,,crossover,[1],41.0,74.0,-0.5869092452336381
CC(C)N(C[C@@H]1C[C@H]1C)C(=O)NCC1CN(Cc2ccccc2)CCN1CC(=O)NNC(=O)Cc1ccncc1,45.0,,,crossover,"[1, 2]",34.0,75.0,1.40378215609434
C[NH+]=C(NC1CC[NH+](Cc2ccc(F)cc2)CC1)N(C)C(CNC(=O)[C@H](C)n1cncn1)c1ccsc1,26.0,,,crossover,[1],47.0,76.0,-1.9423101202141162
CCC(CC)(C(=O)[O-])N(C[C@@H]1C[C@H]1C)C(=O)NC[C@@H]1C[NH+](C)CCN1C,37.0,,,crossover,[1],34.0,77.0,-3.401423690486756
c1ccc(CC[NH2+][C@@H]2CCc3ncnn3C2)nc1,31.0,,,crossover,[1],40.0,78.0,-1.04543115829641
CN1CC(=O)N(CC2C(NC(=O)N3CCc4ccccc4C3)CC(C(=O)NN)CN2c2c(NC3CC3)c(=[OH+])c2=O)CC1=O,8.0,,,crossover,[1],44.0,79.0,-2.927554493167852
CCC(CC)([NH2+]Cc1cc(C(=O)NC2CC[NH+](C[C@@H](O)COC)CC2)c2c(c1F)OCO2)C(=O)[O-],30.0,,,crossover,[1],37.0,80.0,-3.9262900740390148
CN1CC(=O)N(Cc2ccc(C(=O)NN)cn2)CC1=O,44.0,,,crossover,[1],30.0,81.0,-0.02849088870702543
CCC(CC)(NCc1cc(C(N)=O)ccc1F)C(=O)Nc1sccc1C(N)=O,41.0,,,crossover,"[1, 2, 3]",37.0,82.0,2.817473658282421
CN1CC(=O)N(Cc2ccc(C(=O)NN)cn2)CC1=O,46.0,,,crossover,[1],44.0,83.0,-0.02849088870702543
COCCC(NC(=O)c1ccc(Br)nc1)C(=O)O,27.0,,,crossover,"[1, 2]",32.0,84.0,2.020174674448837
CCC(CC)([NH2+]Cc1cc(C(N)=O)ccc1F)C(=O)[O-],19.0,,,crossover,[1],37.0,85.0,-0.8444744707684533
COC(=O)c1cc(S(=O)(=O)NCC[NH+]2CCCC[C@H]2C)cn1C,13.0,,,crossover,[1],46.0,86.0,-1.4307792479114472
