smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
COc1ccc(CCC(=O)Oc2c(C)cc(-c3ccccc3C(=O)N[C@@H]3COC[C@@H]3C)cc2C)cc1OC,29.0,89,ZINC000699559834,mutation,[1],,50.0,-0.34703713735882424
N#Cc1nsnc1C(=O)c1cc(Cl)c2nc(CSc3nn(-c4ccccc4)c(=S)s3)cn2c1,38.0,80,ZINC000005282284,mutation,[1],,51.0,-0.39043638162292993
Cc1c(C)c(C)c(S(=O)(=O)N(c2ccc(C(=O)N3CCCC3)cc2)[C@H]2[C@H]3C=CC[C@H]2CC3)c(C)c1C,12.0,72,ZINC000253476049,mutation,[1],,52.0,-1.733984464127357
CCOc1cc(Br)c(CC(=O)N(C(=S)Nc2ccccc2OCC(F)(F)F)c2c(F)cccc2F)cc1OCC,23.0,32,ZINC000218685320,mutation,"[1, 2, 3, 4]",,53.0,2.2639777885381425
Cc1ccc(-c2nc(-c3nc4c(F)cc(Cl)cc4c(=O)n3-c3ccccc3N3CCOCC3)cs2)cc1,14.0,44,ZINC000020475945,mutation,"[1, 2, 3]",,54.0,1.4554413780881372
C=CCS[C@H](C)c1nc(-c2ccccc2COc2cccc(C(=O)N3CCC[C@H]4CCCC[C@@H]43)c2)no1,45.0,64,ZINC000019091927,mutation,[1],,55.0,0.6744652500464854
Cc1ccc(C2CC(C(=O)NCCC3=CCCCC3)NN2C(=O)Cn2cnc(N)n2)cc1C,40.0,13,ZINC000002537440,mutation,[1],,56.0,-4.0221628411478605
CC=C(OC(=O)[C@H](C)O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,39.0,24,ZINC000306690364,mutation,[1],,57.0,-1.752258218190683
Cc1cccc(NC(=O)c2c(C)cc(C)nc2SCC(=O)N(c2cc[nH]n2)C2CCCC2)c1,18.0,18,ZINC000000967346,mutation,[1],,58.0,0.022048219250859855
COC(=O)c1cccc(N(C(=O)c2cc(C3CC3)nc3ccccc23)c2ccnc3[nH]ccc23)c1C,21.0,18,ZINC000008699969,mutation,"[1, 2]",,59.0,1.1748731927025196
CCCC=CC(=O)N(C(=O)c1ccc(C)c(F)c1)c1ccc2nc(S(=O)(=O)CC(C)C)sc2c1,5.0,23,ZINC000307871024,mutation,[1],,60.0,0.5230501748152585
CCCOCCOC(=O)N(C(=O)c1ccc([N+](=O)[O-])s1)c1nnc(-c2cccc(SC(C)C)c2)o1,2.0,12,ZINC000034319899,mutation,[1],,61.0,-0.010722063534061965
CC(C)C(=O)N(C(=O)c1cc(OCc2ccccc2)no1)c1cccc(F)c1,1.0,26,ZINC000038141472,mutation,[1],,62.0,-0.06378184525059838
C=Cc1nc(COc2ccc(C=CC(=O)N3CCC[C@@H]3CCc3ccccc3)cc2)no1,37.0,64,ZINC000000895281,mutation,[1],,63.0,-0.27286202535446014
COC(=O)c1c(NC(=O)c2ccc(-c3c(C)n[nH]c3C3CC3)cc2)sc(C(=O)N(C)C)c1C,34.0,79,ZINC000042384125,mutation,[1],,64.0,-0.08435836221103393
Cc1cccc(-c2noc(Cc3nnn(C[C@H](NC(=O)COc4ccc5c(=O)c(-c6ccc(Cl)cc6)coc5c4)c4ccccc4)n3)n2)c1,47.0,74,ZINC000095213844,mutation,[1],,65.0,-0.027125189221919088
C[C@H](N)C(=O)N(C(=O)CN1C(=O)C(=CC=Cc2ccccc2)SC1=S)c1ccc([N+](=O)[O-])cc1,10.0,26,ZINC000100498138,mutation,[1],,66.0,-2.1653841991391447
C[C@H](N)C(=O)N(C(=O)C[C@@H](C)NC(=O)C1CCCC1)c1nc(-c2ccccc2F)cs1,44.0,23,ZINC000060273598,mutation,[1],,67.0,-2.402624868914727
Cc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)N(C(=O)c2ncccn2)c2nc3c(Br)cccc3s2)cc1,42.0,23,ZINC000004099279,mutation,[1],,68.0,-1.4184353583795524
COc1ccc(C=C(NC(=O)C(C)(C)C)C(=O)N(C(=S)Nc2ccc(C(=O)c3ccccc3)cc2)c2cccc(C)n2)cc1,36.0,32,ZINC000002565854,mutation,"[1, 2, 3]",,69.0,1.5152774884568305
Cc1c(C)c(C)c(S(=O)(=O)Nc2ccc(C(=O)N3CCCC3)cc2)c(C)c1C,38.0,,,crossover,[1],12.0,70.0,0.6074015221796958
COC1CCC(CCC(=O)Oc2c(C)cc(Br)cc2C)CC1(NC(=O)c1c(C)cc(C)nc1SCC(=O)NC1CCCC1)OC,29.0,,,crossover,[1],18.0,71.0,-0.7733380275506239
CCCN(CCC)C(=O)NCc1c(SC(C)C)cc(C)cc1N(C)C,2.0,,,crossover,[1],32.0,72.0,0.15600229785184358
CCOc1cc(Br)c(CC(=O)Nc2c(F)cccc2F)cc1OCC,23.0,,,crossover,"[1, 2]",36.0,73.0,1.0620068894315133
COc1ccccc1C(=O)NC[C@H](C)Oc1ccccc1C,21.0,,,crossover,[1],7.0,74.0,-0.4723152033754574
COC(=O)c1c(NC(=O)c2c(C)cc(C)nc2SCC(=O)NC2CCCC2)sc(C(=O)N(C)C)c1C,18.0,,,crossover,[1],34.0,75.0,-0.5698577426740793
CC(C)CS(=O)(=O)c1nc2ccc(NC(=O)C3CCC(C)C(C)(F)C3)cc2s1,40.0,,,crossover,[1],5.0,76.0,-1.5900287111899527
Cc1ccc(C(=O)Nc2ccc3nc(S(=O)(=O)CC(C)C)sc3c2)cc1F,5.0,,,crossover,[1],33.0,77.0,0.42601518354567736
Cc1cc(F)c2c(c1)CCCN2Cc1nnc(-c2cc(C)oc2C)o1,14.0,,,crossover,[1],13.0,78.0,-0.21650532817992707
CC=C(O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccc(Br)cc1S2,39.0,,,crossover,[1],42.0,79.0,0.22036208347625663
Cc1cc(C)c(C(=O)Nc2cccc(COc3cccc(C(=O)N4CCC[C@H]5CCCC[C@@H]54)c3)c2C#N)c(SCC(=O)NC2CCCC2)n1,45.0,,,crossover,"[1, 2]",18.0,80.0,0.887670614681356
Cc1c(C)c(C)c(S(=O)(=O)Nc2ccc(C(=O)N3CCCC3)cc2)c(C)c1C,12.0,,,crossover,[1],14.0,81.0,0.6074015221796958
COc1cc(C=CC(=O)N2CCC[C@@H]2CCc2ccccc2)ccc1OCC#N,37.0,,,crossover,[1],29.0,82.0,-0.39761520752891355
COc1ccccc1C(=O)NC[C@H](C)Oc1ccccc1COc1cc(C(=O)Nc2cccc(F)c2)on1,1.0,,,crossover,[1],7.0,83.0,-0.12789827446651064
COc1ccc(CCC(=O)Oc2c(C)cc(F)c3c2CCCN3Cc2nnc(-c3cc(C)oc3C)o2)cc1OC,13.0,,,crossover,[1],29.0,84.0,0.7453619784260206
O=C(CN1C(=O)/C(=C\C=Cc2ccccc2)SC1=S)Nc1ccc([N+](=O)[O-])cc1,10.0,,,crossover,[1],30.0,85.0,0.061581327333817715
O=C(COc1ccc2c(=O)c(-c3ccc(Cl)cc3)coc2c1)NC(CO)c1ccccc1,47.0,,,crossover,[1],30.0,86.0,-0.18114672276714927
CC=C(O)c1cc2c(cc1Br)Sc1ccccc1N2CC(C)N(C)C,42.0,,,crossover,[1],39.0,87.0,0.043706122177744944
COc1ccc(C=C(NC(=O)C(C)(C)C)C(=O)Nc2cccc(C)n2)cc1,34.0,,,crossover,[1],36.0,88.0,-0.3176425297905092
Cc1nccn1-c1ccc([C@H](C)NC(=O)NCCc2ccc(F)cc2)cc1,11.0,,,crossover,[1],30.0,89.0,-0.3550227851979647
S=c1sc(SCc2cn3cc(Cl)cc(Cl)c3n2)nn1-c1ccccc1,,,,initial,"[0, 1, 2]",,38.0,1.2768283996242977
COc1ccc(CCC(=O)Oc2c(C)cc(Br)cc2C)cc1OC,,,,initial,"[0, 1, 2, 3, 4]",,29.0,1.1308335603997461
CCOc1cc(Br)c(CC(=O)Nc2c(F)cccc2F)cc1OCC,,,,initial,"[0, 1, 2]",,23.0,1.0620068894315133
COC(=O)c1cccc(NC(=O)c2cc(C3CC3)nc3ccccc23)c1C,,,,initial,"[0, 1, 2]",,21.0,0.9929226995734471
Cc1cccc(NC(=O)c2c(C)cc(C)nc2SCC(=O)NC2CCCC2)c1,,,,initial,"[0, 1]",,18.0,0.6589693868792794
Cc1ccc(-c2nc(C(=O)Nc3ccccc3N3CCOCC3)cs2)cc1,,,,initial,"[0, 1]",,14.0,0.7440683723500272
Cc1c(C)c(C)c(S(=O)(=O)Nc2ccc(C(=O)N3CCCC3)cc2)c(C)c1C,,,,initial,"[0, 1]",,12.0,0.6074015221796958
Cc1ccc(C(=O)Nc2ccc3nc(S(=O)(=O)CC(C)C)sc3c2)cc1F,,,,initial,"[0, 1]",,5.0,0.42601518354567736
N#Cc1ccccc1COc1cccc(C(=O)N2CCC[C@H]3CCCC[C@@H]32)c1,,,,initial,"[0, 1]",,45.0,0.05695406332798962
Cc1ccc(-c2cc(C(=O)NCCC3=CCCCC3)[nH]n2)cc1C,,,,initial,"[0, 1]",,40.0,0.28990037668071855
Cc1c(NC(=O)c2cc(C3CC3)nc3ccccc23)cccc1-c1nc(CC2CN(C)C2)n[nH]1,21.0,52,ZINC000107395449,mutation,[2],,50.0,-0.3866195101402454
