compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
15,Cc1ccc(OC(C)CNC(=O)c2cccc(C)n2)cc1,"[0, 1, 2, 3]","[ 0.48503065  0.8387254   0.28222126 -1.3872801  -0.16370945 -0.6928439
  0.5046408  -0.62623703  0.66018856 -0.8057997   1.34547    -0.37155518
 -0.3310567  -0.22621638  0.6446752   0.461711   -1.0078465   0.616372
 -0.42033643  0.20287478  0.4291133  -0.5430165  -0.6467167   0.70612824
  0.18391293 -0.67913836 -0.16641791 -0.27003327 -1.3798223   1.1518798
  0.89817464 -0.26330894  0.9506082  -0.08907294  0.03389567  0.47238955
 -0.825863   -0.9143273  -0.9613381  -0.53947157  1.1494138  -0.29865858
  2.4913585  -1.1674603  -1.2346267   0.7212661  -0.8689226   1.8318682
  0.29134724 -0.4605025  -2.055459   -0.26073456  0.37612325  0.01964658
 -0.3602207   0.10159981 -1.0393938  -1.1497729  -0.02101737 -0.42147508
  0.09597749 -0.7638401   0.80206186  0.3478082  -1.0037155  -0.04325445
  0.0658502  -0.06674037 -0.02707487 -1.0722122   0.10474442  0.10370338
 -1.0996075  -0.26269475  0.8034746   0.4666406   0.46134326 -0.03598068
  0.19320318  0.27585894  1.4836915  -0.06227726  0.07220501 -0.08053079
  0.51421976  0.10880104  0.12615949  0.3271383   0.22589172  0.45768481
  0.0169263  -0.07397464 -0.33598465  0.27469796 -1.8218424  -0.5409774
  0.03488663 -0.4905622  -0.52670974 -0.12793633  0.09538189  0.2195661
  0.07210129 -0.02436107  0.09449036  1.7231064   0.13904446 -1.2853345
  0.0045929   0.14967093  0.7343035   0.24335322  0.687899   -0.16401437
  0.03289695 -0.00807577  0.14449306  0.97648543  0.3438651  -0.16091877
 -0.07962671 -0.25613186  0.13471079  0.16940165  0.12523207 -0.44445089
  0.53077483  0.05822347]",1.4548415453375045,,
50,CS(=O)(=O)c1cc(NC(=O)c2ccc(-c3ccc(Cl)c(NC(=O)N4CCc5ccc(Cl)cc5CC4)c3)cc2)ccc1Cl,"[0, 1, 2, 3]","[ 6.9523253e+00 -7.5343168e-01  3.0895409e-01  2.9257417e+00
 -2.0364204e-01 -3.4718215e-01 -1.7526388e+00  3.0140464e+00
  1.2919996e+00  3.6166394e-01  3.4189969e-02 -4.9821299e-01
  4.1794529e+00  3.5863211e+00 -1.6513510e+00  8.0440416e+00
 -1.2306696e+00 -6.7822719e-01  3.4510508e-01 -1.9521846e+00
 -6.6581629e-02  2.5147505e+00  9.1200513e-01  1.1771903e+00
  1.6636172e-01  6.2140423e-01 -1.1228235e+00 -1.9084993e-01
 -1.0853697e+00 -5.8127341e+00  4.1086513e-01 -2.8979823e-01
 -6.0637188e-01  2.5514007e-02 -3.7081895e+00  2.7531946e-01
  4.0641084e+00 -6.6158837e-01 -1.2988970e+00 -4.9320766e-01
  3.7244453e+00 -1.4292614e+00 -6.6178179e-01 -1.7609694e+00
  3.0453658e+00  7.6215410e-01 -7.4556792e-01 -4.8071879e-01
  1.0882914e-02  5.0719678e-01 -8.3509326e-01 -3.3720582e+00
  4.7836784e-01  2.5419714e+00  6.5979218e-01 -1.4508808e-01
 -7.6431501e-01  4.4039950e-01 -3.6324596e+00  1.1915801e+00
  7.4362874e-02 -1.1584353e+00  2.4266055e+00 -8.0361623e-01
 -9.1555327e-02  1.8253964e-01  2.1819472e-02 -5.7226586e-01
  2.0340741e-02  2.5204239e-02 -1.7890063e-01 -1.9821350e-01
 -8.6131692e-01  2.4905644e-02  2.9689544e-01 -8.1553154e-02
 -9.1334808e-01 -1.4734407e-01 -3.3942312e-02  3.1108195e-01
  1.3566264e+00  2.0929241e-01  1.0737355e-01 -1.2716818e-01
 -7.7517819e-01  5.0748581e-01 -3.4258717e-01  1.4971960e-01
  5.6047976e-02 -1.2642319e+00 -3.0372629e-01 -2.0002022e-02
  1.8814713e-01  1.7219560e-01 -1.3699396e+00 -2.7970880e-01
  1.0601861e+00 -3.7031633e-01  7.6937699e-01 -2.7785361e-01
  8.2739037e-01  2.2322331e-01  1.9483373e-02  1.6606510e-02
  6.2995628e-03 -4.1891372e-01  8.2481384e-02  7.8095114e-01
 -3.4344852e-02  8.0470480e-02  9.8321602e-02 -7.7785090e-02
 -1.2098120e+00 -1.2117317e+00 -1.1879297e-01 -2.0887208e-01
  7.3778117e-01  7.1058095e-01 -1.7900252e+00  9.8605025e-01
 -4.9873388e-01  1.3027093e-01  7.8546733e-02 -4.7401404e-01
 -3.3574179e-02  5.5470616e-01  6.2015945e-01  2.2733498e-01]",-0.5378832312619339,18.0,
3,COc1ccc(C(=O)Nc2cc(C)nn2-c2ccccc2C(F)(F)F)cc1,"[0, 1, 2, 3]","[ 4.43889439e-01 -1.17204356e+00 -4.97396612e+00 -1.07460856e+00
 -6.95123196e-01  3.68901998e-01  3.09120446e-01 -3.71602863e-01
 -1.34309530e-01  8.89391303e-01  7.91431618e+00 -7.12431014e-01
  1.18404579e+00 -1.26401730e+01 -3.97927880e+00  3.43813014e+00
 -1.63486707e+00  7.87539423e-01 -1.50450683e+00 -7.77803719e-01
 -4.81885165e-01  1.68993682e-01  6.52693987e-01  2.19209671e+00
  5.70387125e-01 -1.61015499e+00  4.39560747e+00  6.11479998e-01
  1.08232796e-01 -4.50542688e-01  1.01831770e+00 -8.30834508e-02
  6.24880362e+00 -1.61082581e-01 -8.35543275e-01  8.50281596e-01
  5.69479108e-01  4.55770731e-01 -5.61785877e-01 -4.33526373e+00
  4.17705357e-01 -4.07143623e-01 -3.33843768e-01 -6.49297953e-01
  4.07331884e-01  7.69407606e+00  1.84121048e+00 -2.16119695e+00
 -1.10050404e+00  7.13324398e-02 -4.87376153e-01 -8.52486849e-01
 -9.74784315e-01  7.67944306e-02 -1.73183298e+00 -4.31980491e-02
  2.57646418e+00  3.05626130e+00 -4.06730592e-01 -3.15292621e+00
  1.38886776e+01 -1.06155276e+00  9.85026360e+00  8.03211629e-01
  3.64707798e-01  3.79199274e-02 -1.47626624e-01 -4.80380476e-01
  2.27426186e-01 -9.09419894e-01  5.97581267e-02 -1.62437692e-01
  2.13067055e+00  2.82873541e-01  3.11065316e-01 -2.14584321e-01
 -1.26473248e-01  1.65223390e-01  2.06471652e-01  4.29509252e-01
  1.05922699e+00 -3.45496714e-01  2.94644415e-01  2.49240607e-01
  1.51804253e-01  3.55528980e-01  8.54953974e-02  2.39170417e-02
  4.30603594e-01  4.59573090e-01 -8.00894380e-01 -1.56545281e-01
 -3.99737179e-01 -9.65862274e-02  4.38733578e-01  7.20232427e-02
  2.65563399e-01 -1.84526667e-01 -3.89401674e-01  2.64929533e-02
 -1.26327112e-01  4.89839688e-02  4.20717299e-02 -2.18285963e-01
 -4.60531563e-02  1.30698025e+00  6.92739338e-02  4.18251067e-01
 -5.45217633e-01 -1.07655227e-02 -7.35093802e-02 -6.62869066e-02
  2.20867395e-01  2.89928406e-01 -1.59590364e-01 -2.12357700e-01
  1.91881955e-02  1.07836914e+00 -6.74484193e-01  5.43772578e-01
  1.23347020e+00 -4.71805595e-02  7.48872757e-03  1.26632780e-01
 -5.97187914e-02  7.36582696e-01 -8.68921876e-01  1.36016190e-01]",2.6071000377585998,,
32,CCN(C)c1cccc(NC(=O)NC(CO)c2ccc(Cl)c(F)c2)c1,"[0, 1, 2]","[ 1.261832   -0.06640825  1.3333262  -1.8316917   0.03522582 -0.24972075
 -2.5516193   0.9117047  -1.5449605   0.7646893   0.70124745  0.16836685
  0.45560545 -0.17608503 -1.5058432   1.7308804   7.663361   -0.2783497
  1.8302194   1.1868204   0.4841668   1.1370442   0.4544307   0.06302446
  0.45638886  0.91376716 -3.9135537   0.16585374 -1.4673407   0.19012064
 -1.1532156  -1.1398823  -0.35656643  0.13802354 -0.5378393   0.3242445
 -1.4150983  -2.8564243   0.5885576  -1.8016515  -1.7872651   0.2630521
 -1.1331258  -0.95089436  0.15541822 -1.2433497  -0.32635742  0.4178546
  0.56968236  0.9765014  -1.8684913   0.16793452  0.45241457 -0.05764568
  0.7334105   0.2609038   1.9447511  -1.2698736  10.242283   -0.6807748
  1.3378189   0.4522178  -6.971899   -0.99289936 -0.07120248 -0.05021336
  0.13303214  0.28583133  0.583241    0.77770483  0.0341256  -0.10332441
  0.1291023   0.28777945  0.6684288  -0.21500716 -0.43243843 -0.03767926
  0.4012999   0.227979    0.8991317  -0.19430837  0.38746688  0.16801359
  0.8540875   1.0463543   0.31482214 -0.02735589 -0.05839755 -0.71392524
  0.28606308 -0.3545697  -0.28531295 -0.04656605 -1.2678256  -0.4636931
  0.4627921  -0.17388797 -0.01044375  0.1669032  -0.40398148  0.14155017
 -0.0852401   0.16299164  0.05378458 -2.0844502   0.48109367 -0.9191735
 -0.0349149   0.10109493 -0.81435263 -0.09604694  0.52381915 -1.4900193
 -0.1127703  -0.78813964  0.25289595  0.804895   -2.302375    1.1647283
 -0.39756963  0.23938733  0.24953638 -0.3135143  -0.12639737  1.2419584
  0.07503321  0.14732698]",1.5602462969907909,,
17,COc1ccc(NC(=O)CNc2cc(Cl)ccc2N2CCCC2)cc1OC,"[0, 1, 2, 3]","[ 2.65107965e+00  5.68598688e-01  2.27689266e+00 -1.31228757e+00
 -1.64552048e-01 -1.96053118e-01  9.62680280e-01  1.24270308e+00
 -7.83814192e-01 -5.09904742e-01  8.96374762e-01  8.39705110e-01
  1.89575601e+00 -9.37661007e-02  1.29349828e-02 -2.03338802e-01
 -5.84191990e+00 -1.04182109e-01  7.03544736e-01 -9.43879247e-01
 -6.06033039e+00  1.09802139e+00 -4.69292343e-01  1.56421709e+00
 -8.35886598e-02  9.97582626e+00  3.47323745e-01 -4.10094261e-01
 -1.33483112e+00  4.01759148e-02  7.77304173e-04 -2.93810725e-01
 -3.90555930e+00 -4.83455837e-01 -3.09360266e-01 -1.92567885e-01
  6.15591645e-01 -2.46986914e+00  4.56681788e-01  4.60815430e-01
 -1.14201224e+00  2.64658779e-01  2.50265956e-01 -5.02616525e-01
 -5.85080576e+00 -2.56882811e+00  1.17686272e-01  1.05319905e+00
 -6.06972754e-01  7.58483112e-01 -9.18614805e-01  1.13408253e-01
  5.44286966e-01  1.11793220e+00 -2.94579673e+00  4.15943772e-01
 -4.27287698e-01 -2.53140187e+00 -4.69209999e-01  8.99694383e-01
  7.70425141e-01  4.07350838e-01 -2.11805910e-01  1.29976845e+00
  6.94886327e-01 -1.15076989e-01 -5.93989864e-02 -7.03340173e-01
  3.41031969e-01  2.60809302e-01 -8.24232996e-02 -4.64156270e-04
  7.22512305e-01  4.49353904e-01 -2.09455833e-01 -9.83052701e-02
  1.48943692e-01  3.60055953e-01 -1.80175155e-01  3.44440311e-01
  1.26074612e+00 -8.67548585e-02  1.04785204e-01  1.13779098e-01
 -1.47869170e-01  5.73796451e-01  1.41544700e-01  8.58902633e-02
  1.77999213e-01  5.97473264e-01 -2.15540975e-01 -4.96360481e-01
 -3.20803523e-01 -7.35825300e-03 -5.17960787e-01  1.65968537e-01
  3.48406404e-01 -1.31282270e-01 -5.95709324e-01 -3.24300855e-01
  8.32799971e-02 -2.11131215e-01 -9.81078371e-02  6.22551888e-02
 -1.41189992e-01  5.21329194e-02 -8.55452657e-01 -2.41306037e-01
 -5.63646853e-02  4.26666141e-02 -2.36080870e-01 -5.00934422e-02
 -3.41944247e-02 -4.47723418e-01 -2.47416541e-01 -7.25651503e-01
 -5.99352419e-02  3.50418299e-01  3.99210513e-01  7.98462331e-01
  7.22332776e-01 -3.00618559e-01  1.11962795e-01 -2.57679403e-01
  2.32274264e-01  9.53235686e-01  5.66946685e-01 -1.27506465e-01]",2.4548799729737354,,
51,CCC(=O)c1ccc2c(c1)CCN2,"[0, 1, 2, 3]","[ 1.13720000e+00  2.76422143e-01 -2.33698100e-01 -1.15969986e-01
 -9.38622355e-02 -7.67305493e-01  2.41023707e+00  8.02769780e-01
 -1.03469205e+00  1.38816476e-01  1.31947124e+00  9.10741043e+00
  7.16536760e-01  7.70921707e-01 -1.46337461e+00 -1.79646865e-01
  1.43377507e+00 -4.94535732e+00 -3.78770351e-01 -1.11176026e+00
 -1.21311975e+00 -4.51710343e-01  4.01109815e-01  2.89467335e-01
  5.35175204e-01 -9.35530007e-01 -1.15996385e+00  3.38329002e-02
  4.32095098e+00 -3.00149858e-01  1.48764789e+00  1.53754318e+00
 -1.22375917e+00 -1.72498241e-01 -4.72721517e-01  1.64287210e+00
  4.86575723e-01  2.96913028e-01 -1.38080597e+00 -3.00244302e-01
  6.26164389e+00  1.93822861e+00  9.48986471e-01 -4.31466389e+00
 -3.83480191e-01  2.34537292e+00 -1.36031687e-01 -3.41491437e+00
  1.41846192e+00 -5.89578331e-01 -1.79009461e+00  4.09317970e-01
  2.85212755e-01 -2.77359509e+00 -6.38079739e+00  3.15426439e-01
  5.26005077e+00  1.37646854e+00 -9.64094996e-01 -1.55463898e+00
 -1.57056022e+00 -5.17506778e-01 -9.78833258e-01  2.96205223e-01
 -9.63636041e-01  8.34075138e-02  9.26830992e-02  4.44247574e-01
 -8.17538127e-02 -3.49662900e-01 -2.78336667e-02  9.22051668e-02
  2.18604833e-01 -2.02006727e-01  1.71813011e-01 -2.58674860e-01
  1.16494477e-01 -2.60811836e-01  2.42170230e-01 -2.01411068e-01
  1.09610784e+00  9.61271673e-02 -2.22696185e-01  5.85949346e-02
  4.09620017e-01 -2.95748234e-01  2.48961896e-01  2.13959187e-01
 -7.94388056e-02 -3.68821919e-01  2.40003496e-01  1.54144555e-01
  6.12259991e-02  4.64697368e-02 -1.33674905e-01 -1.28373906e-01
 -4.01987880e-03  1.48850843e-01  4.19525564e-01  6.49787337e-02
  6.73583150e-03  5.46211079e-02  6.20233789e-02  9.09774005e-03
 -1.35139078e-02 -1.00539148e+00  2.02439517e-01  1.94128186e-01
  3.87287438e-02 -1.16912268e-01 -3.55596617e-02  8.46196264e-02
  4.25461203e-01 -9.46938992e-04  8.79858434e-02  1.32977247e-01
 -9.13544893e-02 -4.06126857e-01 -3.15906376e-01 -2.16013268e-01
 -2.02284947e-01 -8.19405168e-03 -1.10382922e-02 -1.31351873e-01
 -7.12393299e-02 -1.55108109e-01 -2.95500278e-01 -8.56343955e-02]",1.313120706521575,40.0,
39,Cc1cc(N)cc(C)c1NC(=O)c1c(F)cccc1Cl,"[0, 1, 2, 3]","[ 1.3402817  -1.6565485  -0.42749467 -1.3677897   0.14938053 -0.41242597
 -0.6255933   0.24257047 -1.2873298  -0.87262183  0.69319636  2.0777988
  0.33637983 -0.03345781 -0.48991865  1.5098563  -0.5780022  -1.1402438
 -0.1996085  -0.9493856   0.09950715  1.8687923  -0.83758783 -0.6171255
 -0.50364274  0.6732331  -1.143057   -1.2705699  -1.8179599   0.67559963
 -1.1102057  -0.7425945  -1.1263968   0.1752427   0.01376724 -0.31138283
 -1.5662043   1.1585922  -0.04664499 -0.82446384 -2.1189623  -0.92568606
  0.21951191 -1.385988    1.3843864  -0.10898483 -0.21327744 -1.3156099
  0.4346701  -0.32031173  1.4693457   1.5619961  -1.3089564   0.89884174
  1.3242154  -0.19902539  1.1252182  -2.299315   -0.4377125  -0.08106196
  0.8418648   0.3554345   2.5088959   0.9352441   2.3450038  -0.23260564
 -0.098174    2.4890938  -2.6276965   0.05433314 -0.21708952  0.18910292
 -1.266237   -0.1613288   1.0807735  -0.6030347  -1.5164552   0.5564935
 -0.51162434  0.9591342   0.66937226  0.24504426  0.18866757  0.05832577
 -0.03915763 -2.1265528   0.87778246 -0.17183343  0.2540176   1.8244622
 -0.77247983  0.8978735   0.44214427  0.16451177  0.5110158  -2.4142482
  0.09023529 -0.01360175 -0.06272164  0.20214593 -1.1184258  -0.16469556
  0.05560338 -0.19710356 -0.19130084  0.70483613 -0.6666139   0.49380735
  0.12451161 -0.245006    1.2280958   0.04033509 -0.3232935   0.06112027
 -0.13180324  0.4558199   0.10941619  0.26551157 -0.09136474 -0.66931176
 -1.5210254   0.05373746 -0.23912542 -0.3419893  -0.20112929 -1.2028419
  0.6085712  -0.21349165]",2.357144171589712,,
52,COCCS(=O)C1C[NH2+]CCC(NCC(C)O)C1,"[0, 1]","[ 1.0424447e+00 -8.0712217e-01  1.3557889e+00  1.3782260e+00
 -4.9835693e-02 -7.3265600e-01  1.2979746e-01  8.6264915e+00
 -6.0162306e-02  3.7023082e+00 -1.0805306e-01  2.7031004e-01
 -1.6089457e-01 -9.9485409e-01 -3.2790616e-01 -8.4573865e-02
  4.7950417e-01 -6.2335415e+00 -2.8705478e+00  2.0020888e+00
 -2.1025530e-01  1.6345751e+00 -6.8804607e-02 -6.6648188e+00
 -4.7335296e+00 -1.6436665e+00 -4.4389230e-01 -7.5473189e-03
  3.2481036e-01 -2.5688584e+00 -5.7909638e-01  9.0916812e-02
 -9.1374791e-01 -2.6184604e+00 -1.4206648e+00  5.2452576e-01
  1.0745436e+00 -1.7262952e+00  1.9578660e+00  1.9771904e-01
 -4.3063517e+00 -1.2023903e+00 -6.9346088e-01 -7.2084534e-01
  1.2248142e+00 -1.0307555e+00  5.0617747e-02 -4.0620184e+00
  1.8685344e-01 -7.8288871e-01 -1.5568233e+00 -4.3777966e-01
  5.5391037e-01  3.9286235e-01  8.2231903e-01 -1.7212772e-01
 -9.6477718e+00 -2.3537159e-02  1.5447795e-01  2.0370366e-01
 -6.7518449e-01 -1.7327970e+00 -2.1915448e-01  1.5848259e+00
  5.6448913e-01 -1.8244635e-01  1.4811724e-02  1.3171990e+00
 -5.7402307e-01  1.1639314e+00  1.5149094e-02 -1.0773033e-01
  7.0943391e-01  3.3246928e-01  4.4758177e-01 -2.3057878e-01
 -9.5497787e-02  2.8889883e-01 -3.8756794e-01  8.4421754e-02
  1.0352237e+00 -1.6126800e-01  3.7472498e-01  1.1694347e-01
  8.7765747e-01  2.2941458e-01  1.3513025e+00 -1.8650247e-01
  6.8095244e-02  1.3176483e+00 -1.0127156e+00  5.5943578e-02
 -3.0602384e-01 -7.0168242e-02 -1.5936804e+00 -7.8011072e-01
 -2.7546358e-01  2.7725190e-01 -4.6767890e-01  2.2974123e-01
 -1.1080855e+00  1.9466437e-02  1.3753858e-01 -1.4089116e-01
 -6.8023294e-02  2.6554527e+00 -3.1431103e-01 -3.6326799e-01
  1.2839577e-01  5.1306091e-02 -2.1822786e-01 -1.6879931e-02
  1.1714443e+00 -3.8563773e-01 -1.3147320e-01 -5.0220549e-01
 -1.6042848e-01  6.4196616e-02  5.2033150e-01 -8.4765464e-01
 -1.2358845e+00 -1.5214610e-01  9.4617367e-02  4.7664732e-02
 -7.3788494e-02  4.3570060e-01 -9.2532468e-01 -1.3881300e-01]",-8.098565102167637,25.0,
48,CN(C(=O)c1nn(C)c(=O)c2ccccc12)C(c1ccccc1)c1ccccc1,"[0, 1, 2, 3]","[ 8.15358281e-01 -2.63793707e-01  1.62828535e-01  3.68620753e-02
  1.98104084e-02 -1.67217064e+00 -1.42145291e-01 -4.12122607e-01
  3.68006229e-01 -1.48855150e-01  1.87987220e+00 -2.26483083e+00
  5.50153613e-01 -6.14627481e-01  3.71781290e-01 -1.92109060e+00
 -6.14479303e-01  1.31566668e+00  6.68008506e-01  1.99853033e-01
 -1.06734884e+00  9.24778938e-01  8.12414289e-01 -1.34634519e+00
 -9.65186954e-01  1.74031281e+00 -1.82307273e-01  1.02798450e+00
  6.58349097e-01 -9.44563746e-02 -8.55821252e-01  1.88246083e+00
 -1.00215149e+00  5.91073990e-01 -7.14748502e-02  5.61603308e-01
  9.35956717e-01  2.52036333e+00 -5.27619123e-01  2.32864714e+00
  1.69977510e+00  1.30707967e+00 -1.28848326e+00 -1.15936995e-03
 -1.29650974e+00 -1.71765018e+00 -1.35260415e+00 -1.35755861e+00
  1.13750756e+00 -1.22141385e+00  7.86135048e-02 -7.86716938e-02
  1.00724185e+00  2.27987099e+00 -6.61147356e-01 -6.83037579e-01
  1.22472215e+00 -1.42013717e+00 -6.88162863e-01  4.02947783e-01
 -1.38226390e-01  1.67561364e+00  5.31618595e-02  1.79012680e+00
 -1.21332994e-02  6.58222735e-02  2.32792981e-02  2.89930612e-01
  1.12656519e-01  6.41536474e-01 -2.37599425e-02  1.70417577e-02
 -3.09109420e-01 -1.16705224e-01 -8.17478240e-01  1.28871053e-01
  1.16780713e-01 -7.95231983e-02 -2.45018318e-01  5.72697222e-02
  9.82730150e-01  1.69991270e-01 -2.49298453e-01 -2.81604528e-02
 -3.29341263e-01  2.22651601e-01  4.33940709e-01  1.72278255e-01
 -5.54990992e-02  8.75354260e-02 -3.36372703e-02  6.38118610e-02
  8.62296075e-02  9.46130604e-04 -6.06495798e-01  2.00822297e-03
  4.80890572e-02  4.85318378e-02  3.43056381e-01 -1.97413713e-02
  3.93475562e-01 -1.44791842e-01 -7.25494176e-02  1.71501473e-01
  5.87046444e-02  4.46743697e-01  2.32237458e-01 -9.65333104e-01
  3.47972214e-02 -8.65740851e-02 -2.98833132e-01  1.59602046e-01
 -3.57035577e-01  1.87045068e-01 -6.20379895e-02  2.93028951e-01
 -2.40136474e-01 -2.37667505e-02 -7.44293332e-02  1.33863717e-01
 -1.81615919e-01 -1.62524432e-02  2.05769762e-02 -4.19822603e-01
  3.02634388e-03  2.99528599e-01  3.24723601e-01 -2.12591514e-01]",2.1330044276656097,,
2,CCOc1cc(C=c2sc3nc(-c4ccc(C)cc4)nn3c2=O)ccc1OC(C)=O,"[0, 1, 2, 3]","[-9.84213591e-01  5.73571980e-01 -2.43302870e+00 -1.00917235e-01
  1.18621968e-01 -2.55044758e-01  6.37503743e-01 -1.31916332e+00
 -1.88517705e-01 -6.83494687e-01 -1.56844831e+00 -1.18162632e+00
 -1.59398723e+00  2.95369864e+00  1.32509410e+00  1.82523966e-01
 -7.43710041e-01  4.74878120e+00  3.69673347e+00 -1.46841955e+00
  1.39160526e+00 -3.45724392e+00 -8.00686955e-01  6.51790237e+00
  3.57491702e-01 -2.39730573e+00 -1.11382321e-01 -1.03501797e+00
 -1.01158094e+00 -5.07199955e+00  2.71962261e+00  4.94867772e-01
  4.01307464e-01 -1.45581707e-01 -3.44431937e-01  1.48217602e+01
  6.43263996e-01  6.62444592e-01 -2.15991402e+00  1.14190340e+00
  9.21830893e-01  3.41897935e-01  4.66124821e+00 -1.97695720e+00
  4.81385756e+00  5.49551129e-01 -7.68969822e+00 -2.20197439e-02
  3.36010575e-01  7.31525064e-01 -2.75133920e+00  7.79130316e+00
  6.98871434e-01 -9.31075990e-01  5.76799929e-01  2.34459072e-01
  1.42195618e+00 -2.92777824e+00 -3.80055022e+00  4.06803513e+00
  8.08555901e-01 -2.75225937e-01  9.02437782e+00 -4.03210491e-01
 -4.22953576e-01  8.70886892e-02 -1.11802846e-01 -8.67583990e-01
  6.58423960e-01  5.30352592e-01  5.81725091e-02 -1.02921359e-01
  2.23895013e-01 -7.78892413e-02 -3.47122788e-01  2.75034666e-01
 -6.72304928e-02  8.24135616e-02  1.13521814e-02 -7.00550497e-01
  2.21081829e+00 -1.39591992e-02  1.79298759e-01 -2.34627843e-01
 -3.05288844e-02  2.54968226e-01 -6.56947315e-01 -1.07182786e-01
  1.35990590e-01 -1.87811568e-01  5.04067540e-01 -1.09413996e-01
  7.19482154e-02  5.22197634e-02 -5.76975286e-01  1.42629415e-01
  1.73079640e-01 -7.87615702e-02  5.45200825e-01  4.32738960e-02
  7.02079296e-01  4.44522165e-02  1.56832784e-01 -2.44073510e-01
 -1.65870115e-01  1.19555771e-01  2.19863474e-01  3.13518584e-01
  5.77989072e-02 -8.70346576e-02  9.21131074e-01  7.60382414e-03
 -2.20676348e-01  6.56472862e-01  1.75779700e-01 -5.38868845e-01
  4.37951118e-01  6.96642935e-01  3.74097347e-01 -5.56753397e-01
 -1.02930069e-01 -3.08775544e-01  1.06624842e-01  1.09457292e-01
  2.15953976e-01  8.19968060e-02 -4.48739946e-01  4.24157441e-01]",1.5031831498175832,,
