compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
23,O=C(Nc1cccc(Cl)c1)N(Cc1cccnc1)Cc1cccc(F)c1,"[0, 1, 2, 3, 4, 5]","[ 2.66209275e-01  7.25043058e-01  6.13807559e-01  7.90111125e-01
 -6.90618157e-02 -5.04903913e-01  3.74990106e-01 -6.64556205e-01
 -4.58272099e-01  1.08641672e+00  4.14995104e-01  4.89782661e-01
  1.04740262e+00 -1.30926037e+00 -1.34146714e+00 -1.71610475e+00
  4.77499008e-01 -1.19167733e+00 -6.15389645e-01  6.43831909e-01
 -8.69042015e+00  1.91937530e+00  9.50500011e-01 -9.46310163e-02
  5.92033863e-01  9.97627199e-01  8.73455882e-01  4.67180848e-01
 -5.60591221e-02 -3.19772840e-01 -1.63044429e+00  5.74437237e+00
 -1.09953022e+00 -1.07933834e-01 -5.63463092e-01 -1.03653646e+00
 -1.44253933e+00 -3.18425417e-01 -2.07792568e+00 -2.59225440e+00
 -1.10814714e+00 -6.78957701e-01  1.50439715e+00 -1.08209288e+00
  9.80798006e-02 -2.09197834e-01  4.14936006e-01 -9.82707590e-02
  4.00217891e-01 -3.55660868e+00 -1.32653689e+00 -3.14867318e-01
  3.61991835e+00  8.60421062e-01 -1.13661148e-01 -8.12378597e+00
 -1.84181130e+00 -7.67291367e-01 -1.66075671e+00  2.29503584e+00
  6.91221118e-01 -9.82577324e-01 -5.11562407e-01  1.09825039e+00
  1.23946261e+00  1.91423893e-02 -1.08255178e-01 -5.97814858e-01
  1.11740017e+00  4.06256288e-01  1.62769139e-01 -1.77367032e-02
  1.59260035e+00 -1.87678814e-01 -6.19468093e-01 -3.14522833e-02
  2.29258466e+00  1.48031905e-01 -5.30298412e-01  6.71900868e-01
  9.55024362e-01  1.42811790e-01 -7.09282607e-02  3.61005105e-02
  1.38450348e+00  1.35429800e-01  9.65365231e-01  3.45103741e-01
  1.70316532e-01  1.20871162e+00  1.13810575e+00 -3.92025292e-01
 -1.11690283e-01 -1.80960253e-01 -7.79407799e-01  3.50601614e-01
 -2.91704476e-01  2.15716481e-01 -6.02251887e-02 -1.01346545e-01
 -4.63353872e-01 -1.61793649e-01  8.01682547e-02 -1.32972389e-01
  1.44241638e-02 -1.61026025e+00  9.36617374e-01 -7.74053097e-01
 -1.49788976e-01 -7.93640167e-02 -1.03293419e+00 -1.82201564e-02
 -2.84092754e-01  2.32538387e-01 -1.31749257e-01  9.13837314e-01
 -8.19211602e-01 -7.99852550e-01  1.95482826e+00 -5.81794679e-01
  2.05450034e+00 -4.33261752e-01  1.17194869e-01 -4.72829416e-02
 -3.29445302e-03 -3.28384548e-01  2.14519992e-01 -3.13369304e-01]",2.5083672313758347,,
39,O=c1c(-c2cccc(Br)c2)cc2ccccc2n1-c1cccc(F)c1,"[0, 1, 2, 3]","[ 1.2825284e+00 -4.0820175e-01 -5.6631577e-01  6.7746133e-01
  1.9191056e-01 -4.2163283e-02 -3.6531079e-01  8.3145726e-01
 -1.1387444e+00 -2.0763603e-01 -1.7452229e+00 -7.9057682e-01
  2.8844359e+00 -1.2673379e+00  2.1240342e-01 -1.1297754e+00
 -2.5368968e-01 -1.9593490e+00  7.9963219e-01 -1.6558826e+00
 -4.5458227e-02  1.4664235e+00  9.2396843e-01  6.0704553e-01
  1.7282885e-01  1.9376111e+00  3.8999639e+00 -6.3904071e-01
 -7.6792514e-01 -2.5790789e+00  1.2737672e+00  4.9794239e-01
 -4.6344417e-01 -9.7833067e-02 -2.1458995e-01  6.0039849e+00
  9.3300328e-02  2.4416146e+00 -1.9164419e-01  5.4939014e-01
 -5.6247547e-02 -1.7147787e+00 -8.9054310e-01 -1.2647921e+00
  3.6697555e-01  7.1144062e-01 -1.4635876e-01  5.1621900e+00
  1.9523364e+00  1.4294590e+00 -1.9622126e-01  4.7412723e-02
  1.1707414e+00  1.3180184e+00 -6.5832281e-01 -1.6550562e+00
  1.3155246e+00  9.2409980e-01 -3.0943447e-01  2.4111767e-01
 -7.1725953e-01 -7.7531880e-01  4.2469335e-01  4.1410369e-01
  9.9948347e-01 -6.1490763e-02 -7.7463537e-02 -9.7105175e-02
  1.3829453e-01  9.9507809e-01  8.8703729e-02 -2.6251501e-01
 -3.4547126e-01  2.6217982e-01  3.5326213e-01 -5.9698373e-03
 -1.0017272e+00  1.9513008e-01 -4.7278538e-02  1.7197418e-01
  1.1029054e+00 -1.5983769e-01  1.8244895e-01 -1.0172339e-01
  7.7214277e-01  6.8075287e-01 -1.1932710e-01 -5.5236027e-02
  6.1539501e-02 -1.2059659e-02  1.1610260e+00 -6.3776009e-02
 -4.7109522e-02  9.7751226e-03 -6.2046045e-01 -6.6332668e-02
  4.0754825e-01 -1.7033613e-01  2.8261712e-01  2.6255894e-01
 -4.1303745e-01  2.0919542e-01 -2.3501344e-02 -5.3472903e-02
 -1.1587098e-01 -1.8912294e+00  2.4667516e+00 -9.1210210e-01
 -3.3728993e-01  1.1868574e-01  3.9906737e-01 -4.7526434e-02
  2.4107808e-01  3.2888469e-01 -5.9888307e-03  1.2563384e-01
  1.7612606e-01  1.4940196e+00 -9.5762134e-01 -4.1448712e-01
 -9.4038188e-02  6.0038574e-02  4.7509247e-03  1.1480871e-01
 -1.2238070e-02  7.4528444e-01  7.6036751e-02  2.3852465e-01]",2.788272833050593,,
45,c1ccc(CN2CCOC(c3nc(-c4c[nH]c5ccccc45)cs3)C2)cc1,"[0, 1, 2, 3, 4, 5]","[-3.27138215e-01  2.09383965e-02  1.82392105e-01  1.01632047e+00
 -1.54684424e-01  1.78241396e+00  5.24480045e-02 -1.62412316e-01
 -3.70269239e-01 -1.02657378e-01 -5.40315330e-01 -7.56836310e-02
  9.44147885e-01 -1.07400548e+00  1.55500555e+00  7.10050881e-01
 -5.76578140e-01  1.25193968e-01 -1.60605597e+00  3.63783312e+00
 -6.42722964e-01 -9.11868751e-01 -3.93248349e-01  1.19267035e+00
  7.00232565e-01 -7.62387276e-01 -8.53137136e-01 -4.56567615e-01
  6.85832724e-02 -1.61043847e+00 -1.20812766e-01 -1.25128716e-01
 -5.03046095e-01 -2.96332598e-01 -4.57974911e-01  1.48097843e-01
 -8.06007206e-01  2.29109859e+00 -6.71104074e-01 -2.85515189e-03
 -1.18591316e-01  4.21170592e-02 -9.74809229e-01 -2.52698064e+00
 -5.92289448e-01  6.34511948e-01  1.89319223e-01 -6.19527280e-01
 -1.12816787e+00 -7.00417757e-02  2.20173389e-01 -9.21736121e-01
  1.46862924e-01  1.58813965e+00 -5.56536674e-01  4.73897994e-01
  7.71719098e-01 -9.69034672e-01 -2.22149944e+00 -9.39372852e-02
 -5.64524829e-01 -6.96645796e-01  4.60429370e-01 -1.67338037e+00
  1.88139588e-01  9.38095301e-02 -1.41811088e-01  2.70749003e-01
  5.75814396e-02  1.47207284e+00 -4.41542603e-02 -1.21208742e-01
 -1.69752491e+00 -1.99873641e-01 -2.82872379e-01  1.78883761e-01
  4.52289820e-01  1.18992925e-01 -3.69373322e-01 -1.53023601e-01
  1.52948058e+00  1.93786547e-01 -7.53120929e-02 -2.49423906e-01
 -5.07225990e-01  2.03565359e-02  2.89244205e-01 -1.85250044e-02
 -8.57131481e-02 -1.14431307e-01  1.15184653e+00  4.05114114e-01
  2.83064783e-01  1.84359774e-01 -8.52991939e-02 -6.78372025e-01
  1.77260235e-01 -4.28422898e-01  5.52324414e-01  2.22243965e-02
 -2.71974206e-01 -2.12912895e-02 -3.19394469e-03 -5.82416952e-02
  1.03336021e-01  8.44224095e-02  5.23190260e-01 -2.36954257e-01
 -1.58826709e-02 -1.33102894e-01 -1.15182340e-01  6.73824027e-02
 -1.87950619e-02  4.60990787e-01  8.06796104e-02  1.55376971e-01
  4.08607394e-01  8.63236547e-01  3.71955007e-01  2.45846584e-01
 -1.40384391e-01 -1.43609375e-01  1.74287289e-01 -3.94032836e-01
  9.64718089e-02 -6.28370345e-02 -5.87419271e-02  2.85661519e-01]",0.9024305679801445,,
26,COc1cc(C)ccc1OCC(=O)Nc1cccc(C(C)C)c1,"[0, 1, 2, 3, 4, 5]","[-7.78353155e-01 -2.84508020e-01  1.37638152e-01 -1.44270504e+00
 -1.17223874e-01  1.87064171e-01  1.37413293e-03  4.32321578e-01
 -9.43746805e-01 -7.35834241e-01 -6.56911075e-01  1.69273782e+00
  1.02539468e+00 -2.90310085e-01 -1.26658869e+00  3.53940845e-01
 -8.89733657e-02 -4.00616825e-01 -4.94259238e-01 -1.01868188e+00
  2.47726217e-01 -3.29733014e-01 -4.73354489e-01 -6.19187415e-01
 -2.62232095e-01 -1.24573851e+00  6.03210807e-01 -8.27980876e-01
  7.80640244e-02 -2.74586618e-01  7.34417796e-01 -8.99488211e-01
  1.24098217e+00 -3.36761206e-01 -1.30451798e-01  7.73805678e-01
  4.47378963e-01  7.23807454e-01 -1.18994415e+00 -1.21678567e+00
  3.30769151e-01 -2.04050690e-01  4.64742631e-01  1.17176223e+00
 -2.28656858e-01  2.40215838e-01  1.73168516e+00  2.07732007e-01
  4.98277426e-01  2.65138865e-01 -3.31024885e+00  2.73703635e-01
 -1.01326382e+00  1.47735626e-01  1.70387894e-01 -5.04306793e-01
  8.65809858e-01  5.02843499e-01  8.24336112e-02  8.85885537e-01
 -1.14832431e-01 -1.06085467e+00  1.97882128e+00  1.16959774e+00
  4.92271394e-01  2.16174111e-01  1.18264258e-01 -9.13197875e-01
 -1.18495643e-01 -5.25420308e-01 -4.73610405e-03 -1.63402498e-01
 -1.17209017e-01 -2.87340522e-01 -2.95313597e-01 -7.25297071e-03
 -3.14470172e-01 -2.69864589e-01 -7.04794675e-02 -6.48871064e-03
  1.14785624e+00  5.48906922e-02 -1.67492956e-01 -2.63192177e-01
 -3.71997416e-01 -1.93331778e-01  8.11245859e-01  2.35394269e-01
  2.00744629e-01 -2.29563087e-01  1.92005277e-01  4.20375586e-01
 -1.01017326e-01  5.86420409e-02 -2.96810597e-01  3.90668094e-01
 -5.98954037e-02 -1.81685388e-02  7.88240194e-01 -8.98549408e-02
  1.45585597e+00 -1.36925787e-01  7.29674101e-02 -5.38045764e-02
 -4.26177979e-02 -1.86980104e+00  5.24373651e-02 -6.27959147e-02
 -4.70468372e-01 -7.83584863e-02  8.78343284e-01  2.29855508e-01
 -9.24156666e-01  8.23861003e-01  1.99977979e-01  7.85805583e-02
  3.19040477e-01 -2.17116773e-02 -2.80185252e-01 -5.97948909e-01
  4.01485145e-01 -3.30761671e-01  2.02842206e-02  1.67562336e-01
  1.80022374e-01  2.36302286e-01  1.51915872e+00  8.98898542e-02]",2.074376371814747,,
47,O=C(CSc1ncnc2sc(-c3ccccc3)cc12)NC1CCCCC1,"[0, 1, 2, 3, 4, 5]","[-2.30940652e+00 -9.73128319e-01 -7.01971576e-02  2.41165829e+00
  4.08719331e-02  6.76575661e-01  8.73527825e-02  9.55299914e-01
  1.35346651e-02 -1.63470995e+00 -4.16098177e-01 -7.41809905e-01
  1.02058625e+00 -4.28038806e-01 -2.76148289e-01 -1.55951619e+00
 -1.14121161e-01  1.47315300e+00  6.93659127e-01  3.65696430e-01
 -2.00086427e+00 -7.53757000e-01 -1.85908735e-01  6.93969846e-01
 -2.97054619e-01 -4.15787101e-04  8.14151525e-01  4.79020417e-01
  1.24862301e+00 -2.91280568e-01 -6.13312304e-01 -2.67980552e+00
 -5.79521954e-01  2.86191195e-01 -9.33401465e-01  2.79409260e-01
  1.06119633e+00 -1.21540952e+00  7.34085441e-02 -9.30124521e-03
  2.71829993e-01  8.39245975e-01  4.97933626e-01  7.11329460e-01
  1.24026299e+00 -3.79584640e-01 -9.14077938e-01  1.05500138e+00
  5.97132623e-01 -8.74437213e-01 -9.03051019e-01 -9.69940901e-01
  1.84040904e-01 -4.99922007e-01  8.88357282e-01 -2.49574482e-02
  2.46912956e+00 -6.45701408e-01 -2.85417080e-01  3.13342035e-01
 -1.22289968e+00 -5.90618610e-01 -1.86230230e+00 -2.66380429e-01
 -1.57594308e-01 -7.34159127e-02  2.99209096e-02 -7.30699122e-01
 -3.91458988e-01 -3.29426348e-01 -3.15553043e-04  3.94054204e-02
  1.28726888e+00  2.02831775e-01 -2.15790316e-01 -3.46167624e-01
  2.86415279e-01 -9.11965892e-02  5.17490625e-01  8.87558937e-01
  1.37339854e+00 -1.86839461e-01  3.10532749e-03  2.71296024e-01
  2.89138287e-01  2.64979720e-01  5.84302068e-01  3.97107378e-02
  1.73974335e-01  5.47632575e-02 -3.21889728e-01 -4.65474904e-01
 -4.12306249e-01 -1.15247659e-01  9.13145661e-01  5.91654539e-01
 -2.93755263e-01 -2.46943012e-01 -8.07287693e-01 -1.56783849e-01
  1.01223290e-02 -7.66972229e-02  1.13107488e-02  1.19276226e-01
 -3.64008620e-02 -3.43727648e-01 -1.16007042e+00 -6.15840852e-02
  1.06760725e-01  1.81583576e-02  8.72780681e-02 -9.50932503e-04
 -6.16671324e-01 -3.74234200e-01 -9.16040540e-02 -2.32945204e-01
 -4.87600595e-01 -3.93996537e-01 -6.59535468e-01 -1.40081167e-01
 -1.98819503e-01  1.72943380e-02  9.65885520e-02  2.95404434e-01
 -1.07800305e-01  2.78707236e-01  2.43483901e-01 -2.78522491e-01]",1.8065807838757526,,
22,COc1ccccc1NCCOc1ccc(Cl)c(C)c1,"[0, 1, 2, 3, 4, 5]","[ 1.33283591e+00 -8.94249141e-01  7.84199715e-01 -1.49989319e+00
 -1.31453007e-01  1.34113252e+00 -1.56498134e-01  4.52058911e-02
 -4.41711068e-01  8.00456524e-01 -3.89466524e-01  3.45202684e-01
  5.94340324e-01 -1.82970726e+00  5.31060696e-01  1.58637285e-01
 -7.20001459e-01 -3.88153642e-01  3.42690408e-01  5.95150888e-01
  1.10344565e+00  2.13524222e+00  4.65629697e-02  8.38332474e-02
  2.75256693e-01 -5.97146213e-01 -3.62507164e-01 -1.14494890e-01
 -5.38563192e-01 -3.26018691e-01 -2.76521683e-01  5.49010634e-01
  5.37992239e-01 -1.86760902e-01  3.85967553e-01  8.43448639e-01
 -8.90407562e-01 -1.12912488e+00  4.31676537e-01 -5.69532037e-01
  6.25095963e-02 -9.89096761e-01  4.89661425e-01 -5.94605148e-01
  2.88308740e-01 -1.19196594e+00  7.94508934e-01  1.95376611e+00
 -6.66479826e-01  3.41205478e-01 -1.40492606e+00 -1.61609650e-01
 -1.42601252e+00 -6.67302251e-01  1.08324182e+00  5.25321960e-01
 -1.07674265e+00 -1.57231438e+00 -5.06089628e-01  3.68586749e-01
 -5.45641184e-01 -1.96254563e+00  1.11437094e+00  4.42634881e-01
 -3.39535475e-01 -4.58809920e-02  8.82264376e-02  9.04119387e-02
  7.66483426e-01  1.10365272e+00 -1.65360883e-01  1.40433609e-02
 -3.59816730e-01  2.97855884e-01  1.14593291e+00  7.98183754e-02
 -2.88968444e-01  1.02132931e-01  1.84501886e-01  1.47133827e-01
  1.05124629e+00  6.22335076e-03  3.99495304e-01 -1.68285340e-01
  6.27073705e-01  3.89681041e-01 -1.07089102e-01 -1.92908138e-01
  1.91997528e-01 -1.24358714e+00 -6.57080054e-01 -3.71651173e-01
 -9.17499736e-02  1.06813990e-01 -4.81870681e-01 -3.19015950e-01
  3.78156513e-01 -4.37867880e-01 -9.61360037e-02 -2.25600302e-01
  9.41680372e-01  1.63378060e-01 -6.36941046e-02 -1.39678001e-01
 -7.50741139e-02 -1.79052129e-01 -4.51813519e-01  1.23950787e-01
  7.54102767e-02  1.72363579e-01 -4.01650518e-01  1.07257422e-02
  7.74101138e-01 -1.01215720e+00  2.08591223e-02 -1.52872431e+00
  5.63017905e-01  5.86810708e-01 -1.39449239e+00  1.56196690e+00
  4.26898271e-01  3.67102623e-01 -9.79331136e-02  1.13812640e-01
  1.66804343e-03  2.53158033e-01  1.87843716e+00  1.18569136e-01]",2.036068635484712,,
24,CC(C(=O)Oc1ccc(NC(=O)c2cccs2)cc1)c1ccsc1,"[0, 1, 2, 3, 4, 5]","[-0.13316573 -0.82357836 -0.848191    1.2339594  -0.0096249  -1.9446886
  0.25777936  2.3070462  -0.2009319  -1.2331433  -0.01203746 -1.4752163
  0.37509522 -0.72533244  1.3031923  -1.9275043   0.2693648   0.06483819
 -0.5929468  -1.2399536  -0.74780536 -1.2984889  -1.1241328   1.6296957
 -0.5697237   0.71758235  0.51368225  1.5754699   1.0345244   1.4457765
 -1.021805   -0.52644336  0.26572707  0.10544147 -0.8027972  -0.58465475
  1.0623095  -0.33926746 -1.1455357   1.3165078   0.42315754  1.0843937
  1.2920341   0.72211    -0.7241848  -0.15174896 -0.5720173   0.09666397
 -0.755226    0.3491422  -0.0986833  -0.594023    1.7459768  -1.0062792
  0.94539046  0.18454787  1.6688583   0.8253496   0.5482222   0.30332947
  0.38138193  0.8220988  -0.66333514  1.9602762  -0.25951612  0.03793927
 -0.06785532  0.7637998   0.09641308  0.11706872  0.07967287  0.02179131
 -0.49638036 -0.22400934 -0.21925241  0.18547465  0.2354542   0.05837292
 -0.5811319  -0.15923405  1.1371398   0.13542601  0.08026204 -0.14943467
 -0.3883727  -0.6175476  -0.7858379  -0.05518664  0.02427038  0.19175732
  0.2863199   0.30287027  0.38011152  0.00954518 -0.7577732  -0.23393612
 -0.02290798 -0.13857323  0.3573378  -0.07767975  0.09195518 -0.09235971
 -0.02981983 -0.15631118  0.04806127  0.46509346  0.21380219  0.33291218
 -0.11541873 -0.12052312 -0.5096539   0.0846663  -0.30854714  0.9712702
 -0.00996722  0.38323322 -0.00451651 -0.02277449  0.6914076  -0.13216867
 -0.5280156   0.02374486 -0.1768522   0.06674743 -0.07519048 -0.8109636
 -0.5558164   0.06455579]",0.9728155996649193,,
38,Cc1cc(OCc2ccc(Cl)nc2)cc(C)c1Cl,"[0, 1, 2]","[ 0.5092641  -0.23046418 -1.3867736   1.2617575   0.18406036  0.46816367
 -0.5299673   0.5798616  -0.24360923 -0.9878432  -0.41040236  1.0685073
 -0.21973771 -0.2437915  -1.0553885   6.191013   -0.04246813 -2.0991778
 -1.7273254  -2.107718    2.6324947   0.9656525  -1.4161675  -0.41135716
 -0.22892505  0.4165652  -1.0214272  -0.8978672  -1.05841     1.0267128
  0.56700814 -0.28117132 -0.45617497  0.195681    8.211309    0.44804737
 -1.5347347  -0.02932772  7.3076334  -1.0855757  -1.8239318  -2.3879867
  1.0237601  -0.11172268  1.2972378   0.9550537  -0.9782586   1.5971154
  1.0574026   6.012363   -1.7964867   1.6328914  -0.9340571   0.05944154
  0.4209091  -0.28449857 -1.3963035  -0.23074067 -0.97959626  0.75033355
  0.6363979  -1.1037719   3.2308898  -0.6250959   1.3918922   0.4532246
  0.38422328  1.9543705  -0.11319739  0.37495    -0.37132686  0.17857775
 -0.1830421   0.19440396 -0.4928323  -0.28290254 -0.07044315  0.4914103
  0.3110762   0.6694717   0.9225894  -0.36867046  0.5714158  -0.33793628
  2.606397   -0.47689253  0.23191136 -0.25560287  0.43293577 -1.3283224
 -0.85252905 -1.1859267  -0.28730136  0.21917611 -2.2400866  -0.3915548
  0.7628277  -1.0142651  -0.4661181  -0.5585831  -0.09482332  0.42758936
 -0.08137213 -0.39384717 -0.08201391 -3.1902556  -1.2877464   0.94734013
  0.10330778  0.41136616 -1.3183373   0.02576831 -0.03285661 -0.855631
 -0.39229408 -1.4181752   0.06653649 -0.41709042 -1.5925505   2.0401568
 -1.822345    0.6904419   0.22100997  0.48259896 -0.24845533 -0.40568283
  0.88782996 -0.7517354 ]",1.8732381400065807,,
5,O=C(Nc1ccccc1Cl)c1c[nH]c2nccc(Cl)c12,"[0, 1, 2, 3, 4, 5]","[ 0.69803345  0.6043647  -0.5403278   2.0922244   0.22950467 -1.118202
 -0.88347113 -0.07829291  0.37584713  0.1083945  -1.1309803   0.16337746
  1.7410222  -1.8870676  -0.47891456  1.0036129  -1.706498   -0.9169621
  1.0632509   0.25580925 -1.9156618   1.4472712   0.4496485   0.06575179
 -0.41941702  0.95573926  0.6734375   0.15872437 -1.2205826   0.32558835
 -0.01592419 -0.1040077  -0.20431402 -0.35937905 -0.44124746  0.6730963
 -1.6303573   0.09731269 -1.4356649  -0.89104813 -0.2076081  -1.2521013
  2.3364062  -0.7840429   1.4456291  -0.63494563 -0.12763712  0.9767617
 -0.25491446  0.43679586  0.76679623  1.0550499  -0.0115298  -0.04031886
 -0.7614574  -1.0592992  -1.3703747   0.638033   -0.5785697  -0.10830025
  0.37532735  0.8420911  -0.04362228 -0.90615165  0.20406629  0.0155567
  0.10046776  1.2263781   0.145116    2.0445318  -0.16808224 -0.19121732
 -0.72898644 -0.7304157   0.76071537 -0.03891902 -0.6110936   0.29754633
  0.19110727 -0.5095629   1.2748276   0.17558105 -0.05663717 -0.24057823
  1.0967305  -0.34958482 -0.71394765  0.18892014 -0.12526578  0.17507216
  0.09966328  1.0832253   0.39856094  0.08811813  2.552767   -0.7888204
 -0.18187232  0.5749519   0.77493507  0.61865133  0.15053588  0.03241786
  0.04114997  0.02268348  0.0365541  -0.46921313  0.15118077  1.0336573
 -0.07998241 -0.01871479  1.5292205   0.17336531 -0.58932394  0.95784473
  0.42465788  0.91712826 -0.12548977  0.7945138  -0.8143855  -0.10840359
 -0.9442543  -0.10994351  0.11634414 -0.12084252 -0.04763041 -0.7219052
  0.73624146  0.09871026]",1.2190298693619463,,
8,Cc1ccc(-n2c(=O)c3oc4ccccc4c3n(CC(=O)c3ccccc3)c2=O)cc1,"[0, 1, 2]","[-1.1139799e+00  7.3093092e-01 -1.6601849e-01  8.8732034e-02
 -1.7376408e-01 -1.7333925e-02  1.5410687e-01  7.6551741e-01
  9.0707976e-01 -2.4897674e-01 -2.5614631e+00 -6.4612371e-01
 -2.2046506e-01  4.4527143e-01  3.0959922e-01  3.2089543e+00
 -1.0547293e+00  4.2871082e-01 -8.0920160e-02  1.7579232e-01
 -9.3865383e-01  1.8830776e+00  7.4123341e-01  1.1544665e+01
  3.0675071e-01  2.4896669e-01 -7.7203435e-01 -3.3240637e-01
 -5.9212923e-01  2.2537744e+00 -1.4391632e+00  2.6670208e+00
  3.1167811e-01 -3.9710307e-01  1.1731131e+00 -9.9754041e-01
  1.7444320e+00  2.6915255e+00 -1.2436974e+00 -6.1009836e-01
  2.2821009e-02  6.6603726e-01  1.1305867e+00  2.7497163e-01
  7.1624416e-01 -2.3154087e+00 -7.3280501e-01 -1.1289070e+00
 -7.2780836e-01 -8.9620733e-01 -1.2999544e-01 -1.4919041e+00
 -1.3657811e+00  6.6657882e+00 -1.1712112e+00 -1.1998348e+00
  1.6099743e+00  5.6187361e-01 -1.2502520e+00  6.7449659e-02
 -4.8227489e-01 -3.5995501e-01  4.4235080e-01 -2.0637009e-01
  5.0316568e-02  4.8866972e-02 -3.6069933e-02 -3.5515594e-01
  2.3940900e-01  1.6817166e-01 -3.1491295e-02  1.3004280e-02
 -1.4982400e-03 -2.5574300e-01 -6.6563123e-01 -8.4023774e-03
 -3.0236083e-01 -3.2208544e-01  9.9174276e-02 -2.6720968e-01
  1.5127625e+00  6.4424857e-02 -6.4081892e-02  6.9201745e-02
 -9.2800611e-01 -1.2314983e-01  3.2955015e-01  6.2426090e-02
  2.7315155e-02 -3.4222504e-01 -7.9517937e-01 -4.9306318e-02
  6.8763882e-02  5.0042532e-02 -1.3988707e+00  2.5211281e-01
 -7.2465414e-01  2.1030299e-01  2.4302271e-01 -4.6686006e-01
  8.0004299e-01 -2.1817371e-01  1.9587125e-01 -7.6344758e-02
 -9.8130725e-02  2.6853037e-01 -1.7425525e-01 -1.2263091e+00
  4.4756740e-01 -5.7568178e-03  8.8807076e-02  1.5276538e-01
 -3.7898052e-01 -1.1300556e-01  4.2111540e-01 -4.0324453e-01
  1.3042387e-01 -8.6696136e-01 -4.1772343e-02 -8.2195401e-01
 -7.3121738e-01 -6.5861687e-02  9.9775404e-02 -2.6063465e-02
  6.1090708e-02 -2.2155334e-01 -1.6934298e-01 -2.7904473e-04]",1.038062829066166,,
