compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
26,CC(=O)Cn1cnc2c(oc3nc(-c4ccccc4)cc(-c4ccccc4)c32)c1=O,"[0, 1, 2, 3, 4, 5]","[-3.097942   -0.0824748  -2.737732    0.30303505 -0.36829516 -0.15073925
  1.0080901   0.61142707  2.0440836   0.841021   -1.6595064  -2.2459474
  0.20122503 -0.29920173 -0.5226624  -1.2238501   0.02187025  1.9320331
  1.1096867  -0.17309941 -2.3771806   0.7237576   0.14215988 -0.18936425
  0.679898    0.742096   -1.3265274   0.09388021 -0.72474456 -0.6648443
 -1.8702844  -0.21179241 -2.0394425  -0.6074618  -0.96518373  1.7298435
  0.07071641  1.2066005  -1.0270926   1.2293946  -0.3529768   0.5424944
  0.5603764   1.3877112  -0.11402166 -2.121755   -1.1748158   0.11004772
  0.19757158 -1.5356641  -0.88253224 -1.0326638  -0.6967046   0.15652302
  0.16537133 -0.40036863  2.376132    0.43326867 -1.589286   -0.4683827
 -1.0034003  -1.0791569  -1.3755046  -0.08886594  0.7004483   0.16538629
 -0.08415614  0.09002938  0.37158573  0.14220561  0.21242571 -0.1503391
  0.15573749 -0.26774246  0.10135132  0.24785936 -0.33049375 -0.35074708
 -0.15439601 -1.5059056   1.7153122   0.12334259 -0.03167248 -0.05106008
 -0.6387191   0.51286936 -0.10433316  0.08915703 -0.2649829  -0.64005864
  0.5299075   0.6092621   0.6754628  -0.2137178  -0.09672707  0.265266
  0.17738295  1.2124991   0.65634143  0.4663549  -0.29969782  0.0579848
  0.21536243 -0.01508955 -0.19400513 -0.22389129  0.12374425 -0.74251294
 -0.55565965 -0.10839082  0.198627   -0.01512577  0.20245901  0.6821375
  0.15045644 -0.12135518  0.64169747  0.7429419   0.40418443 -0.36878407
 -0.19517872 -0.03049556 -0.2085347  -0.38823518  0.038078    0.06532305
 -0.1986829   0.08680843]",2.3273915834383576,,
43,Cc1ccc(F)cc1NC(=O)CSc1nc(C(C)(C)C)cs1,"[0, 1, 2, 3, 4, 5]","[-1.48801196e+00 -1.19996333e+00 -1.69883519e-01 -1.49163079e+00
 -2.86280662e-02  1.29039437e-01 -9.54580426e-01  3.87313366e-02
  1.33758321e-01 -9.77293670e-01 -5.87514400e-01 -1.70018744e+00
 -4.24234539e-01  1.44081140e+00 -6.99229777e-01  3.46821189e+00
  4.31529808e+00  7.13596106e-01  1.75162598e-01  5.06715715e-01
  5.69399953e-01  1.08316720e+00 -7.49676108e-01 -2.33172357e-01
  6.61092758e-01 -7.54093111e-01 -1.08788960e-01 -3.28204107e+00
 -1.01406664e-01  1.61253119e+00  7.61535168e-02 -1.66761649e+00
  7.17448711e-01 -3.95311117e-02 -1.16517591e+00  6.19279742e-02
 -4.96415883e-01 -4.24853116e-02  3.90746474e-01 -8.96127701e-01
  9.10308480e-01 -7.14459538e-01  6.61774516e-01  9.27644610e-01
 -2.91085720e-01  9.14117575e-01 -1.98574865e+00  7.41970390e-02
 -9.63910341e-01 -4.68221366e-01 -6.61756468e+00  2.24428251e-01
  3.01504493e-01 -7.71694005e-01  7.88987696e-01  5.70918560e-01
 -2.86137223e-01 -7.66354322e-01  3.65700126e-01 -5.92644870e-01
 -3.17255557e-01 -1.57737398e+00 -3.19696724e-01  4.30654883e-01
 -1.31261516e+00 -1.55906305e-01 -4.82341647e-03  1.37152410e+00
 -1.48914337e-01  5.59034467e-01 -5.20909093e-02  8.37676376e-02
  3.52759063e-01 -2.42840320e-01  3.48649621e-02 -2.64212847e-01
 -2.95454323e-01 -1.77207991e-01  3.87540311e-01 -4.18003082e-01
  1.68117476e+00  2.32121199e-02 -2.22367465e-01  1.37290299e-01
 -2.02635974e-01  3.79043400e-01 -1.17348909e+00  3.25596005e-01
  9.80598629e-02 -4.98241901e-01  5.12864470e-01 -3.13499421e-01
 -2.63982505e-01 -1.60278827e-02  1.12252426e+00 -4.29750443e-01
  3.20760608e-01 -1.35273784e-01 -5.99438012e-01  7.54115433e-02
 -1.26949787e+00 -2.61852853e-02 -2.03559995e-01  1.25964642e-01
  6.79709762e-03  6.51398778e-01  4.68936143e-03 -9.28120852e-01
  2.38965660e-01  8.80139321e-03 -8.69354486e-01  1.34442493e-01
  4.21877116e-01  6.78800046e-03  1.47088468e-02 -5.50667107e-01
  1.03541374e-01  3.91470343e-01 -1.31755018e+00  3.29273522e-01
  2.73308516e+00  1.13911018e-01  9.81050581e-02 -4.28274512e-01
 -8.53700191e-03  4.62514460e-01 -2.19425058e+00 -2.42794499e-01]",2.739438888603276,,
48,CN(C)C(=O)c1cccc(C(=O)Nc2ccc(Cl)cc2-n2cccc2)c1,"[0, 1, 2, 3, 4, 5]","[ 2.2749107  -0.35441875  0.41275215  0.19728774 -0.3831788  -1.5251508
  0.88306457  1.3100237   1.0892396  -1.2820312   0.35414612 -0.18178692
  2.148442    0.03688255 -0.6133772   0.84972775  0.42253563  0.55224967
 -0.915727   -0.62417626 -0.38503012  0.9550068  -0.30894145  0.6606241
  0.32319555  0.87790954  0.12587649  0.9303707   0.6690617   0.22296149
 -1.879288    1.0029193   0.11346829 -0.04220583 -1.5414063  -0.5194714
 -0.61926043  0.4181238  -0.37766665  0.30407402 -0.27703235  0.553058
 -2.2618344  -0.13233888 -0.3300252  -0.16772228  1.9688387  -0.7546009
  0.5539519  -4.01986     0.79855394  0.6859116   0.04946822  0.38278234
 -1.1445721   0.01988024  1.165978   -1.92557    -2.959295   -0.2522413
  0.36587632  1.5806912   0.06233093  1.3927182  -0.8705057   0.36845315
 -0.05695815  0.01009625 -1.4339616   0.03547633 -0.15655813  0.3329483
  0.3122504   0.13986693  0.11782372 -0.5906028  -0.48802742 -0.6410228
  0.39734936  0.44680256  0.5833303   0.16367567 -0.07626222  0.10172204
 -1.5839256   0.44216162  1.0504119   0.0700506   0.08435334 -1.6237375
  0.05233508 -0.19237167 -0.13139819 -0.00467399 -0.6118419   0.30389476
  0.11289658  0.06147459  0.30742463 -0.05235937 -0.2881152  -0.05343875
  0.11358358  0.19159491 -0.00666144 -0.71183515  0.12993076  0.12731744
 -0.02240218 -0.4345332  -0.29000297 -0.06271391 -0.06471786 -0.46500403
  0.10398839 -1.0561435   0.59636784 -0.5350916  -0.47627315 -1.2719874
  0.8919532  -0.06764106  0.05939002 -0.108263   -0.15953879  1.0858462
  1.145937    0.03226589]",2.4869774220029397,,
13,CCCCc1c(C)nn(-c2nc(CC(=O)Nc3ccc(F)cc3)cs2)c1C,"[0, 1, 2, 3, 4, 5]","[-1.11010838e+00  4.49164361e-02 -3.49801159e+00 -4.16014433e-01
 -1.20055139e-01  3.05280495e+00  3.63160372e-01  7.65862584e-01
 -2.26875114e+00  4.33448076e-01  7.30436027e-01 -2.62833238e-02
 -1.69474852e+00 -4.31547940e-01 -1.30330801e+00  1.56739402e+00
 -9.61541831e-01 -8.30587745e-02 -2.24643052e-02 -7.01210797e-01
  1.87116957e+00 -2.42817497e+00  5.70705533e-01  2.13166666e+00
  1.47809297e-01 -1.24659467e+00 -2.51932502e-01  1.09357667e+00
  6.66182458e-01 -6.76708996e-01 -1.44462371e+00 -1.25231636e+00
 -9.91091728e-02  1.78813398e-01 -3.98228705e-01 -7.87451684e-01
 -1.01615393e+00  2.96360588e+00  5.71563959e-01 -1.37735939e+00
  7.62398958e-01 -1.55017185e+00 -7.40090191e-01  1.08449638e+00
  1.20416546e+00  4.11899388e-01  1.78599799e+00 -8.97508264e-01
 -4.76183891e-01  1.74072862e+00  1.31422698e+00 -5.58770239e-01
 -1.26248896e+00  4.84390408e-01  8.04251730e-01 -5.15857339e-01
  1.04022980e+00  3.25920701e-01 -4.14973378e-01  8.25236887e-02
  5.63644052e-01  1.78361964e+00  9.86033678e-01 -2.11463869e-01
 -5.76067269e-01  8.79226029e-02 -1.10347062e-01  4.71523553e-01
 -3.56923878e-01  5.48720419e-01  4.33172323e-02  7.35430121e-02
 -5.00008523e-01  1.60842035e-02  2.76922673e-01 -6.21084273e-02
 -2.76051700e-01  3.65552306e-03  1.03745744e-01 -9.19240117e-02
  1.65554512e+00 -1.91336274e-01  8.91823918e-02  5.86513802e-03
 -1.10114530e-01 -2.67105073e-01  7.20174909e-02 -1.23824291e-02
  2.01044753e-02 -2.59130627e-01 -1.45099759e-01  1.13063090e-01
 -2.04003230e-03 -9.77632552e-02 -8.89042795e-01 -1.04278356e-01
 -2.47124732e-01  1.21316187e-01 -2.86813200e-01 -3.78706455e-02
 -6.25263453e-01  3.67686227e-02 -9.74586159e-02  7.32680410e-02
  5.63159138e-02  2.36375779e-01  1.94160253e-01  2.42413104e-01
  1.85348883e-01 -5.25833257e-02  2.40375161e-01 -1.81324184e-02
 -9.31672812e-01  1.70470923e-01  1.02781184e-01 -8.14897835e-01
  3.74795228e-01 -3.10473770e-01  3.32080513e-01 -2.20187381e-02
 -6.87285006e-01 -2.57467180e-01  1.35447681e-01  2.25074776e-02
  5.74060902e-02  7.49172270e-02  9.16116476e-01  1.32979661e-01]",2.638770707200048,,
34,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1ccccc1,"[0, 1, 2, 3, 4, 5]","[ 1.3564591  -0.5066628   1.0862007   1.232882   -0.3715322   0.9914635
 -0.78287834  0.59192914 -0.0610168  -0.21775883  0.15682587  1.2397444
 -1.3085275  -0.04923999 -0.3155483  -0.7493173   0.1374189  -0.7288707
 -1.1843412  -1.71413    -2.1607027   0.8341042  -0.5688249  -0.73588693
  0.38806173 -2.5554574  -0.3735904  -1.3380249  -0.59015816  0.44454575
 -0.38631654  1.9800154  -1.377331   -0.85955346  0.18619215 -0.09267184
  1.0191948   1.2800877  -2.3551044  -0.7029094   0.56740266  0.9753853
 -0.2763992  -1.238836    0.94465137  1.0768903  -0.93065846  0.19670501
  0.17482948  0.4020793  -0.62782305  0.6023357   0.9356978  -0.40300515
 -0.07623091 -0.20913029  0.41916573 -0.42650986  0.7768304   0.12628055
 -0.8863839  -1.0547314   0.7893349   0.8016535   0.46982086 -0.10746916
 -0.02850518  1.2108647  -1.1730824   0.4301038  -0.08491763  0.05378272
 -0.02485795  0.4186339  -0.8158867  -0.39552355 -0.8504683   0.38356423
  0.5586903  -0.20843783  1.0330641  -0.09057488 -0.03416605  0.04979946
  0.23499553  0.10866229 -0.45155448  0.02018663  0.05447881 -0.16161728
  0.10780618 -0.70094025 -0.4719851   0.0659207   0.68834174 -0.42188483
 -0.03601778 -0.4025447  -0.5155048  -0.05837226 -1.2859452   0.22690277
 -0.04209683 -0.10691902 -0.14342743 -0.17082162 -0.82187843 -0.4324129
  0.48200524  0.07118499  0.08866853 -0.10384837  1.4516132  -0.399864
  0.06767441 -1.7810696   0.12596017 -0.3654753  -0.40220925 -0.27913982
  0.13095978 -0.04919227  0.48820108  0.05089384  0.06491668  1.2313585
 -0.13608322  0.03794951]",1.911242198660198,,
20,O=C(Nc1cccc(CNC(=O)C2(c3ccc(Br)cc3)CC2)c1)c1ccc(F)cc1,"[0, 1, 2, 3, 4, 5]","[ 0.2789643   1.5226468   1.4815732  -0.189677    0.04127683 -1.3448646
 -0.27318424  0.7914094   0.31551984 -0.8678688  -0.80035377 -0.5696807
  3.8269348   0.9438524  -0.57043004  1.6782736   0.41545972 -0.39583802
  2.171548    2.1830816   0.17400289  2.0621097   0.5897157  -0.0096097
  0.8076297   0.5436883  -0.8829282   0.06057942  0.24034166 -0.01122237
 -0.16114226 -2.4513676   0.12100136 -0.04361687  1.5620538  -0.09640318
  0.34917298  0.6968336  -1.0170712  -0.29107994  1.1125835   1.2833172
  2.2553802  -0.32073885 -0.82852715  2.1295633   0.14050455 -0.19222692
  0.5973485   0.8641372   0.48183832 -0.29165253  1.2517887   0.99641174
  0.7558452   0.03087226  0.6145507   1.0454812  -0.85814995 -0.39962327
 -0.5093844   0.04459237 -0.6362506   0.77593076  0.14278674 -0.21267205
  0.05428343 -0.09802549 -0.07692772  0.4468885   0.1612403  -0.31804222
  0.4271235   0.40010265 -0.28849036  0.10741581 -1.0953391   0.14416128
  0.11723335 -0.05427516  1.0717148  -0.2636261   0.19261257  0.05929427
  0.24647854  0.9817925  -0.31741777 -0.17941113 -0.11201359  0.16966888
  0.036387   -0.31292325 -0.28329727 -0.10661057 -1.9958802   0.0973065
  0.21339224 -0.22723867 -0.19816607  0.11587349 -0.30910733  0.1336472
 -0.04104798  0.00790542 -0.05287943 -0.21993226 -0.0459592  -0.27531278
 -0.03008845  0.21792637  0.04531032 -0.14861457 -0.38032988 -0.47364932
  0.00553684 -0.6093934   0.07616164  0.7623783  -0.9527147  -0.09145141
 -0.7977724   0.10126792  0.27322513 -0.08000641  0.02821561  1.3674954
 -0.8415947   0.24923421]",3.337645792585538,,
21,Nc1ccccc1-c1noc(SCC(=O)c2ccc(Br)cc2)n1,"[0, 1, 2, 3, 4, 5]","[ 2.18970418e-01  1.84847879e+00  2.03422928e+00  9.69878912e-01
  7.84801096e-02  5.53586912e+00  1.26131311e-01  5.66963553e-01
 -6.95064068e-02  3.51319760e-02 -6.50766492e-01 -9.27182794e-01
 -1.91861844e+00  1.26024500e-01 -6.25306964e-02  1.03438509e+00
 -3.51176786e+00  1.13382861e-01 -2.66666979e-01  1.06111746e+01
 -1.12840652e+00  1.44162774e-01  9.51086283e-02 -1.00917339e-01
  3.07373405e-01  2.32301807e+00  2.16966510e-01 -1.92231822e+00
 -5.27180910e-01 -1.41897309e+00 -3.10318887e-01  4.11334991e-01
  5.17398238e-01 -5.05638480e-01 -1.42577618e-01 -1.14066470e+00
  1.04677260e+00 -7.95186520e-01 -8.57664204e+00 -3.86457354e-01
 -3.60612065e-01  2.87202597e-01 -5.75947046e-01 -9.79872942e-01
 -8.72757584e-02  4.08224046e-01  1.48523724e+00 -5.67688346e-01
 -7.43069649e-02 -1.20722473e+00 -6.70884013e-01 -8.61875439e+00
  1.84656429e+00 -2.82670468e-01  1.25649261e+00 -3.24151367e-01
  1.20504272e+00 -1.08395920e+01 -3.81850541e-01 -3.04075629e-01
 -2.06296206e+00  2.34459266e-01  1.81680012e+00  1.59878835e-01
  4.43834007e-01  1.09410852e-01 -7.57437274e-02 -1.07313380e-01
 -1.75182655e-01  7.06985056e-01  3.82900052e-03 -2.72586584e-01
  3.57197970e-01 -1.27384305e-01 -6.44949794e-01  3.18201296e-02
  1.38094276e-01 -2.04836056e-02  2.81552911e-01 -2.86008120e-01
  1.46343374e+00 -8.65003765e-02  3.60285878e-01 -1.11059591e-01
 -3.12212408e-01  3.52877378e-02  2.82037258e-03 -1.03989646e-01
  2.04751775e-01 -1.36598036e-01 -4.19322520e-01 -2.98101723e-01
 -1.85626790e-01 -7.96052665e-02  1.23981929e+00 -2.66716570e-01
 -7.53657147e-02 -6.06080413e-01  4.62522656e-01  5.15313447e-03
 -4.84735906e-01  2.24940866e-01  9.66860279e-02 -1.96305841e-01
 -6.30683228e-02  1.24888706e+00  6.12815619e-02  7.61382639e-01
  5.33911288e-02  7.98697397e-03 -1.32655501e-02 -6.91483021e-02
  2.47667909e-01  7.33516812e-01  2.14119643e-01 -5.49386799e-01
  4.96540219e-01  5.48086941e-01 -3.79863858e-01 -7.58617818e-01
  2.50712365e-01 -1.58823788e-01  2.43084833e-01  2.82483757e-01
 -3.68960947e-03  3.13558042e-01 -1.06060743e+00  2.41986021e-01]",2.2413471329824706,,
37,CCN(CC)C(=O)NCc1ccc(COC(C)C)cc1,"[0, 1, 2, 3, 4, 5]","[ 0.0323195   0.46094438 -1.5992203  -2.9990501  -0.17073083  1.4049091
 -0.22087012  0.09968829 -0.18507004  0.5536868   0.49954787  1.0930996
 -0.39823174  0.5813657   0.6236152  -0.0767844   0.7739681  -0.2315545
 -0.516037    1.2619904  -0.07606426  0.21240759  0.17343172 -0.82510644
  0.13207668 -0.6662717   0.06466305  0.24066561 -0.06564483  0.1037014
  0.30990592  0.4708842  -0.39894757 -0.2723095  -0.40600973  0.7533989
 -0.64461803 -1.8501451  -0.33412778 -0.5417286  -0.08046266  0.3820503
  1.1601706   1.084413    0.43013194 -0.37157992  1.393006   -0.42010707
  0.32399195 -0.832718   -1.480791   -0.72384715 -1.7242404   0.26142484
  0.76779383 -0.3451059  -0.7150873  -0.15488869  0.05322063  0.65829253
  0.15754884 -0.709185   -0.67039865  2.0091982  -0.56860566 -0.07979527
  0.07439441 -0.15480748  0.24406597 -0.3792303   0.032935    0.02473773
  0.27395016 -0.1284307  -0.38906762  0.10183619  0.06266659  0.04819363
 -0.27870882 -0.08480793  1.5564498   0.00432117 -0.11021647  0.03923661
 -0.10004698 -0.13981664 -0.5804738   0.0236406  -0.1501295   0.53028214
  0.12387343  0.13896881  0.04249146  0.08693407 -0.19181441  0.25045383
  0.07942174  0.09652353  0.0547455  -0.04800788  0.40089604 -0.13634172
 -0.07807215  0.08989143  0.04001489  0.91029525  0.11329659  0.44489944
  0.13786279  0.02587903  0.00648703  0.0045189  -0.44415808  0.31848842
 -0.08992556  0.7616726  -0.42667323 -0.29334757  0.42328203  0.10489405
 -0.6268525  -0.04292087 -0.0803376  -0.02248158  0.07404478 -0.4257957
 -1.1263001  -0.14129373]",1.9678651677996646,,
18,COc1cc(NS(=O)(=O)c2cccc(Cl)c2Cl)cc(OC)c1OC,"[0, 1, 2, 3, 4, 5]","[ 1.77807915e+00  6.87556565e-02  7.93094635e-01  9.17953014e-01
  1.11596972e-01 -4.72217083e-01  6.09776676e-02 -4.83713716e-01
 -2.98973322e+00  1.02061319e+00 -1.09923100e+00  1.01701140e+00
  9.57119644e-01 -4.96589184e-01 -4.09596860e-01 -4.52751875e-01
  5.55622578e-03 -1.69724011e+00  9.26310480e-01 -1.59648967e+00
 -2.50057280e-02  4.91926003e+00 -1.56539416e+00  3.51794720e-01
 -5.23019314e-01 -8.83130372e-01 -3.01235795e-01 -5.93943715e-01
 -9.47515488e-01 -6.10043108e-01  6.98883116e-01  1.30376518e-02
 -2.11027193e+00  1.73031718e-01  2.30628967e-01  8.51110101e-01
 -5.38536429e-01 -4.26780343e-01  1.51862669e+00  1.36713624e+00
 -8.32042396e-01 -9.69067276e-01 -1.06131196e-01 -1.43757373e-01
  9.95059252e-01 -6.10598326e-01 -5.77647150e-01  2.06278753e+00
 -1.19623542e-02 -1.72728467e+00 -1.38631701e+00  3.49986583e-01
  6.55806601e-01 -3.15189987e-01  6.56558394e-01 -9.57131743e-01
 -1.11167741e+00 -1.90700793e+00 -9.22121763e-01  1.66418672e+00
  2.30446172e+00  9.72249389e-01  2.66020584e+00  1.82866347e+00
  7.10088134e-01  1.50397062e-01 -1.93186998e-02 -1.51056254e+00
  1.15175807e+00  6.35508418e-01  2.98614621e-01 -8.90522152e-02
  1.20516109e+00 -3.06224585e-01  1.63681388e-01  7.93007612e-01
  1.22373319e+00 -3.01056448e-02 -3.61102283e-01 -3.04644644e-01
  7.51707554e-01 -3.38897824e-01  1.51635826e-01 -1.01977438e-02
  2.53240645e-01  6.10877156e-01  1.48919964e+00  8.87190253e-02
  8.81577134e-02 -3.63268256e-02 -9.96043980e-02 -2.72178322e-01
 -2.15951651e-01 -1.05303936e-01  2.56799817e-01  1.57101965e+00
  2.20185205e-01  3.18961829e-01 -3.05883050e-01 -6.83104992e-02
  7.58859098e-01 -3.19635347e-02 -5.39326146e-02 -1.97999746e-01
 -1.57901913e-01 -1.51352787e+00  1.45486355e-01 -3.81921530e-02
 -6.70946360e-01  2.15186805e-01 -1.03462458e-01 -1.25603840e-01
  7.22235441e-01  1.31299472e+00 -1.53061867e-01  5.57826996e-01
 -5.20741940e-02  1.02192748e+00  1.05185533e+00  4.79306579e-02
 -1.80740941e+00 -2.35789135e-01  6.83715492e-02  4.30603862e-01
  1.77130416e-01 -5.02311110e-01  1.77267194e-03 -1.78067490e-01]",2.363641636469146,,
49,COc1ccc(-c2ccsc2)cc1CNC1CCCNC1c1ccccc1,"[0, 1, 2, 3, 4, 5]","[ 0.9122714  -0.59552544  0.48869118 -0.9575395  -0.04849166  2.1801124
 -0.38264424  1.0929861   0.10235041 -0.15768582  0.46226043  0.83361095
  1.0296125  -0.08742982  0.55524707 -0.61108553 -0.09430757 -0.4863246
 -0.7898232   0.28444803  0.5661372  -0.9338565   1.1572249   0.34431246
  0.16797186 -0.14923865  0.58266497 -0.8050894   0.13102695 -0.28769898
  0.4233106  -0.8560937  -1.0132334   0.37918591  0.7421644  -0.70544785
 -1.1061083   0.32452798  0.11356804  2.3240237  -0.38985372  1.3278006
  0.3223452  -1.0879431   0.3891927  -1.1543088  -1.5250669   0.48422226
  0.47330427  0.6153761  -1.7555754   0.8323785  -1.5209112   1.8308895
  0.09477022  0.5301639   0.50274354 -1.0639007  -2.188091    0.6505766
 -2.0052872   0.6767331   1.6009747   1.6438451  -0.7030089   0.00761884
 -0.31253392  0.76420796  0.29927146  1.8070319   0.05426106 -0.21119629
 -0.02521989  0.07351123 -0.23355472  0.53173244 -0.43641853  0.04585209
 -0.6485941   0.42028832  0.7288357   0.21098015  0.24636695 -0.05413359
  1.6948875   0.5367955  -1.0382831  -0.02087126  0.16695541 -0.1765597
 -0.1933172  -0.18520647 -0.06485801  0.10464849 -0.8605955  -0.3120001
  0.33427095 -0.897595    0.3328011  -0.18927452  1.597963   -0.02241869
  0.20042045 -0.32224166  0.126368   -0.0850558   0.5434687  -1.5546082
 -0.4651106  -0.00629912  0.01690114  0.06857675 -0.17348944 -0.0433221
  0.10209143 -0.15063113 -0.2900539   0.2555269  -1.0533327  -0.58607614
  1.3108612   0.22119579  0.02646683  0.267582   -0.19807139 -0.13820577
  0.00563651  0.27584097]",2.03021511275261,,
