compound_id,smiles,generation,source,fitness
0,COC[C@@H](C)Nc1ncnc(Nc2cccc(C)n2)c1N,"[0, 1]",initial,0.08188645269756031
1,COc1cc2c(cc1OC)[C@]1(O)C(=O)c3ccc4c(c3O[C@H]1CO2)C[C@H](C(C)=O)O4,"[0, 1]",initial,-1.2797696022510652
2,C=CCOc1ccccc1NC(=O)c1cccc(N2CCCC2=O)c1,"[0, 1]",initial,2.2967104073096167
3,C[C@H](Nc1ncccc1[N+](=O)[O-])c1ccccc1,"[0, 1]",initial,1.589913898912047
4,C[C@H]1Oc2ccccc2O[C@@H]1C(=O)Nc1cn[nH]c1,"[0, 1]",initial,-0.5574196162272151
5,Cc1[nH+]ccn1C[C@H](C)CNC(=O)N1CCSC2(CCCCC2)C1,"[0, 1]",initial,-1.6307606851438217
6,[H]OC(=NC1=NC(=NC(OC([H])([H])[H])=N1)C([H])([H])[H])N=S(=O)(O[H])C1=C(C([H])=C([H])C([H])=C1[H])C(=O)OC([H])([H])[H],"[0, 1]",initial,-1.085028635000794
7,CO[C@@H]1C[C@@H](C(=O)[O-])N(S(=O)(=O)/C=C/c2ccccc2)C1,"[0, 1]",initial,-2.236491149996302
8,CC(C)[C@@H]1C[C@H](C(F)(F)F)n2nc([C@H]3CC[NH+](CC(N)=O)C3)cc2N1,"[0, 1]",initial,-3.9300242556689846
9,Cn1nc(C2CCN(C(=O)[C@H]3COc4ccccc4O3)CC2)n(C2CC2)c1=O,"[0, 1]",initial,-0.5143450179488398
10,O=C(CCn1cncn1)Nc1n[nH]c2ccc([N+](=O)[O-])cc12,"[0, 1]",initial,-0.07770938476964256
11,COc1ccc(/C=C2\SC(=N)NC2=O)cc1OCc1ccccc1,"[0, 1]",initial,1.7192518433694242
12,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cc(-c2ccc(F)cc2)[nH]n1,"[0, 1]",initial,3.1456261875416804
