smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
O=C(Nc1ccc2c(c1)CCN2C(=O)c1cccnc1)c1cccn1C(=O)OCC(Cl)(Cl)Cl,5.0,12,ZINC000001555770,mutation,"[1, 2, 3]",,50.0,2.874612269762235
Cc1ccc(C)c(S(=O)(=O)NCCC(=O)N2CCN(c3ccccc3C(=O)c3cc(C#N)n[nH]3)CC2)c1,32.0,80,ZINC000166756414,mutation,[1],,51.0,-0.36181308019022296
CNCC(F)(F)C(=O)N(CC1CCN(C(=O)OC)CC1)C(=O)c1nc2ccccc2s1,37.0,13,ZINC000090505789,mutation,[1],,52.0,-0.15807296634543688
CCCCCOC(=O)N1CCC(NC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)N1Cc1ccccc1,6.0,12,ZINC000001586311,mutation,[1],,53.0,0.4969261501115264
O=C(O)c1cc([N+](=O)[O-])c(N(CCc2nncn2C2CC2)[C@H]2CCOc3c(Cl)cccc32)cc1Cl,10.0,91,ZINC000004362878,mutation,"[1, 2]",,54.0,2.0622872996578776
COC(=O)C(F)(F)c1ccc(C(=O)N(C)CCOCC2CC2)cc1N,29.0,69,ZINC000002003941,mutation,[1],,55.0,-0.4371974819427574
Cc1ccccc1Cn1cc(C(=O)N2CCCC[C@@H]2CCN2CCCN2c2cc(N)ncn2)nn1,17.0,18,ZINC000001675006,mutation,[1],,56.0,-1.0914604544466484
COC(C)=CC(=O)N(C(=O)C(=O)NC(C)C)c1sc2c(c1C(=O)OC(C)C)CCCC2,28.0,13,ZINC000000334833,mutation,[1],,57.0,0.033405052413757574
COc1ccccc1N1CCN(C[C@@H](COc2ccc3c(c2)OCO3)n2nnnc2-c2cc3c(cc2N)OCO3)CC1,30.0,73,ZINC000020120419,mutation,[1],,58.0,-0.5044373396643227
CCCC(=O)N(c1cccc2cccn12)[C@@H]1CCCN(C(=O)Cc2ccc(C)c(O)c2)C1,43.0,18,ZINC001525644000,mutation,"[1, 2]",,59.0,1.5440096788284867
CC(=O)N1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2-n2cccc2)C1,38.0,21,,mutation,[1],,60.0,-0.6233860783100648
CCOC(=O)[C@@H]1CC(=O)N(c2ccc(NC[C@@H]3CNCCN3)cc2C)C1,44.0,87,ZINC000022028884,mutation,[1],,61.0,-2.872827198254131
COCCn1c2c(c(=O)[nH]c1=O)[C@@H](c1ccccc1)C1=C(c3ccccc3C1=O)N2C(=O)C1CC(=NOC)C1,33.0,83,ZINC000217723735,mutation,[1],,62.0,-1.2131279455515924
CCc1cc(C)cc(CC)c1NC(=S)N1CC(NC(=O)NNC(=O)CC2CCCCC2)CN1CCOC,40.0,32,ZINC000060068290,mutation,[1],,63.0,0.16418618892247927
CCn1cc(Sc2ccc(CCNC(=S)NNC(C)=O)cc2)cn1,48.0,20,ZINC000072226112,mutation,[1],,64.0,-0.10599122011601159
COCC#CCN(C(=O)NCc1ncoc1C)[C@@H]1CCCC[C@H]1CNC(=O)OC(C)(C)C,24.0,18,ZINC000083255142,mutation,[1],,65.0,-1.0416975553328873
CC(C)C[C@H](N)CC(=O)N(CC(C)C)C(=O)N1CCC[C@@H](CC(=O)NNC(=O)c2ccccc2)C1,21.0,13,ZINC000000170350,mutation,[1],,66.0,-0.49872139204247934
