compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
49,O=C(CSc1ncnc2ccccc12)N1CCN(S(=O)(=O)c2ccc3c(c2)CCC3)CC1,"[0, 1, 2]","[-4.45245886e+00 -8.10443699e-01 -9.23653066e-01  3.02421832e+00
 -3.11279446e-02 -2.10221243e+00 -7.02025235e-01 -8.48557472e-01
 -1.56463638e-01  2.83142638e+00 -7.60412097e-01  1.18622208e+00
 -5.98875940e-01  6.45680308e-01 -1.06167972e+00 -1.79049909e+00
 -1.29617786e+00  1.15687966e+00  7.56795287e-01 -4.74548787e-02
 -1.32889724e+00 -3.90857816e-01  4.25967455e-01 -1.02617145e+00
  6.26784921e-01  9.88744676e-01  1.78810668e+00 -1.75765753e-02
 -1.36321187e-02 -1.06213361e-01  4.23738271e-01 -1.28544867e+00
 -9.08395052e-01 -5.58044076e-01  9.85756338e-01  1.17654204e+00
  1.00395405e+00 -2.67874885e+00  5.85969508e-01  1.25371385e+00
  4.06625777e-01  1.01915193e+00  6.05311245e-03 -4.95115191e-01
  1.08830810e-01 -4.59390953e-02 -7.58250505e-02  1.80792737e+00
  1.37002373e+00 -4.55734551e-01 -9.35256481e-02 -1.27479768e+00
  6.48547769e-01  3.20087862e+00  1.77838653e-01 -1.57779932e-01
 -6.34178579e-01 -4.81982559e-01 -3.85431230e-01  8.17145348e-01
 -2.45463705e+00  7.78288126e+00 -6.68288946e-01  6.06707811e-01
 -8.21406394e-03  2.84598060e-02 -9.27595794e-02 -2.98303932e-01
 -2.27040842e-01  1.49248019e-01 -1.03345737e-01  1.79061770e-01
  2.18386620e-01 -8.75508264e-02 -1.48743153e-01 -1.96780697e-01
  1.16221458e-01 -2.02654570e-01  2.32439667e-01  2.16868699e-01
  1.35152078e+00  9.36393663e-02 -2.03245431e-01 -2.60185599e-02
 -4.13686097e-01 -7.36351311e-02 -2.22032487e-01  1.20382890e-01
  6.00033775e-02 -3.61573309e-01 -5.04422486e-02 -9.37699527e-02
 -2.14922652e-02  4.27018702e-02  2.69073635e-01  3.36805880e-01
 -1.15635239e-01 -2.30315879e-01 -8.52938965e-02  2.56865472e-02
 -3.25363278e-02 -1.12314828e-01  3.41333076e-03  1.47248238e-01
  1.77248456e-02 -3.61973673e-01 -1.14575937e-01 -3.76673877e-01
 -9.70724225e-03 -1.51612163e-01  8.12605917e-02  1.14042886e-01
 -2.07873672e-01  3.10324609e-01  1.28680021e-02  2.20973879e-01
  6.45794272e-02  3.40856075e-01 -6.02416396e-01 -3.50832433e-01
 -2.78060436e-02 -4.75883111e-03 -1.26621991e-01 -5.09321094e-02
 -6.11689687e-03 -4.02854830e-02 -7.18548179e-01 -9.69495252e-02]",1.8341050883957224,,
8,CCNC(=O)c1ccc(NC2CCCN(c3ccc(C)cc3)C2=O)nc1,"[0, 1, 2, 3, 4, 5]","[ 1.3686594   0.870579    0.1592971  -1.2737877  -0.01090536  0.75444025
 -0.3975091  -0.70603025  0.27741414  0.3859662   0.46837437 -1.0265622
 -0.16705844  1.2751056   0.26419687  1.2035229   0.17020625  0.7290621
 -1.0091162  -0.6960625  -1.4989562   0.84818494  0.45301232 -0.41598564
 -0.4532055  -0.53209186 -0.44386134 -0.21689427 -0.42218393  0.9372401
 -1.308683   -2.1086833   0.14424494 -0.15671954 -1.6104963   1.1036233
 -0.09741205 -1.5714303   0.26242226  0.5764335   0.8836194   1.2746489
  1.5614722   0.76487136 -0.35402763 -2.5376532   0.18580675  0.45631182
  0.01127863  1.0332861   0.16675577 -1.2192577  -2.013528   -0.71732354
 -0.5666236   0.45463845  0.16666138 -1.7633307   0.49635226  0.20464054
 -0.9897041   1.0500644  -0.1122072  -0.33444896 -0.9977483  -0.09340004
 -0.00720838  0.40183467  0.44272408  0.18853873  0.03267232 -0.01464437
 -0.39266953 -0.02159134  0.42231122  0.12651867  0.03165761 -0.10890503
  0.0567733  -0.65167123  1.8975325  -0.15121904 -0.23434882 -0.13040978
  1.2243474  -0.607457   -0.17289597  0.07311542 -0.17303695 -0.21376832
 -1.0426579   0.57866776  0.19496135 -0.04990902 -1.1961175   0.04870766
 -0.12046711  0.1397702   0.08241035 -0.03038284  0.37107313  0.03964396
 -0.02753183  0.02463592  0.09425101  0.19285268  0.8351459   2.2614954
 -0.17359647  0.14544295  0.09530485  0.06112889 -0.09483856  0.39477128
  0.01794718  0.64494693 -0.05624747 -1.192179    0.5240577   0.43953612
 -0.01710647 -0.08335336 -0.12115043  0.17912732  0.14226523 -0.47533086
 -0.31085235  0.02926247]",1.4135851541482416,,
5,CN(CCOC(=O)CN1C(=O)CCc2ccccc21)c1ccccc1,"[0, 1, 2, 3, 4, 5]","[ 1.1491076e+00  3.1257182e-01  2.0048320e+00 -2.8783450e-01
 -6.4817280e-02 -7.1413052e-01  7.7223349e-01  1.0645938e+00
  2.2035927e-01 -5.2159584e-01 -8.6130798e-01 -4.9167699e-01
  7.0201421e-01  1.8639437e+00  6.9393855e-01 -9.9269098e-01
 -9.7004902e-01  5.2916789e-01 -6.6376424e-01  1.4756312e+00
  1.7320395e+00  6.8029231e-01 -1.9837108e-01 -7.5567156e-01
  4.4616136e-01  2.5059873e-01 -7.9082882e-01  9.3053871e-01
  1.2527907e+00 -3.5483995e-01 -3.4118900e+00  3.2278609e-01
 -3.4870684e-02 -9.3018621e-02  1.1179234e+00  1.3124138e-01
  4.4133884e-01 -1.3619125e+00  1.6430646e-02  1.3060048e+00
  2.0628209e+00 -1.1509417e+00 -3.7559319e-01  6.4371639e-01
 -1.3636980e+00 -1.8101010e+00 -2.1959364e-02  2.3793328e+00
 -5.6201839e-01  1.3728940e+00 -8.6144102e-01 -1.1757785e+00
  1.3382834e+00  1.5086052e+00 -9.8223841e-01  2.6792532e-01
  5.2884853e-01 -1.0886233e+00  1.2271316e+00 -1.6420527e-01
 -1.3479767e+00 -3.4567046e-01 -2.0734897e-01  6.4565015e-01
  1.0983999e-01 -1.8537045e-04 -6.5525398e-03  8.9339584e-02
 -2.5619354e-02 -4.2353678e-01 -2.5188277e-02 -4.0328726e-02
  7.7021837e-01  2.0445035e-01  4.2803463e-01 -3.9181465e-01
 -3.6228290e-01  1.6784525e-01  2.7718517e-01  2.0866212e-01
  1.1032945e+00 -1.3964123e-01  2.2224633e-01  1.5693602e-01
  5.5729735e-01 -1.4944190e-01 -1.9698291e-01  6.4240955e-02
  2.0311359e-01  4.2659542e-01 -1.1553953e+00  3.3481807e-02
 -3.1766143e-01 -1.4530307e-01  2.5922528e-01 -2.8369349e-01
 -2.4442485e-01  2.1140823e-01 -2.2567795e-01  5.0909728e-02
 -8.4101069e-01 -6.7199782e-02  7.5185858e-02 -2.5291693e-01
 -1.1019345e-01 -2.4310431e-02  6.8213236e-01 -5.4232866e-01
 -1.2392232e-01 -4.1084874e-02  8.3955705e-02 -6.3438460e-02
  2.5665027e-01 -4.4862947e-01  3.9339148e-02 -2.4404758e-01
 -2.8041512e-02 -2.7483678e-01 -2.3330067e-01 -2.5054902e-01
  1.3071205e-01  9.8487705e-02  2.0318300e-02 -4.4714436e-02
 -1.1138507e-01  3.6487868e-01  1.6317580e-02 -5.7045229e-02]",2.0749317821059345,,
13,COCCn1cnnc1CN(C)C(=O)c1cc(Cl)c(C)c(Cl)c1,"[0, 1, 2, 3, 4]","[-4.97773170e-01  4.56750393e-03  7.06727147e-01 -2.52116144e-01
 -2.69025207e-01  9.52405691e-01  2.26691335e-01  9.23031151e-01
  6.70946121e-01  1.07192898e+00  1.66459963e-01 -1.18848050e+00
  1.71337390e+00  1.16293430e+00 -5.81895351e-01  8.00623178e-01
  1.90093726e-01  8.28456998e-01  1.04246724e+00 -9.62892771e-02
  3.18633032e+00  1.44428110e+00 -3.26926857e-01 -2.02619433e-01
  2.79155672e-01  4.19273376e-01 -7.34091043e-01  8.32107306e-01
  1.00278884e-01 -9.14594084e-02  9.02399421e-02 -3.63886058e-02
  2.32218504e-02  3.47679138e-01  1.38001430e+00  4.22949076e-01
 -1.31362939e+00 -2.96627474e+00  2.21604395e+00  1.45454884e-01
  1.10478878e+00 -2.36982703e-01 -7.81264663e-01  5.28375208e-01
  1.26018476e+00 -4.64909911e-01  1.17318380e+00 -6.33890510e-01
 -1.14230859e+00 -1.23159444e+00 -2.22912848e-01 -8.82177949e-01
 -1.96592355e+00 -1.03846025e+00 -4.42597866e-01  7.90485501e-01
 -1.48354143e-01 -2.96846986e+00 -4.80234057e-01 -6.67828262e-01
 -8.49736881e+00  1.61815882e+00  3.82292747e-01  8.51865411e-01
 -8.62753093e-01  1.87917337e-01 -1.30670160e-01 -6.02931023e-01
  1.27445304e+00 -4.77602243e-01 -1.61681846e-01  2.96533287e-01
  2.94071108e-01 -5.41354939e-02 -3.57526183e-01  3.34268063e-02
  9.27448332e-01  9.39722732e-02  2.71760702e-01 -1.19522333e+00
  1.36086190e+00  8.60451013e-02 -1.37569025e-01 -1.51526973e-01
 -1.28576890e-01  8.79463032e-02  1.93565607e-01  4.68999594e-02
  2.15002835e-01 -6.92504644e-01  5.39302468e-01 -3.64945412e-01
  6.35456219e-02  1.94072612e-02 -3.93888354e-03  7.05783308e-01
 -2.69106567e-01  5.33294916e-01  4.54316914e-01  1.38233304e-02
 -6.03245139e-01  1.72584265e-01  2.26494104e-01 -2.51845896e-01
 -1.63240969e-01 -5.07288337e-01  5.07945836e-01 -2.04548240e-02
  1.91872060e-01 -2.58309580e-02  5.10495126e-01 -3.69956456e-02
 -8.01476359e-01  9.26829576e-01  1.66631371e-01 -5.58878422e-01
  5.99760234e-01  7.19180331e-02  1.13659668e+00 -3.74835730e-02
 -9.29863095e-01  1.25531226e-01  8.84424746e-02 -2.22060785e-01
  1.46576256e-01 -9.31248069e-02 -1.76920980e-01  6.48294985e-02]",1.5512991461961005,,
2,COc1cc(N)c(C)c(Br)c1,"[0, 1, 2, 3, 4, 5]","[ 2.01185179e+00 -1.52720070e+00 -4.46722396e-02 -6.37517929e-01
  3.83474052e-01  5.53552032e-01 -9.98091817e-01  3.42322499e-01
 -1.58075690e-02 -1.58827078e+00 -2.09993148e+00  2.99945354e+00
  1.99286133e-01 -1.13755226e+00 -7.69626498e-01  1.98936999e-01
 -4.55155730e-01 -1.20618844e+00  9.92739439e-01 -2.10770750e+00
 -1.25803423e+00  1.05883753e+00 -8.46522450e-01 -2.17117000e+00
 -5.03401220e-01  1.20313168e-01 -1.02722597e+00 -6.34830356e-01
 -5.06028175e-01 -2.13037491e-01  9.51019049e-01 -1.41367555e-01
 -2.69774795e-02  4.94347662e-02  3.34033370e-01  1.16379952e+00
 -8.11661720e-01  1.39217293e+00  1.55176151e+00 -3.73944342e-01
 -9.16466773e-01 -6.97093368e-01 -8.32997918e-01 -3.18501472e-01
  4.32020575e-01  3.95321369e-01 -3.94328833e-01 -6.74990892e-01
 -1.15232706e-01 -6.36791110e-01 -2.58939266e-01  2.17841196e+00
 -4.24254239e-01 -3.29588026e-01  8.49965692e-01 -4.99753952e-02
 -6.02871418e-01 -2.10295081e+00  1.33320129e+00  3.70534211e-01
 -1.42496616e-01  3.48124146e-01  3.02398610e+00  5.87101221e-01
  2.75410146e-01 -1.57290250e-02  7.01769590e-02  5.47530949e-01
 -5.01637340e-01 -1.65257573e+00 -4.55042005e-01  6.70087457e-01
 -4.41373855e-01 -1.28312245e-01 -1.59296644e+00 -2.24864930e-01
 -3.71102870e-01 -1.78052276e-01  6.67318344e-01 -9.88194287e-01
 -1.04964763e-01  1.80307001e-01 -7.82245696e-01  6.77785128e-02
 -1.10197818e+00 -9.06463563e-01 -2.56970644e-01  1.24548636e-01
  3.39320600e-02 -1.73479438e+00 -4.42136288e-01 -1.45343614e+00
 -6.82858109e-01  4.87720132e-01 -7.87016153e-01  6.70830905e-01
 -7.50576794e-01 -3.99417460e-01 -2.85624385e-01 -5.96975803e-01
 -2.65847921e+00 -2.70907953e-03  2.61351913e-01 -1.30412817e-01
 -3.25586349e-01 -1.67129445e+00  7.09663391e-01 -5.69634080e-01
  8.68612289e-01  3.67023051e-01 -4.40197617e-01 -2.39005595e-01
  3.72995436e-01  3.34179342e-01  1.80311441e-01 -1.27970862e+00
  4.92064744e-01 -6.92296505e-01 -4.54515815e-01 -1.23941153e-01
 -1.94746685e+00  8.34321737e-01  2.77964175e-01  2.69568384e-01
 -6.56433403e-04 -2.85483748e-01 -1.28200483e+00 -9.34265018e-01]",1.718586897147147,,
43,CCCCn1c(=NC(=O)c2ccncc2)c(C#N)cc2c(=O)n3cccc(C)c3nc21,"[0, 1, 2, 3, 4, 5]","[-2.1891122   2.4971943  -2.7681496   1.1254684  -0.6630935  -0.39895794
  0.6734882  -0.92459416  0.74305797  1.4040673  -2.5755098  -0.87666273
 -3.1492527   0.2995056  -0.9244359   2.9933548  -0.47837594  0.18445975
  0.4523984  -0.5456017   1.1040033  -0.19131145  0.72663176  0.46127182
  0.4059605   0.5502337   0.582027   -0.9724289   0.75958705  0.45241588
 -0.5913501   0.13909766 -1.170059   -0.20422646 -0.57283264 -0.53108364
 -1.5130504   1.0436449   0.33489427  0.11600411  0.43980742  1.4922538
 -0.6786322  -0.17437969  0.01859641 -1.036398   -1.364557    0.538601
 -0.12759233  1.4854872   1.2529616  -2.7216015  -0.8884486   0.7998271
  1.5453651  -1.01109    -2.3592572  -1.3477806  -1.0406182   0.23854065
  0.02336743  0.99073946  0.6634031  -0.90429866 -1.4435647  -0.05976502
 -0.17903754 -0.1487083  -0.28136402  0.14172262 -0.12136954 -0.13823129
  0.63245004  0.03552532  0.23995873 -0.40248555  0.22960584 -0.15725523
  0.45789582 -0.03814489  1.7000387   0.18893695 -0.45759887 -0.10858783
  0.41993645 -0.8808105   0.52042156  0.19968407  0.38283187 -0.5234891
 -1.9208815  -0.09244096  0.12816513 -0.14400436  1.3390782   0.38984913
 -0.653084   -0.64236975 -0.7475215  -0.14884128 -0.61811256  0.11242118
 -0.12876672 -0.00726421 -0.09990282 -0.25675502 -0.3911984   0.7979383
 -0.14141741  0.01088867  0.24423426  0.2317149   1.4533627   1.3762623
  0.23906958 -1.0459905   0.32782617 -0.18646678 -0.5477787   0.6254767
 -0.3798536  -0.35579616  0.02995545  0.27169198 -0.01182786 -0.11291049
 -0.57328737 -0.38390028]",1.1844968648767749,,
7,CC1CCC(C)N(C(=O)CC(C)NC(=O)c2ccccc2)C1,"[0, 1, 2, 3, 4, 5]","[-5.48101783e-01  1.55898869e-01 -5.07476926e-03 -3.51294667e-01
  4.24109548e-02 -7.06244946e-01  3.16953659e-01 -1.28638148e-02
  1.54903531e-02 -1.99289548e+00  2.14244676e+00  1.99141228e+00
 -3.84050548e-01  1.47652459e+00 -6.46024227e-01  3.71962130e-01
 -6.36840940e-01 -1.51971221e-01 -5.82162559e-01 -1.00546682e+00
  4.89162982e-01 -1.35298681e+00 -3.19630533e-01 -1.00104737e+00
 -2.17904836e-01 -8.18604589e-01  1.65380776e-01 -6.13452733e-01
 -2.10566044e-01  2.60246217e-01 -4.32565510e-01  2.12337947e+00
  3.01356971e-01 -1.03502095e-01  5.73920071e-01  3.64484876e-01
 -2.87918836e-01  1.09225821e+00  1.55427724e-01 -1.43212092e+00
  9.39948320e-01  5.93454063e-01 -5.31897962e-01  1.96082830e+00
 -8.91766667e-01  6.55604601e-01  5.74669659e-01 -1.42014182e+00
  8.73838663e-02 -1.32338077e-01  2.80266881e-01 -1.81434631e-01
  2.92162746e-01  1.52520001e+00  4.04117823e-01  1.05183840e-01
 -3.69780719e-01 -7.00746417e-01 -7.54906535e-02  5.94575524e-01
 -4.44745898e-01  4.58124369e-01 -3.66299510e-01 -2.93508936e-02
 -2.47844994e-01 -3.51610333e-02  4.82813492e-02  5.78625739e-01
 -1.58338577e-01  3.83831561e-02  4.19233143e-02  1.16013110e-01
 -2.05009997e-01  2.04331338e-01 -1.09846771e-01  1.14606455e-01
 -2.07924262e-01  7.92484358e-03 -2.72261798e-01 -3.62349451e-02
  1.23547673e+00  2.18360841e-01  9.78936553e-02 -8.38927627e-02
  9.44799185e-01 -2.09639817e-02 -4.52103585e-01 -4.66191918e-02
 -5.52988350e-02 -1.43264785e-01  3.65127236e-01 -3.95272791e-01
 -1.93319112e-01  1.75466985e-02  1.59158260e-01 -4.31418985e-01
  7.75679797e-02 -7.32592762e-01 -2.06006482e-01  4.97618690e-02
  9.09737468e-01 -2.38301843e-01  1.42052293e-01 -2.82895714e-02
 -1.65011913e-01  1.17812181e+00 -7.52409399e-01 -4.24937725e-01
 -2.21648604e-01  1.76547393e-02  4.76667285e-02 -2.92643085e-02
  3.69199634e-01 -2.35634476e-01  1.00502953e-01 -1.01722705e+00
 -1.27466023e-03 -6.61408722e-01 -6.03755355e-01  3.04005533e-01
  1.48613667e+00  3.02085042e-01 -2.10058227e-01  1.65546179e-01
  8.91824514e-02 -1.52739257e-01 -7.11001992e-01 -1.47216618e-02]",1.058227393665024,,
15,Cc1ccc(NC(=O)NCC2CC[NH+](CCc3ccc(F)cc3)CC2)cc1F,"[0, 1, 2, 3, 4, 5]","[-0.8769538   0.32622302  1.3655152  -2.4757025   0.22815853  1.1837564
 -0.83464795 -1.7162621  -3.1718938   1.6524353   1.7242739   0.1837693
 -0.42631853  1.1201164  -1.5537586   0.11263335  1.0451207   0.06608862
  0.67216915  1.247105    0.697495    1.4502583  -0.36650622  0.77613354
 -1.2081211   0.7523961  -0.5217794  -0.66673434  0.28958628  0.33795586
 -0.54500437 -1.6072999  -1.9102106   0.6844517  -0.54536426 -1.8297386
 -0.7354531  -0.26140785 -0.6756345  -1.2260127  -0.889622   -0.5054201
  1.288574   -1.3555037   0.16682652 -0.5189263  -0.7355992  -0.01216143
 -0.2076596   1.1528316  -0.20478839 -0.04071324  0.0877285  -0.9096306
  0.16310886 -0.24298054  0.03471947  0.53927773 -0.55928516  1.2329547
 -1.5430336  -0.25036353  0.3629544  -0.36960572 -0.19690722 -0.08216456
 -0.05191925 -0.8666104   1.0797825  -0.5443084   0.07102907  0.07014024
  0.0442065  -0.13227487  0.24707717  0.07092691  0.5091428   0.13153338
  0.32572156 -0.3717461   1.5556018  -0.18203205 -0.01768395 -0.13108274
 -1.0758942   0.00725263 -1.8778601  -0.16536334 -0.01408667 -0.1441271
  0.51188797 -0.31339824  0.07328835  0.02052658 -1.2291889   0.4305412
 -0.5298732   0.41219765  0.07784584  0.08776823 -0.24469234  0.03522367
  0.04583945 -0.02625817 -0.0574469  -0.19043732  0.06639889  0.60409665
  0.3603939   0.03139746 -0.55922085  0.03937632 -0.02445406  0.134058
  0.03089423  0.17130542  0.2747      0.9764356   0.4708557  -0.02537394
 -1.0675865  -0.17748952  0.09125648  0.0753483   0.03342928 -0.05267446
 -0.01682527  0.12241638]",0.8685412137449193,,
14,Cc1ccc(NCC(=O)NNC(=O)C2CC2c2cccc(F)c2)c(C)c1,"[0, 1, 2]","[-1.34835529e+00 -1.76246583e-01 -3.27709466e-02 -1.45453763e+00
  2.60578752e-01  6.27246499e-02 -5.53670645e-01 -2.43843484e+00
 -6.35031819e-01 -8.73561502e-02 -5.04657936e+00  1.00590920e+00
  5.46126127e-01  6.90914094e-01 -4.36639786e-02  2.01170254e+00
  1.03394985e+00 -5.87032795e-01 -1.70674419e+00  5.20484149e-01
  9.68186796e-01  1.29190147e+00 -4.78970468e-01 -1.34921455e+00
 -3.09966028e-01  9.29417729e-01 -6.12812281e-01 -5.58763742e-01
 -5.82029104e-01  6.98045850e-01 -1.12305677e+00 -2.33167529e+00
  3.71917427e-01  2.12810874e-01  1.88152134e+00 -7.74925053e-01
 -5.35604119e-01  2.82350779e-01 -7.08844900e+00  6.93859959e+00
 -1.41600192e-01  1.36033475e-01  2.73467481e-01  4.97295521e-02
  1.06497931e+00  1.09801233e+00  1.48101306e+00  3.49300075e+00
 -1.13765931e+00  1.43075430e+00  1.24737835e+00 -1.58613968e+00
 -9.63965034e+00  1.23371744e+00  1.24800372e+00  5.13841450e-01
  6.70101464e-01 -2.86917567e-01 -4.76548016e-01  8.42174411e-01
  2.41230041e-01 -3.26479733e-01  1.05563307e+00  9.33190155e+00
 -6.18268130e-03  9.16076005e-02  4.06905785e-02  1.02787882e-01
 -4.44966823e-01 -7.20820367e-01 -1.28993958e-01  2.28996679e-01
 -2.94693738e-01  1.19630657e-02 -4.68617678e-03  2.41520777e-02
  8.82360339e-01 -3.58789682e-01 -3.21164206e-02  2.25971282e-01
  1.12869692e+00  1.52351141e-01 -2.64932483e-01 -7.71138221e-02
 -1.07838675e-01 -4.18465316e-01  4.77012664e-01  1.55371830e-01
  1.24600500e-01 -3.47924978e-01  2.91037321e-01  1.03551775e-01
 -7.81111717e-02  1.62708074e-01 -2.23399684e-01  9.73712727e-02
 -8.85240138e-02  4.92295623e-02  3.11509341e-01 -9.70156938e-02
  4.15584832e-01 -8.54043439e-02 -1.17722377e-02  1.50342301e-01
  1.43526733e-01 -4.12724018e-01 -5.42076826e-01  3.15391302e-01
 -9.56746042e-02  1.24350563e-02  1.02690160e-01  4.40757722e-02
 -9.53202784e-01 -1.49394155e-01 -3.55546102e-02  7.23879635e-01
 -4.18670475e-02 -9.87875223e-01  9.05601740e-01 -1.21016991e+00
  1.27424085e+00 -3.41361910e-02  2.75186300e-02  7.29679689e-02
 -3.28746624e-04 -6.36614621e-01  6.23148322e-01 -2.59708017e-01]",1.0813640425030473,,
11,CCN(CC)C(=O)COC(=O)c1ccc(C=O)cc1,"[0, 1, 2, 3, 4, 5]","[-1.23657298e+00  4.91236269e-01 -2.20074511e+00 -1.37745118e+00
 -1.31217554e-01 -1.60769129e+00  2.04009995e-01  1.43470418e+00
 -1.60455704e+00  3.14072341e-01 -9.96176481e-01  1.05111504e+00
 -9.11368430e-02  8.67298484e-01  2.11230588e+00  2.60941565e-01
  4.38094735e-02  2.68968046e-01 -1.67673558e-01  5.59775352e-01
  1.01299798e+00  8.79457235e-01 -2.99947321e-01 -8.31758618e-01
 -1.86269134e-01 -7.41310358e-01  2.99102306e-01  1.26472974e+00
 -1.04542589e+00 -4.41743404e-01 -8.31486106e-01  8.28186214e-01
 -6.40840113e-01 -2.32389718e-01  3.11368674e-01 -7.28101134e-01
 -1.05547714e+00 -1.96982670e+00 -3.62235427e-01 -5.01775146e-01
  1.23792541e+00  1.88473463e-01  1.64833760e+00  1.24061501e+00
 -4.13677514e-01 -2.05772609e-01  7.85890818e-01 -6.16809964e-01
  3.48233461e-01 -3.59081268e-01 -1.51712096e+00 -1.38157368e+00
  4.64862257e-01  9.00151372e-01  3.37753683e-01 -2.66933799e-01
  6.65228009e-01 -1.11621249e+00  1.15296149e+00  3.97954196e-01
 -8.65674376e-01  5.75791478e-01 -2.26019919e-02  1.82993680e-01
 -5.07762671e-01 -1.12961993e-01  5.44870794e-02 -1.92277074e-01
  1.86967671e-01  4.32574749e-02 -1.36735346e-02 -1.13267407e-01
  4.39676106e-01  2.40894943e-01 -4.28173929e-01  2.65039783e-02
 -1.30864561e-01  1.58416167e-01 -6.65894197e-03 -2.60140806e-01
  1.37747025e+00 -6.89205751e-02 -2.19148174e-02  8.10728967e-02
  1.35885671e-01  4.41509783e-01 -2.65294820e-01 -9.63337794e-02
 -1.47625789e-01  3.79866600e-01  3.23275745e-01 -7.78699741e-02
 -2.80222446e-01  4.86976728e-02 -2.41416737e-01  2.54263252e-01
  2.17248440e-01 -6.51010647e-02  5.33154309e-02  1.31654888e-01
  2.38138884e-01 -1.50773488e-03 -4.73785326e-02  1.18060917e-01
 -5.90213761e-03  1.27239895e+00  1.14520505e-01  6.45919740e-02
  1.27410442e-01  7.92484283e-02  3.51395369e-01 -5.66317588e-02
 -5.40086389e-01 -8.07721913e-03 -5.48407212e-02  1.31777465e-01
 -2.30570763e-01  8.25271532e-02  2.58430913e-02 -6.03847265e-01
 -5.36836743e-01  6.95561320e-02  1.11589253e-01 -5.40040284e-02
  8.51426199e-02  2.80103981e-01 -1.40938902e+00  4.07538414e-02]",1.3824410142640124,,
