smiles,parent1_id,reaction_id,zinc_id,source,generation,parent2_id,compound_id,fitness
CN(C)C(=O)c1ccccc1NC(=S)N(C(=O)OCC(F)(F)C(F)F)C(=O)C1CCCCC1,30.0,12,ZINC000034601589,mutation,"[1, 2]",,50.0,1.3919487885083472
CC[C@@H]1CCC[C@@H]1NC(=O)[C@H]1CCCN1C(=O)c1ccco1,42.0,23,ZINC000022129979,mutation,[1],,51.0,-1.007134898515026
O=C(c1ccc(Cn2nnc3ccccc3c2=O)cc1)N(Cc1ccccc1)c1nc(Cl)ns1,8.0,18,ZINC000004254807,mutation,"[1, 2]",,52.0,1.6193597609619785
CC(=O)c1ccc(NC(=O)c2nc3c([N+](=O)[O-])cc(Cl)cc3c(=O)n2[C@H](C)CCc2ccccc2)cc1,14.0,44,ZINC000004748127,mutation,"[1, 2, 3]",,53.0,2.3897311124794127
CC=C(C)C(=O)Nc1cccc(-c2nccn2CCC)c1,22.0,26,ZINC000059727325,mutation,"[1, 2]",,54.0,1.5170433483376118
CCCCOc1cccc(OC(=O)N(C)C(=O)C2CC=CC2)c1,19.0,23,ZINC000306424298,mutation,"[1, 2]",,55.0,1.1755597491812728
C[C@@H]1CCN(C(=O)Nc2ccccc2-c2ccncc2)C[C@@H]1OC(=O)[C@H](C)C1(N)CC1,18.0,14,ZINC000082411176,mutation,[1],,56.0,-0.610407733252742
COCCNC(=O)c1csc(-n2c(-c3ccccc3)nc3c(O)ccc(Cl)c3c2=O)n1,49.0,44,ZINC000090685631,mutation,[1],,57.0,0.5300231647564932
C[C@H]1CCCN(C(=O)C(=O)N(C(=O)NCCCCCCN=C=O)c2ccc(F)cc2)C1,12.0,31,ZINC000001718505,mutation,[1],,58.0,-0.7132295742654413
CC(C)C[C@H](CNC(=O)N(C(=O)[C@H](C)C#N)c1ccc2c(c1)COC2)N1CCOCC1,48.0,23,ZINC000005082838,mutation,[1],,59.0,-1.8553533669346547
C[C@@H](NC(=O)NCC1(Cn2nnnc2CNC(=O)C=C2CCCC2)CC1)c1noc(-c2ccc(Cl)cc2)n1,43.0,75,ZINC000732157999,mutation,[1],,60.0,-0.9005861688257883
Cc1cccc(OC(=O)N(C[C@@](O)(c2cccs2)C2CC2)C(=O)C(=O)Nc2ccc(C)c(C)c2)c1,1.0,12,ZINC000002582037,mutation,"[1, 2]",,61.0,1.208106049593558
Cc1noc(C)c1[C@@H](C)N(C(=O)C[C@H](C)S(=O)(=O)c1ccc(F)cc1)C(=S)Nc1ccc(Cl)c(C(=O)O)c1,16.0,32,ZINC000031829452,mutation,"[1, 2]",,62.0,1.1382393476328703
CNC(=O)c1cccc(N(C(=O)CC(=O)NN)C(=O)Cc2nn(C)c(=O)c3ccccc23)c1,32.0,13,ZINC000005494299,mutation,[1],,63.0,-3.333461844922682
CCCCC(=O)N[C@@H](C)c1cn([C@H]2CN(C(=O)c3ccc4c(c3)[nH]c(=O)n4C3CCCC3)CC[C@H]2C)nn1,45.0,48,ZINC000165295129,mutation,[1],,64.0,-0.2862588663912409
CCCn1ccnc1-c1cccc(N=C=S)c1,22.0,10,,mutation,[1],,65.0,0.9323357386616977
O=C(c1ccccc1)N(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1,8.0,26,ZINC000198622977,mutation,"[1, 2, 3]",,66.0,2.1889998379971902
CCCCOc1cccc(OC(=O)N(C)C(=O)CN(N=O)C(C)C)c1,19.0,13,ZINC000031342748,mutation,[1],,67.0,0.12429040943574708
CC(=O)c1ccc(N(C(C)=O)C(=O)C(=O)N[C@H](C)CCc2ccccc2)cc1,14.0,23,ZINC000014628854,mutation,[1],,68.0,-0.08098639064916852
C[C@@H](O)Cc1nnn([C@H]2CN(C(=O)Nc3ccccc3-c3ccncc3)CC[C@H]2C)c1-c1cccnc1,18.0,50,ZINC000034276573,mutation,[1],,69.0,0.048721962709774136
CN(Cc1ccccc1)C(=O)c1ccc(Cn2nnc3ccccc3c2=O)cc1NC(=S)NC(=O)C1CCCCC1,8.0,,,crossover,"[1, 2]",30.0,70.0,1.8837805702545771
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)CCc2ccccc2)c(-c2ccncc2)c1,14.0,,,crossover,"[1, 2]",18.0,71.0,1.313863269544688
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5ccc(Cl)c(C)c5)c(=O)n(C)c4nc23)c1,21.0,,,crossover,[1],38.0,72.0,0.7712603289854834
C[C@@H]1CCC[C@@H](C)N1C(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,24.0,,,crossover,[1],13.0,73.0,-0.07253657688081006
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1,42.0,,,crossover,[1],21.0,74.0,0.20191786873417078
CCCn1ccnc1-c1cc(F)cc(N)c1OCc1nnc(S[C@H](C)C(=O)N(C)C)o1,22.0,,,crossover,[1],7.0,75.0,-0.6292838872965743
COCC[C@@H](C)C(=O)N1c2ccc(Cl)cc2C[C@@H]1C,20.0,,,crossover,[1],43.0,76.0,-0.006587393393090224
COc1cccc(-n2c(C)cn3c4c(=O)n(Cc5cccc(C)c5)c(=O)n(C)c4nc23)c1F,12.0,,,crossover,[1],21.0,77.0,0.11994658279607157
CCCn1ccnc1-c1ccc(C(=O)Nc2nc(C(=O)NCCOC)cs2)c(N)c1,49.0,,,crossover,[1],22.0,78.0,-0.008136288410758308
Cc1c(F)cc(NC(=O)C(=O)NC[C@@](O)(c2cccs2)C2CC2)c(OCc2nnc(S[C@H](C)C(=O)N(C)C)o2)c1C,1.0,,,crossover,[1],7.0,79.0,-1.4132554368742127
COCCNC(=O)c1csc(NC(=O)c2cccc(-c3ccncc3)c2NC(=O)N2CC[C@@H](C)[C@@H](O)C2)n1,18.0,,,crossover,[1],49.0,80.0,-0.8420942663386917
Cc1noc(C)c1C(C)NC(=O)N[C@H](C)c1noc(-c2ccc(Cl)cc2)n1,16.0,,,crossover,[1],43.0,81.0,0.4228844319343844
CC(C)C[C@H](CNC(=O)NC12C=C3COCC3(C(=O)N3CC[C@@H](C)[C@@H](O)C3)C=C1NC(=O)N2C1CCCC1)N1CCOCC1,48.0,,,crossover,[1],45.0,82.0,-4.63590786534188
CN(C)C(=O)c1ccccc1NC(=S)NC(=O)C1CCCCC1,5.0,,,crossover,[1],30.0,83.0,0.8163791322317794
CN(C)C(=O)c1cccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)c1NC(=S)NC(=O)C1CCCCC1,32.0,,,crossover,[1],30.0,84.0,0.3049359464233734
Cc1c(C(=O)N2CC[C@@H](C)[C@@H](O)C2)cc(NC(=O)C(=O)NC[C@@](O)(c2cccs2)C2CC2)c2c1[nH]c(=O)n2C1CCCC1,45.0,,,crossover,[1],1.0,85.0,-2.192270290986531
COCCNC(=O)C1CSC(c2ccc([N+](=O)[O-])o2)N1Cc1ccco1,27.0,,,crossover,[1],49.0,86.0,-2.0822365721051592
CCOC1C(C)CCC(Nn2cccc2)N1C(=O)C(=O)Nc1ccc(F)cc1,0.0,,,crossover,[1],12.0,87.0,-2.0741577663333493
C[C@H]1CCCN(C(=O)C(=O)Nc2cc(-c3nc([C@@H](C)NC(=O)NCC4(CO)CC4)no3)c(F)cc2Cl)C1,43.0,,,crossover,[1],12.0,88.0,-1.5403923796525125
CN(Cc1nccs1)C(=O)C1C(C)(C)C1(C)C,15.0,,,crossover,[1],4.0,89.0,-0.1406765940616297
O=C(NCc1ccccc1)c1ccc(Cn2nnc3ccccc3c2=O)cc1,,,,initial,"[0, 1]",,8.0,1.115381143909167
[H]N(C(=O)OC1=C([H])C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C([H])C([H])=C1[H])C([H])([H])[H],,,,initial,"[0, 1]",,19.0,0.9229186300242547
CN(C)C(=O)c1ccccc1NC(=S)NC(=O)C1CCCCC1,,,,initial,"[0, 1]",,30.0,0.8163791322317794
