compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
41,Cc1ccc2sc(N(CC3CCCO3)C(=O)CCSc3ccccc3)nc2c1C,"[0, 1, 2, 3, 4]","[-9.0084374e-01 -1.6192865e-01 -5.5177379e-01  6.4335960e-01
 -7.0117667e-02  4.7980273e-01 -2.4736373e+00  2.4351764e+00
  4.5420372e-01 -4.6059760e-01  1.0700326e+00  5.0724059e-02
 -1.6466984e+00 -5.6239235e-01 -6.3071191e-01  1.8668461e+00
  1.4982596e-02 -9.6364498e+00  1.7772031e+00  1.6082385e+00
  6.1209071e-01  2.3857386e+00 -4.0754643e-01  1.8968714e+00
  4.4553734e-02 -9.0404266e-01 -5.2557158e-01 -1.3216581e+00
  6.3812488e-01 -7.6126784e-01 -8.9249241e-01 -1.2347376e+00
  7.2052598e-02  1.5387198e-01 -1.8536582e+00 -2.2588105e+00
  6.8462706e-01  7.0579171e-01 -2.3581196e-01 -1.8876960e+00
 -1.7396908e+00 -1.7623653e+00  2.8630054e-01 -4.5776834e+00
 -8.8157308e-01  3.7055695e-01  3.2365286e-01 -3.5218269e-01
  1.1426859e+00 -3.1437063e-01 -1.9529682e-01  5.4156494e+00
  2.1282983e+00  2.2206368e+00  1.2991640e-01 -9.9306524e-02
  1.5948060e+00 -3.8890278e-01 -3.5826200e-01 -8.3544344e-02
 -4.7907722e-01 -6.6538185e-01  6.6015601e-02  1.7042880e+00
 -2.1698664e-01  1.5523002e-02  4.1732587e-02 -2.4896079e-01
  6.7072141e-01  4.1216096e-01  8.5621201e-02 -1.4004111e-01
  5.8631539e-02 -1.5180631e-01  5.5846548e-01  2.4696621e-01
  4.6737584e-01 -3.4060186e-01 -4.1130170e-02 -6.1971855e-01
  1.2993119e+00 -1.4326601e-01 -2.3515582e-01  2.3055125e-02
  4.2243877e-01  5.9534055e-01  6.1965537e-01  8.1448421e-02
 -1.3345948e-01 -4.7595921e-01 -9.0514946e-01  8.8030495e-02
  6.5152705e-02 -1.8464556e-01 -3.5587385e-01  4.5356062e-01
 -1.3187860e-01  1.2728225e-01 -1.4694420e-01  4.4755589e-02
 -3.3323449e-01  9.1899097e-02  1.4458865e-02  6.4077616e-02
  1.0505253e-01  5.8594722e-01  1.0634648e+00 -6.5509164e-01
 -1.7589575e-01  8.4325977e-02 -4.6287185e-01  1.9053847e-02
  1.4563910e+00 -8.2173124e-03  1.2302695e-01  3.4705281e-02
  1.5808479e-01  2.8875458e-01 -2.1067038e-01  1.0857802e-02
 -1.0594501e+00  3.9640032e-02  1.7411169e-01  7.9711139e-02
 -3.7651047e-02  6.8719387e-03 -2.7922493e-01 -1.3569702e-01]",2.226052072670739,,
40,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)Nc2nc3c(Br)cccc3s2)cc1,"[0, 1, 2]","[ 6.72569275e-01 -2.33043647e+00  1.58098340e+00  1.50344324e+00
 -4.46524620e-02 -3.53961706e+00 -5.33542871e+00 -1.89865577e+00
  8.90447855e-01  1.17811513e+00 -2.10784987e-01 -5.03417778e+00
  2.53447145e-01 -6.64525032e-01  6.63626552e-01  1.18057263e+00
  7.95601964e-01 -4.99961436e-01  7.56855667e-01 -5.38783908e-01
  7.76332617e-03 -4.70584452e-01  2.76334953e+00  5.11509061e-01
 -6.37391567e+00 -2.69928515e-01 -8.67978036e-01  9.07367766e-02
 -1.18341529e+00 -6.24555290e-01  6.11021662e+00 -2.09441352e+00
  2.13325799e-01 -6.62912726e-02  1.14956913e+01  8.60416710e-01
  9.51918721e-01  3.14276189e-01  1.16087055e+00 -7.98684359e-01
  4.95657682e-01  1.14496250e+01  2.96893150e-01 -1.06825292e+00
  1.10703540e+00  6.37948179e+00  1.78509831e+00 -1.45404553e+00
 -2.29494119e+00 -8.13494921e-02 -5.26850224e-02 -4.61539602e+00
  5.22333145e+00 -1.81388110e-02 -9.03913081e-01  2.51883090e-01
 -2.37570500e+00  1.82845306e+00  4.09431756e-01 -4.12846744e-01
 -5.84270620e+00 -3.98754787e+00 -7.06200778e-01  6.68467760e-01
  1.97853938e-01 -1.98839530e-01 -1.28250718e-01  3.06407779e-01
  7.95269758e-02  2.53936708e-01  4.25731726e-02 -2.07926169e-01
  1.21875554e-01 -3.33801270e-01  3.38228792e-01 -1.61123753e-01
 -3.88819605e-01 -6.46109357e-02 -1.72218367e-01 -4.09153014e-01
  8.35790932e-01  1.15908042e-01 -1.27008662e-01 -1.94187625e-03
  2.99028099e-01 -1.33546561e-01 -1.34813353e-01 -1.26020238e-01
 -1.72544867e-01  4.62211460e-01 -1.86107612e+00  7.27147698e-01
  5.90554103e-02 -7.53581226e-02 -1.52069509e+00 -4.58761185e-01
 -6.10363901e-01  4.47312713e-01  6.10686004e-01  3.64413023e-01
 -2.55364776e-02 -9.34948996e-02  6.82616606e-02  5.63247800e-02
  1.45610180e-02  1.29653239e+00  9.37140644e-01 -6.27762675e-01
 -3.39780226e-02 -1.24864429e-01  5.51899016e-01  1.55718893e-01
  4.08717722e-01  5.96989274e-01  2.10162804e-01  3.76582980e-01
  1.95207268e-01  4.69803721e-01 -2.07701087e-01 -1.06713891e+00
 -8.69293928e-01 -2.21348137e-01  1.30198151e-01 -9.37830657e-02
 -7.46511817e-02  8.80052745e-02  1.57298476e-01  3.92226100e-01]",1.2646966352895124,,
3,CCC(C)C(=O)Nc1ccc(C(=O)NCCc2ccccc2)cc1,"[0, 1, 2, 3, 4, 5]","[-6.6863942e-01 -2.4202414e-01 -9.1540927e-01 -2.1171992e+00
 -2.0803487e-01 -3.7268314e-01  3.7007570e-01  5.6352460e-01
 -1.2067994e+00  1.1220621e+00  6.1058396e-01  2.0183361e-01
  1.8936695e-01  3.9149609e-01 -1.3949134e+00 -4.1632742e-01
  1.1564651e+00  4.9856466e-01  1.1144534e-01 -7.6350838e-01
  3.8789582e-01 -2.6794596e+00  2.4944004e-01  6.0638744e-01
 -4.0057707e-01 -2.3104888e-01 -4.0185705e-01  1.5189908e+00
  8.7263286e-01 -7.4106717e-01 -2.1753767e+00 -5.1403046e-01
 -2.2647190e-01 -1.5259454e-01 -1.1153543e+00 -3.4940147e-01
 -1.1380389e-01 -2.1887055e-01 -3.3007290e+00 -1.0113007e+00
 -6.0165948e-01  2.4027493e+00  9.1858429e-01  1.1704774e+00
 -3.3198825e-01  3.3997178e-02  1.7185285e+00 -1.0960246e+00
 -9.2179441e-01 -6.3814658e-01 -1.6503179e-01 -3.4673184e-01
  1.2060101e+00  1.9804633e-01 -1.5859327e-01 -5.0567114e-01
  1.6007149e+00  6.5428942e-01 -7.6931947e-01  6.3477671e-01
 -9.0860069e-01  1.1815052e+00  3.2966098e-01  6.1338305e-01
 -7.7736181e-01 -7.3755749e-02 -8.0412000e-02 -1.7621683e-01
  2.8210261e-01 -5.4500240e-01  3.8863942e-03  4.6431184e-02
  3.0416942e-01 -7.4717745e-02 -3.6610663e-01 -4.7018290e-02
  3.5828283e-01 -1.0470353e-02 -1.2962365e-01 -4.8393756e-03
  1.3484178e+00  1.5939230e-02 -1.4172333e-01  8.1153683e-02
 -1.5386158e-01 -4.2312303e-01 -1.0381496e-01 -9.8590553e-04
 -1.7773817e-01  2.9786387e-01 -4.7239639e-02  2.7743784e-01
  1.2691846e-01 -1.2039712e-02  1.7957440e-01  2.1327853e-01
 -1.2649035e-01  3.5996079e-01  2.0672764e-01  3.3747077e-02
  2.4399430e-01 -2.0251307e-01 -3.8850479e-02  9.4988704e-02
  4.9373239e-02  7.3212671e-01  3.7409878e-01  4.5022890e-01
  1.4512537e-01 -1.4298216e-01 -1.8213084e-01  3.2352872e-02
 -2.2130196e-01  3.1361273e-01 -3.9684922e-03  8.8231295e-01
 -3.7660971e-01 -7.2009850e-01  6.9309998e-01  1.0465041e-02
 -8.6338454e-01 -6.8030089e-02 -1.7639548e-01 -6.4789623e-02
 -4.7590807e-02 -4.6012843e-01 -4.1560426e-01 -7.3921539e-02]",1.6826212849574715,,
8,Nc1cc(Br)ccc1NC(=O)CCC1CCCC1,"[0, 1, 2, 3]","[ 2.2599251e+00  1.5558013e+00  7.5218958e-01 -1.6979008e+00
 -9.0588212e-02  1.1528506e+00 -2.0381765e-01 -1.3908007e+00
  2.7003920e-01 -1.7154634e-01  3.5275906e-02  1.5271035e+00
 -1.5158221e+00 -3.4360881e+00 -1.3139541e+00 -2.8639159e+00
  1.2684015e+00  8.4736890e-01 -3.9643997e-01  9.1488600e-01
 -2.0181936e-01  1.6067518e+00 -1.1766726e+00  2.1280813e-01
 -6.3237029e-01 -3.3851969e-01 -4.3519020e-02  1.1143918e+00
 -1.4146647e+00 -8.5090524e-01 -1.1177732e+00 -6.8722963e-01
 -9.3606412e-01 -3.9494991e-01  1.2899389e+00 -5.7734245e-01
  4.5300379e+00  1.0331416e+00  1.0424984e+01 -4.3439186e-01
 -2.0312762e-01 -4.3928471e+00 -2.7084297e-01 -9.6850854e-01
 -2.5946307e+00  1.7145598e-01 -6.2955850e-01 -3.9760554e-01
  8.6501396e-01 -1.2305001e+00  6.1868310e-01 -7.6299043e+00
  1.1740434e+00 -1.4486219e+00  6.8453842e-01 -3.3146942e-01
 -2.1524105e+00 -7.7046818e-01 -2.0068958e+00 -2.9873757e+00
 -2.2796245e+00  4.0759988e+00  1.2448033e+00 -1.1497500e+00
 -4.8318991e-01  3.3428621e-01  1.7894882e-01 -4.5066929e-01
 -1.0948130e+00 -3.4590068e-01 -5.0102964e-02  2.1482140e-02
  4.2632306e-01  1.4691909e-01 -4.0508050e-01 -1.8796532e-01
 -2.6988643e-01 -5.5939257e-02  1.9727238e-01  1.6091142e-02
  1.3563025e+00 -2.5162083e-01  1.5514748e-01 -1.4569378e-01
 -1.2478598e+00 -1.3152584e-02  8.5540706e-01 -8.3627090e-02
  8.9078628e-02 -4.2657647e-01 -9.9040270e-02  2.4117117e-01
 -1.3368425e-01  1.0484474e-02  7.1380925e-01  6.0647976e-01
  2.0030418e-01  2.0068252e-01  6.2278765e-01  4.4691548e-02
 -1.1070622e-01  2.0068876e-01 -2.4941472e-02 -1.5875727e-02
 -6.5158494e-03  4.5460647e-01 -1.7675711e-01  1.5159140e+00
 -1.5331399e-01 -5.7425205e-02  6.3617337e-01 -9.7503379e-02
 -1.2505176e+00  3.2297805e-01 -1.0397366e-01  4.0882233e-01
  2.3637053e-01 -2.9860964e-01  7.4148035e-01 -1.8834167e+00
  1.5672045e-02 -3.3388773e-01  8.5144244e-02  2.2939816e-01
 -1.4401123e-01  2.8418088e-01 -1.9132978e-01  1.1889949e-02]",2.097771875938044,,
44,O=C(Nc1ccc(Cl)cc1Cl)C(=O)NC1CCSc2ccc(F)cc21,"[0, 1, 2, 3]","[ 2.16656780e+00 -6.44127071e-01  1.72725999e+00  7.58313417e-01
  1.05068684e-02 -2.17963839e+00 -9.69170094e-01 -1.74392784e+00
  2.59260654e-01  1.02392185e+00 -4.58778441e-01 -2.98850864e-01
  1.56230390e+00 -5.73362768e-01 -1.04804838e+00  2.53756553e-01
 -4.08968091e-01  6.89435303e-02  8.72713551e-02 -4.31693792e-01
  3.09418410e-01  2.64460087e+00  9.53262746e-02  1.08748794e+00
  5.06203532e-01 -1.95348501e-01  1.28138900e+00 -2.46774733e-01
 -1.26512504e+00  2.74509251e-01 -7.69737363e-03  4.16038096e-01
 -3.87130976e-02 -1.32779941e-01 -8.01414609e-01  3.00788224e-01
 -1.10641229e+00 -6.63887918e-01 -1.43984652e+00 -1.02664733e+00
 -5.31225562e-01 -1.30397677e-02  2.11327052e+00 -1.34242749e+00
  1.10782504e+00 -6.39971375e-01  7.47069836e-01 -1.52664006e-01
 -6.49221659e-01  7.82900751e-01  1.92286015e+00  1.56236076e+00
 -5.60952306e-01  3.56510460e-01  9.32236761e-02 -4.59180921e-01
  1.11255670e+00  1.38152897e-01 -1.38241744e+00 -1.22928321e-01
  9.15655196e-01  1.09115258e-01 -1.53987551e+00 -1.43920481e+00
 -1.25192642e+00 -1.45715326e-02  4.90623713e-03  1.52042806e-01
 -1.18591285e+00 -2.97709107e-01 -2.64933594e-02  1.89662635e-01
 -5.46347797e-01  2.18196332e-01  5.19462645e-01  2.27082521e-01
 -3.58696043e-01 -5.87282419e-01 -2.07507759e-02  3.37402552e-01
  1.67595482e+00  1.22566096e-01 -4.35911268e-02  4.62621003e-02
 -1.08649540e+00 -1.11385852e-01 -3.49348933e-01  1.77618653e-01
 -1.22427613e-01 -8.39063764e-01 -1.47984552e+00  4.74433243e-01
  6.66595578e-01  1.52196735e-03 -4.38087910e-01  1.37517661e-01
  2.99707890e-01 -1.29808605e-01 -2.20566183e-01 -2.41775125e-01
  7.16339052e-02 -3.49192172e-02  4.15206701e-02  2.30144292e-01
  5.89905903e-02 -9.11070466e-01 -1.43077004e+00  5.19767046e-01
 -3.64540756e-01 -1.08131610e-01  1.64380163e-01  2.22577006e-02
 -7.05612540e-01 -9.22818631e-02 -4.90700454e-03  2.64662355e-01
  3.53870273e-01 -3.35225224e-01  5.07187605e-01  1.19900778e-01
  1.70782804e-01 -2.49619380e-01 -3.01188469e-01 -7.76668862e-02
  3.02592665e-03 -5.99696040e-02  1.14874995e+00  1.12886086e-01]",1.3823577476540727,,
50,CCC(N)C(F)(F)F,"[0, 1]","[ 1.13758993e+00  3.36976230e-01  7.65880525e-01 -2.40352917e+00
  3.43209720e+00 -1.37654924e+00 -9.17842388e-02 -3.50874543e-01
 -7.01031983e-01  1.54159808e+00  1.77638412e-01  8.12844813e-01
 -1.27038360e-01 -1.19366562e+00  1.66228175e-01 -3.91118348e-01
  7.88904905e-01 -1.39384103e+00 -2.90246546e-01 -9.99868512e-02
 -1.42782569e+00  1.06265759e+00  1.28317118e+00 -1.74708056e+00
 -1.27521300e+00  4.15120184e-01  1.45751548e+00 -2.54428363e+00
 -1.82298732e+00  2.58163524e+00 -1.02613986e+00  1.12435484e+00
 -5.08021712e-01 -5.34626544e-01 -1.60146773e-01  9.23112988e-01
 -2.72863245e+00  1.68955779e+00  1.91685677e-01  1.50368094e-01
 -1.14332843e+00  3.95655632e-01  1.29124701e+00 -1.16940999e+00
  5.53139448e+00 -1.37685704e+00  6.75657839e-02  1.35551345e+00
  6.27535105e-01 -5.25564766e+00  2.25720096e+00  5.80824375e+00
 -8.06920826e-01 -5.90313959e+00  8.76302528e+00 -5.74268699e-01
 -3.69936562e+00  7.26815224e-01 -1.58056998e+00 -6.34772301e-01
 -2.38131952e+00  1.05939895e-01  7.05474317e-01  5.73147953e-01
 -3.65328401e-01  3.51198554e-01 -1.03509463e-02  8.37872028e-01
 -6.75756097e-01  1.13854635e+00 -2.04037577e-01  3.65760028e-01
  3.57519150e-01 -3.82190704e-01  9.62161124e-01 -2.59759337e-01
  4.65703249e-01 -9.90179852e-02  3.56025040e-01  9.95865643e-01
  1.25153351e+00 -3.84821385e-01 -1.44103393e-01  3.78325582e-04
  1.27859458e-01 -4.62892324e-01  1.01908350e+00  2.52594978e-01
  1.50384635e-01 -3.77683550e-01 -3.91575664e-01 -3.55899334e-01
 -4.89173084e-02  2.05623806e-01 -1.70847702e+00  7.36272275e-01
 -6.97148681e-01  8.54625225e-01 -1.72373819e+00 -4.01046872e-01
  1.98815107e-01 -1.66124046e-01 -1.69662476e-01  3.37819129e-01
  8.02046880e-02 -3.07224095e-01 -1.46587408e+00  7.46462822e-01
  3.35704923e-01  1.06689706e-01 -1.91653103e-01 -4.57360186e-02
 -1.94283664e+00  1.78378373e-01 -1.29138548e-02  2.49864936e-01
 -4.14535880e-01 -6.14300489e-01  2.43663251e-01  1.04554987e+00
  2.78088570e-01 -3.87517601e-01  1.09977350e-01  7.33255267e-01
  7.61098787e-02 -1.01052356e+00  1.42003274e+00 -8.66682768e-01]",-1.9085647469899554,10.0,
30,CCOc1ccc(NC(=O)Cc2c(F)cccc2Cl)cc1S(=O)(=O)N(C)C,"[0, 1, 2]","[  0.6954389    5.738424    -2.1497285    0.4607321    7.5798554
   0.4704309    0.06367747  -1.1901444   -0.870402     0.7732018
   1.2169565    1.2345551   -0.53062254   7.6244597   -1.6342863
   0.1685437   -0.24937351  -0.1669038   -0.5251508   -1.7660776
   1.7920021    2.416763    -0.25076866   1.313115     0.49057776
  -0.56740415   1.2728162   -0.6733779   -0.58590573   2.590763
   0.94361746   0.6411845   -2.054447     0.21888226  -0.10002416
  -0.82927036   0.2142616   -0.5066217    1.5274187  -11.254983
  -0.6724674   -0.6595698    9.792802    -2.7483807    0.787285
  -1.9329228    0.07444541  -0.24488753   0.5138235   -1.0392692
   0.20066512  -1.3721001   -0.51219755   0.36018687   0.8380718
  -0.13637605  -0.24111614  -1.667554     3.0816543    7.420693
   0.77952707   0.14754584  -0.41892278  -6.153739     1.3328145
  -0.20416969  -0.1498618    0.69811887   0.38632584   0.55390275
   0.06608364  -0.2375272   -0.30331734   0.03421279   0.9460676
   0.1955705   -0.29138482   0.5523428   -0.46839222   0.0924108
   0.99875975   0.05838923   0.5041926   -0.03837457   1.0065323
  -0.57635427   0.4166371   -0.23172262   0.10950421   1.4772685
  -0.0230054    0.38340548   0.3487805   -0.07400793  -0.10377687
  -1.092807    -0.1809524    0.24498318   0.02972572   0.11633387
   0.92886186  -0.11696041   0.03726664  -0.1921165   -0.17635751
  -0.26135397  -0.18678685  -0.13077769  -0.03615171   0.08111195
   0.9357548    0.03809267   0.8480102    0.19667053   0.08337973
   0.14812103  -0.20595211   0.5461539    0.17193717   0.6573876
  -1.2707815   -0.21405621   0.01770531  -0.02497091   0.09238742
  -0.47944865   1.4723527    0.13979624]",1.3373038790326324,,
46,CCN(C(=O)Cc1ccc(NC(=O)C2CC2)cc1)C(C)c1ccc(F)cc1,"[0, 1, 2, 3]","[ 1.25026119e+00  6.82102442e-02  4.78122187e+00  3.48028541e-02
 -2.89070398e-01 -6.85760498e-01 -2.04972565e-01 -7.22439826e-01
  1.01301223e-01  2.90558100e+00  2.98115778e+00  1.78239778e-01
  7.35548377e-01  1.16795707e+00 -2.47711301e-01  1.02685794e-01
  6.83491945e-01 -2.86731815e+00  2.76640439e+00  2.80627012e+00
  2.40836239e+00  9.88194108e-01  1.36437445e+01  9.62980390e-01
  1.39393657e-01 -3.64200532e-01  4.22933012e-01 -3.13298559e+00
  8.71408105e-01  1.93959737e+00 -2.30461192e+00  3.58002901e-01
 -7.56017268e-01  1.32704824e-01 -2.40387872e-01 -1.25751674e-01
 -4.32311028e-01 -2.44816750e-01 -1.83367109e+00  6.55926108e-01
 -1.42928171e+00 -9.20119882e-03  1.39180827e+00 -5.53586006e-01
 -1.19444752e+00 -1.43054914e+00  1.16467929e+00 -1.59330535e+00
  6.10884249e-01 -3.62874210e-01  5.81841230e-01  3.71397471e+00
  6.40619397e-01  4.95882809e-01  1.58457780e+00 -4.43953419e+00
  5.09168744e-01 -1.85716736e+00 -3.66120756e-01 -2.76726055e+00
  5.57886171e+00  2.24509716e+00 -2.15289831e+00  9.66401815e-01
 -7.43364453e-01 -1.09402470e-01 -1.78691223e-02 -2.15183511e-01
  6.05766177e-02 -6.40881777e-01  1.02491930e-01 -8.30975771e-02
  9.13878530e-03 -1.28316972e-02 -2.38405854e-01  3.52390073e-02
 -3.08224529e-01 -3.33309174e-04 -1.77279279e-01  5.21020293e-02
  1.37491119e+00 -9.76491421e-02 -4.46311273e-02  4.43650037e-02
 -4.26517189e-01 -2.70582289e-01 -8.46754372e-01 -5.32486737e-02
 -9.49115306e-02  2.14364260e-01 -2.22988859e-01  1.08168945e-01
  3.35110724e-02 -7.09553808e-02 -1.18839884e+00  1.29608259e-01
  2.74299979e-02  1.67418748e-01 -4.09027934e-02 -4.53757644e-02
  2.93820053e-01 -7.41025358e-02 -6.80299401e-02  4.85118181e-02
 -3.01444009e-02  9.11429882e-01  1.62511811e-01  6.30516887e-01
  1.00400053e-01 -2.99953017e-02 -1.39055431e-01 -7.53659904e-02
 -3.79900277e-01  1.66857645e-01 -7.51407295e-02  4.32807326e-01
 -1.86853468e-01 -2.59566963e-01  2.66405970e-01  1.63567185e-01
 -1.04163027e+00 -2.05116197e-02 -9.74698067e-02  9.91993472e-02
 -1.91319697e-02 -8.03283900e-02 -4.26931143e-01  1.29639851e-02]",1.7534139583144928,,
1,CCNC(=O)C1(Cc2ccccc2-c2ccncc2)CCCN(C(=O)c2cccc(F)c2)C1,"[0, 1, 2, 3]","[ 0.9271396  -0.16559789 -2.7896771   0.9243388  -0.2458461  -1.0781432
  0.40539038 -0.41837192 -0.8828541  -0.2731285   2.2866216   0.35516432
  2.109539    1.1894827  -1.5386951   1.1253085   0.30749315  0.8324261
 -0.9407047   2.112666    0.5913514   1.1498109  -0.03173456  0.27486086
  0.25889903  1.0845572  -0.38494536  0.66694677 -0.71418524  0.34080726
 -0.3110366  -1.6549642  -2.1422296  -0.09826981 -0.75035864 -0.15356952
 -0.84996414 -0.36534974 -0.46454668  0.70204496  0.86978537  2.1583745
  0.25826317 -0.27059317 -2.1607122  -0.60696614  1.574119   -1.7086214
  0.35292232 -1.923108   -0.42666262 -1.0430318  -0.4301917   0.73549974
  0.73789024  0.3255426  -1.1644897  -0.30729476 -0.8052512   1.008987
 -0.51224786  1.625544   -2.159391   -0.45933163  0.34889385  0.2954777
 -0.02259047  0.31051564  0.2148389   0.8561861  -0.1564841   0.04846309
  0.05534753 -0.34942952  0.5555703  -0.03300518  0.5799369  -0.1417803
  0.18849213 -0.48349294  0.78406286  0.06771266 -0.27568674 -0.01521495
 -0.6802009  -0.11851229  2.2706525   0.23598199 -0.00449286 -0.57750756
  0.53824264  0.1453799   0.28951195 -0.09719861  0.5903082   0.50136644
 -0.7341386   0.6612142  -0.56164235  0.02959493 -0.17711174  0.06129292
  0.07197875 -0.06817205 -0.00916435 -0.06083165 -0.8541435   0.17543058
 -0.15363418 -0.01273253  0.32298037  0.08410212 -0.53786874  0.9551383
  0.33773574 -0.37253305  0.3294323   0.3388315   0.23249507  1.2113216
  0.90386397 -0.21998358  0.08302029  0.11793018 -0.03844103 -0.5105188
  0.3119579  -0.48331323]",1.252619689465169,,
6,CCOC(=O)C(NC(=O)c1cccc(F)c1)c1c(C)nn(-c2ccc(F)cc2)c1C,"[0, 1, 2, 3]","[-4.02184933e-01 -7.40740180e-01 -4.20623302e-01 -3.44850630e-01
 -7.31806979e-02 -1.37590373e+00 -3.76103222e-01 -1.11937344e+00
 -9.56562638e-01  1.29505789e+00  1.40623260e+00 -1.71298981e-01
  4.68518615e-01 -3.57482761e-01 -5.68978965e-01 -5.94494522e-01
  2.54271328e-01  1.10714257e-01 -1.15077817e+00 -3.71795535e-01
  8.51808846e-01  1.41993904e+00  4.92294848e-01  3.17090809e-01
  2.40053773e-01  2.62825131e-01  2.10659206e-02 -9.54678059e-01
 -1.58392191e-01 -8.21369886e-03 -6.45492136e-01  3.08621854e-01
 -2.05019736e+00 -1.37643456e-01 -5.00703454e-01  6.40969157e-01
 -4.14267868e-01  2.01678205e+00  1.78797579e+00 -8.03273916e-01
  7.17549980e-01  6.92305326e-01  1.95576549e+00  1.97313473e-01
 -7.19639719e-01 -1.37042427e+00 -6.00286484e-01 -3.06066179e+00
  3.47162545e-01 -5.24809122e-01 -3.67150992e-01  3.86321694e-01
 -1.37026310e-01 -7.67923892e-02  1.76398480e+00  8.94728303e-02
  2.33966660e+00 -1.08982980e-01 -1.58888221e-01 -6.70603991e-01
  1.97764206e+00  6.74437225e-01 -1.00022984e+00  4.27383900e-01
 -3.52705300e-01  6.08437061e-02  7.33028725e-03  3.17980379e-01
 -3.83454710e-02  5.52664287e-02 -7.05739334e-02  2.39848375e-01
 -2.19681174e-01 -8.66219029e-03  3.93367678e-01  5.81806675e-02
  9.08826530e-01 -1.29076689e-01  8.01487863e-02 -4.20713425e-02
  1.22303867e+00  3.65379825e-02 -1.35385752e-01 -6.36284649e-02
  3.42259526e-01 -3.37320447e-01  3.55587274e-01  5.35992347e-02
 -9.91821289e-04 -3.24214041e-01  1.97994307e-01 -2.74959594e-01
 -1.61147714e-02  4.84744906e-02 -1.11761189e+00  2.98837095e-01
 -3.87759179e-01  1.50328621e-01 -5.15023768e-01 -1.33941889e-01
  2.72604078e-02 -5.12625054e-02  3.58927995e-02  1.64668858e-02
  5.23702018e-02 -3.84812504e-01 -8.34912300e-01 -2.13469028e-01
  1.26655340e-01  1.67522002e-02  1.12030685e-01  3.98372933e-02
 -3.31778437e-01 -4.13149558e-02  9.75890309e-02 -1.73141897e-01
  2.35199034e-02 -6.00877881e-01  1.09557319e+00 -5.75512171e-01
  8.96498024e-01 -5.03788143e-03 -2.20804289e-02  2.84969985e-01
  2.37898603e-02 -7.88335621e-01  4.22366679e-01 -2.56587178e-01]",0.8872171169494149,,
