compound_id,smiles,generation,chromosome,fitness,parent1_id,parent2_id
1,Fc1cccc(F)c1CNc1ccc(Cl)c(Br)c1,"[0, 1]","[ 1.68993735e+00  3.37901890e-01  5.14984548e-01  3.80187631e-01
 -2.31206685e-01  1.42116880e+00 -9.08428669e-01  5.93906403e-01
  1.67000815e-01  7.66661048e-01 -1.78609824e+00  5.95401168e-01
  1.86868572e+00 -2.78704911e-01 -8.98491144e-01  7.06374288e-01
 -6.99671149e-01 -1.23258308e-01  1.28397083e+00 -8.30833316e-02
  1.12433350e+00  1.53034711e+00  1.05658054e-01 -1.85801864e-01
 -1.23838484e-02  3.78421962e-01  1.97109193e-01 -1.28377962e+00
 -1.79601955e+00 -2.01269090e-01  4.96126682e-01 -1.03241158e+00
 -1.13526583e+00 -4.59338725e-01 -7.13004470e-02 -3.94660592e-01
 -1.39743781e+00  3.71473312e-01 -2.51599014e-01 -6.45587683e-01
 -3.26418430e-01 -5.92796624e-01  1.11876082e+00 -1.70197845e+00
  6.86905384e-01  2.70237833e-01 -1.50242209e+00  9.40262794e-01
 -9.05484796e-01  1.53943503e+00  2.27918386e+00  2.32522082e+00
 -5.35988688e-01 -7.21872747e-01  1.70315266e+00  1.41394079e-01
 -5.38470149e-02 -1.27043593e+00 -1.89066815e+00  1.11735749e+00
 -5.82474351e-01 -8.33962202e-01  1.38809037e+00  1.90364981e+00
  2.13727593e+00 -2.24480674e-01  3.10064852e-03  1.45309949e+00
 -3.46946716e-03  8.42823386e-01 -4.57162596e-02 -1.17155015e-02
 -1.48110294e+00  6.74627423e-02  1.80870867e+00 -2.24153742e-01
 -8.01371574e-01  5.62350571e-01 -9.14997458e-02  5.83767474e-01
  8.34995389e-01 -2.04924643e-02  3.29170376e-01 -1.53549284e-01
  1.12826943e+00 -1.40030837e+00  1.24197841e-01 -1.61740392e-01
  2.21797690e-01  1.05340350e+00 -3.51845801e-01  3.41238886e-01
  1.83671653e-01 -2.83225626e-03  1.38405561e-02 -1.72202277e+00
 -5.34526229e-01  7.14226961e-02 -4.60846066e-01 -1.05692625e-01
  6.21919036e-02 -1.18460514e-01 -4.04301435e-02 -2.95843810e-01
 -1.27063856e-01 -6.60907030e-01 -7.63157010e-02 -2.19048187e-01
  2.42898434e-01  1.37154192e-01  2.98224211e-01  8.83966312e-02
  1.31116533e+00 -2.90140152e-01  6.18743859e-02 -7.04887867e-01
  1.48107409e-01  6.51287377e-01 -1.60292661e+00  1.53037739e+00
 -2.57754946e+00 -8.91609192e-02 -2.35056877e-03  2.36580387e-01
  8.80847052e-02 -8.30574989e-01  1.67072034e+00 -4.07501310e-02]",3.2686782403888532,,
15,COc1ccc(CNC(=O)N(C)Cc2ccc3c(c2)OCO3)cc1F,"[0, 1]","[ 2.7209011e-01 -1.5178770e-01  1.0029980e+00 -1.3902178e+00
  2.9477027e-01 -4.1947711e-01 -3.9682505e-01  3.6775145e-01
 -1.9795229e-01  1.2738207e-01 -7.5790823e-01  1.9145503e+00
  1.0654714e+00 -1.4574242e-01 -5.0378168e-01  6.0139549e-01
  1.5759568e-01  9.0544170e-01  1.0530486e+00  1.0874680e-01
  5.9884250e-01  6.0956430e-01 -1.5491992e-02  2.3735911e-01
  2.0990717e-01  4.3009430e-01 -2.1615726e-01  3.9550313e-01
  1.4528935e+00 -5.7526070e-01  3.5083540e-02  7.7060878e-02
 -1.2015191e+00  4.4667083e-01 -1.7982423e-02 -2.4901640e+00
 -1.1778351e+00  3.1639701e-01  7.4325776e-01 -3.8600719e-01
 -8.2721162e-01 -9.6641988e-01 -1.8746465e-01 -1.5770003e+00
  5.1396263e-01 -1.5477147e+00 -1.3758565e+00 -3.4837127e-02
  2.6556343e-01  4.7349185e-01 -5.5921179e-01  4.8386384e-02
 -2.0139349e+00 -1.1069287e+00  6.8495417e-01  9.3115062e-02
  6.1943758e-01 -2.3213542e-01 -1.3191849e-02 -1.6574856e-02
 -1.1560762e+00  3.1512105e-01  8.4581721e-01  1.0548015e+00
 -1.7012468e-01  2.2696856e-02 -2.9991463e-02 -7.9118752e-01
  1.1156356e+00 -8.5408419e-02 -3.9776426e-02  5.3233236e-02
  2.0544046e-01  7.0537739e-02  4.4794172e-01  8.4206380e-02
  1.0469321e+00  8.6451873e-02 -1.8083189e-01  4.7241747e-02
  1.6850868e+00  5.3393140e-02  2.0492226e-01 -3.7450608e-02
  5.2975440e-01  2.4985777e-01  1.4148653e-02 -2.2836342e-02
  1.5670770e-01  2.4442491e-01  2.1667022e-01 -8.1080385e-02
  1.3279618e-01 -1.8721269e-02 -2.0627151e-01  1.4840151e-01
  3.4814990e-01  1.0284400e-01 -1.1556871e-01 -5.3601995e-02
  3.6175293e-01  1.1982885e-01  7.1344659e-02  6.8858422e-02
  2.6806891e-02  6.0130304e-01 -3.1264299e-01 -4.2717300e-02
 -3.0765760e-01  3.2006960e-02 -3.3805856e-01 -1.3370514e-03
 -8.5312176e-01 -2.5020245e-01 -1.2740213e-01  9.6293598e-02
  1.2557584e-01  3.4454525e-01  6.2776512e-01  7.4263918e-01
 -4.6665812e-01 -2.0905819e-02  8.5487366e-03 -2.4282275e-01
  4.4491440e-02 -2.7918965e-01 -4.8918524e-01 -1.2871526e-01]",1.5827447988570391,,
7,Cc1oc2ccccc2c1-c1ccc([N+](=O)[O-])cc1,"[0, 1]","[ 1.0168381  -0.7708138  -1.7133143   0.063977   -0.18851095  2.1859493
 -0.5581997   0.5553329   0.30758274 -0.9909703   0.1552755  -0.15895659
  0.16861105 -0.32879436  0.892895   -1.4708245  -1.1148634  -1.3472712
  2.2082832  -1.2950913  -0.4467825  -0.04804274  1.0185701  -0.68493295
 -0.87268186  1.2158122  -1.4445219  -0.15153748 -0.92752314 -0.65283203
  0.2652404   1.2181447   0.39543772  0.6217452   2.3766842  -0.46781313
 -0.23341425  0.2380034  -2.2975242   1.4882609   1.119226   -0.7334842
 -0.5494505  -0.65769184  0.16801563  0.10124761 -0.7145503   0.09164122
 -1.3154317   0.9280221  -1.2756476   1.3179169   1.3080574   0.24495885
  0.12937483 -1.2222142   1.2733997   0.21396053  1.1990589   0.5546661
  0.35648966 -0.773632    0.4380318   0.59962785 -1.2373304  -0.26522985
  0.15337339 -0.14141011 -0.08197635 -0.45791224  0.00400129 -0.0235678
  1.171798    0.6957087  -0.40495384 -0.2532118  -0.21396047  0.09058554
  0.04480061  0.21103364  1.484917   -0.22634743 -0.05005159  0.20612939
 -0.03319946  0.14261262  0.03042731 -0.14726213  0.08373836 -0.13244748
  0.28283834 -0.6172534  -0.18381956 -0.30146277  0.04065138  0.8540022
 -0.06066636  0.03754745 -0.6842642  -0.05085042  0.10823004  0.12700367
 -0.04785206  0.05549397 -0.08698291  1.901125    1.142857   -0.7031868
 -0.3410768   0.11038923 -1.0104123  -0.2714806   0.51185435 -0.1504386
 -0.18505272 -0.4515318  -0.58016956 -1.269376   -0.27988592 -0.24845898
 -1.3598874   0.16019481 -0.14698426  0.45493513 -0.08114575  0.52418196
 -2.3750672  -0.35407346]",2.9544160150051746,,
50,CCS(=O)(=O)c1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc([N+](=O)[O-])cc1,"[0, 1]","[ 8.4494543e-01  4.5030653e-02 -9.1619216e-02  2.0524693e+00
  4.0048342e+00 -3.8954592e-01 -7.5883323e-01  1.2030054e+00
  2.6821268e-01  2.6664421e-01 -9.2315227e-02 -4.9743474e-01
 -3.2147899e-01  5.6271887e-01 -1.0073284e+00  1.0579252e+00
  9.6957064e-01 -5.8373708e-01  1.0163517e+00 -3.2750857e+00
 -6.2262642e-01  6.9415432e-01  3.9410180e-01 -5.2023596e-01
 -6.3266921e-01 -7.7054305e+00  3.2776412e-01 -5.5945599e-01
  9.1261762e-01  6.4380711e-01 -8.1111199e-01  8.9393896e-01
  4.1847715e+00 -3.6041063e-01 -6.5278292e-02  8.6884618e-02
  1.6808293e+00 -7.5043738e-01 -1.6272502e+00 -1.1818609e+00
  3.8556173e-01  3.7043192e+00  1.9344985e-02 -1.1419374e+00
  8.7849826e-01  5.2066433e-01  1.2296647e-02 -9.1141391e-01
  2.8473322e+00  8.1915194e-01 -3.8555670e-01  1.0898553e+00
  4.5872939e-01  1.1032164e-02  7.5811070e-01 -5.7204109e-01
  1.3499451e+00 -7.4038321e-01  2.6612955e-01  5.4725285e+00
  1.3534275e-01  6.0885382e-01 -6.5054202e-01 -5.8884054e-01
 -5.0208472e-02 -1.8205124e-01  7.1650505e-02  1.9901460e+00
 -1.1519817e+00  7.8364521e-02  9.2855105e-03  3.9373111e-02
 -1.3119421e+00  1.6672993e-01 -7.5582027e-02 -1.1751816e-02
 -5.2727396e-03  2.3101950e-01 -2.4481149e-01  2.4149120e-01
  1.3057097e+00  1.0396987e-02  1.0456757e-01 -8.3515853e-02
  3.9680794e-01 -8.4639823e-01 -6.5878153e-01 -1.5454209e-01
 -2.8886160e-01  3.8201952e-01 -3.8533264e-01  9.1400951e-02
  3.5403532e-01 -8.1597134e-02  1.0437337e-01 -1.3398435e+00
 -2.2858185e-01 -6.5724981e-01 -5.2999765e-01 -8.5073918e-02
 -1.5178480e+00  1.0620174e-01 -7.5406902e-02  1.2783168e-01
  1.2676977e-01  2.1604422e-01 -6.9775075e-01 -1.0662178e-01
  2.4424127e-01 -4.5693316e-02 -8.7326056e-01 -1.1955242e-01
  1.8153915e+00 -4.0246007e-01 -1.8868972e-01 -4.0560022e-01
 -9.8939210e-02 -6.1574543e-01  1.0730502e-01  7.7893281e-01
 -6.9427299e-01  1.4034546e-02  5.4155007e-02  5.1998638e-02
 -1.7315544e-02 -2.5729182e-01 -4.4996768e-01  1.4427559e-01]",1.196156505293863,48.0,
17,Cc1ccc(C)c(CC(=O)Nc2nnc(Cc3ccc(C)c(C)c3)o2)c1,"[0, 1]","[-9.40811217e-01 -7.96978235e-01 -1.62115622e+00 -2.15078926e+00
 -1.02143556e-01  1.06109989e+00  2.98795700e-01 -1.57881951e+00
  8.52501273e-01 -1.03285599e+00 -2.04166338e-01 -1.16465092e+00
 -7.70125687e-01  9.85770702e-01 -2.32032275e+00  1.37200236e+00
 -1.00466944e-01  1.25282466e+00  3.01797986e-01 -8.39903593e-01
  1.42277777e+00 -1.54134762e+00 -1.04973841e+00 -4.46473360e-01
 -2.23251835e-01  3.46110821e-01 -1.80189860e+00 -2.32802480e-01
  6.23390436e-01 -8.95308256e-01 -9.20878649e-02 -2.51515055e+00
 -1.09953570e+00 -2.71807760e-01 -6.02198720e-01 -1.53625488e+00
 -8.19486737e-01  1.10090566e+00  2.74777710e-01 -1.28760457e-01
 -9.71497536e-01  9.70605016e-01  1.88947737e-01  3.93394887e-01
  2.53021455e+00  2.88790560e+00  1.51931322e+00 -9.59323883e-01
  3.68629098e-01 -9.72943187e-01 -1.07204199e+00  6.63854480e-02
 -6.46569371e-01 -7.74652004e-01  4.53382730e-04 -1.18916690e-01
  1.37909925e+00 -3.74573231e-01 -7.09453344e-01  8.18530858e-01
 -1.25283790e+00 -1.00784314e+00  7.59324431e-01 -6.20294631e-01
 -3.53083491e-01 -6.82793632e-02 -7.86251277e-02  4.42543089e-01
  1.09709895e+00 -4.93850023e-01  4.08454128e-02 -2.76237428e-02
 -2.53797531e-01 -1.10186033e-01  3.00838351e-02  1.30512789e-01
  5.53102553e-01  8.30513835e-02  3.05153519e-01 -4.89265978e-01
  1.44250941e+00 -3.57566178e-02  2.30773121e-01 -5.66005707e-03
  6.47381604e-01  8.53460878e-02 -9.01399672e-01  9.68112051e-03
  1.05275571e-01 -2.32141107e-01  8.05395246e-01 -3.15042019e-01
 -4.77576405e-02 -1.80054158e-02 -3.78550440e-02 -2.23796263e-01
 -3.08925599e-01  2.57943571e-02 -2.11578280e-01 -1.03583753e-01
  5.15676677e-01  1.08445428e-01  4.71472144e-02 -5.33167943e-02
  4.49641198e-02 -4.57003713e-04 -6.94131255e-01 -6.39755487e-01
  1.79975107e-01  1.80253685e-01 -7.52815485e-01  1.16745666e-01
  1.00889921e+00 -5.00440121e-01  1.40328467e-01 -6.16611660e-01
 -3.91834378e-02 -1.98494226e-01 -5.23330569e-01  9.80051100e-01
  7.62366593e-01  5.77030033e-02  7.72261024e-02 -1.93101019e-02
  1.10727772e-02 -2.32224733e-01 -6.46486878e-02 -1.37480617e-01]",2.26822706671208,,
26,COCc1nn2c(C(F)(F)F)cc(-c3cccnc3)nc2c1-c1ccc(OC)c(OC)c1,"[0, 1]","[-0.28379822  1.4523576  -1.6325088   1.1034383  -0.54725254  1.1252701
  1.4572728   1.9318419  -1.10055     1.1191475   0.12442195 -1.5951587
  0.32448292 -1.9623697  -1.1747588  -0.0888319   1.2018745  -0.46575782
  0.13585547 -0.7614029   2.2908764   0.04493098  1.4038483  -0.74701715
  0.5684725   0.9313774   1.0146751   1.0361091   1.9281762   0.16849029
  2.826869    0.6690914  -0.8820923   0.51603764 -1.4027675  -1.7703966
 -0.5776767   1.373728    2.9111125   2.1607656  -0.5689448  -1.8408775
 -0.22816673  0.14029491 -1.35798    -1.1864595  -1.8616216  -0.04640117
  0.21279676 -0.47680473 -1.4985076   0.08414297  0.41973424 -0.79506624
  0.9296623  -0.716993   -0.6094737   2.1548772  -2.6578953   0.9605129
  3.1551137  -0.5258428   0.58881986  0.9219804   1.5638822   0.09750792
 -0.1737974   0.4928405   0.6183711   0.58883774  0.13075706 -0.20511223
  0.06056333 -0.6350945  -0.9181146   0.10945693  0.39032733  0.18662602
 -1.3274217  -0.45981437  1.6062708   0.3295619   0.1525335  -0.3490782
  0.38086644  0.55565745 -0.90374964  0.21971472 -0.02357584  0.16683662
  1.0249496   0.5414152   0.90989435  0.21222727 -0.97936624 -0.767308
  0.79861695  0.20643458  1.7561506   0.2000615   0.8920839   0.02057022
  0.16353825 -0.08501345 -0.03654043 -0.47518927  0.27261347 -0.57398814
 -0.40721738 -0.05339817 -0.35154366  0.06890821 -0.01441026  1.5542464
 -0.14652729  0.24191111  0.03138697  1.2867048   0.74728113  0.41261894
 -0.6690467  -0.46890002 -0.03220372 -0.95651215  0.25973305 -0.01412958
  1.9098339   0.31089604]",2.2092385266292025,,
11,O=C(NCc1ccn(C2CCCC2)n1)Nc1cncc2ccccc12,"[0, 1]","[-0.21459067  0.5129347   0.79998136 -0.82335913 -0.35440853  0.09864372
 -0.20401669 -0.3994521  -2.3790157  -0.24897493  0.20314728 -0.87878484
  1.3346758  -0.87191534  0.6577164   0.27305084  1.498834   -0.702254
  0.19946647  1.3422804  -2.4783802   0.2809882   0.7424946   1.5844922
 -0.38223544  0.05841586  1.5985498   0.85247505 -0.52445674 -0.24452478
  0.6638068   1.0996163  -1.0304024   0.17899865  0.89459753  0.7665832
 -0.62297964  0.29726243  0.5983374   1.7420311  -0.6926768  -0.6489999
 -0.7531402   0.429793   -0.42839703 -2.2989852   0.21624342  1.4985844
 -1.694113    1.6115763   1.6591351  -0.7059862  -0.7354504   0.6303867
 -0.30223554 -0.08834618  0.2033441  -0.4961856   1.2654067   0.81694555
 -0.8539578  -1.252261   -2.104152   -1.1059182  -0.01476595 -0.13856024
  0.14441934  0.7866452   0.13239221  0.97590744  0.18461768 -0.09045577
 -0.94641554 -0.2981218  -0.6235285   0.62534857  0.08643092 -0.2929022
 -0.8508283   0.05171567  0.61034024  0.224373    0.20955788  0.05569354
 -0.43615395  0.4933728   0.14879574  0.09542741 -0.16258806  0.2697302
  0.4245261   0.12550813 -0.01020782  0.05954712 -1.3098701   0.0362986
 -0.0901204  -0.00813229  0.07489768 -0.62422526  0.8503493   0.04879193
  0.13284498 -0.05227918  0.07548394  0.26118255 -0.34454456 -1.2613406
  0.17134821  0.16794369 -0.7459472   0.00917386  0.259663   -0.63093257
  0.17396453 -0.038342   -0.49329138 -0.7272367   0.43913227 -0.22200139
 -0.33208236  0.08546985  0.00304057 -0.09178097 -0.05710655 -0.46390876
  0.56800586  0.09955104]",1.8632916821346843,,
24,COc1ccccc1-n1nc(C(=O)N2CCN(c3ccc(F)cc3)CC2)c2ccccc2c1=O,"[0, 1]","[ 0.7773321  -0.80116713  0.6192895   0.7857396   0.04461707 -0.32713112
 -0.65405166 -1.2141347  -0.57534736  0.19833845  0.9686206   0.6041114
  1.2779002  -1.4722793   0.5502249   0.2640025   0.08804862 -0.36606175
 -1.1413703  -0.64353436 -0.0116846   2.0990648   1.1041665  -1.2964985
 -0.275954   -0.34481502 -0.6419262   1.8332397  -1.3195958   0.60525626
 -0.4053332  -1.7019157  -0.05184412  0.5434221   1.8720917   1.1931634
  1.1107227   2.0978255  -0.12186438  0.7424889   1.3983836  -0.47104764
  0.01825383 -0.8925407  -0.20640895 -2.2280748   1.1242354  -1.5361896
  0.07763758 -0.59704113  0.3286972  -1.0858557   0.23881114  1.7324344
 -0.67902803  0.42373496  1.3434043   0.91711855 -0.17230308 -0.0194858
 -0.66859424 -0.04105192  1.2640765   2.2306185   0.16031016 -0.05915085
 -0.07049251 -0.04113793  0.03735773  0.7934384  -0.00976053 -0.02077733
 -0.00245777  0.11858927 -0.41535866  0.1479795  -0.4089797   0.04106392
 -0.1382753  -0.2830121   1.1206707   0.0605951  -0.0387653  -0.03521681
 -0.9259446   0.3745557   0.24438147  0.08103757 -0.08479571 -0.09138472
 -0.2182467   0.11358883  0.01336137 -0.099262   -0.64281905 -0.17446434
  0.02502265  0.15633042  0.2907667   0.1606484   0.9173862  -0.13498062
  0.00275672  0.07292284 -0.07374236  0.9868109   0.13279152 -0.24451986
  0.03274597 -0.07939814  0.12022176 -0.00767723  0.1683869   0.3554584
  0.00447723 -0.6030253   0.07712722  0.3100265  -0.15893066  0.307231
  0.31327534 -0.11512802 -0.06975925 -0.16694453  0.15391546  0.84724504
  1.2828686   0.0963607 ]",1.9196755479057677,,
51,CCn1c(=S)cnc2cc3c(-c4nc5ccccc5[nH]4)cc(=O)oc3cc21,"[0, 1]","[ 0.5337682   0.46406782 -1.537524    2.671494   -0.05097555  0.12751284
 -0.5596955  -1.5939865  -0.03823085  0.09148234 -1.2530472  -0.5063132
 -0.86759686  7.3328233   0.51344776  0.7256361  -1.2477283  -1.6328776
  1.6673312   0.87583935 -1.0889248   0.61501384  4.854099   -2.909673
 -0.7717948  -0.00979877 -0.5749221   0.29977173 -2.3897119  -0.78301334
  0.7705177   2.858717   -0.65300745 -0.10437001  0.738862    1.6484692
 -1.6540763   0.18375058 -2.5668707   0.36364487  0.5623039  -1.3756745
 -1.5832868   0.661924   -0.0556788  -2.8697946  -0.23023409  0.72439617
 -2.1806135  -0.9059946  -0.21133038  0.26874357  1.193441   -0.8167603
 -1.2122836  -0.31339866 -1.2016566  -0.28971204  0.8394684  -1.3777348
 -2.5368323  -3.665501    1.7854086  -0.17362827  0.13860205  0.05815601
 -0.01261313 -0.5986143  -0.02138679 -1.1758045   0.10277658  0.07506815
  0.02064067 -0.25038657  0.6317386   0.21230522 -0.35205194 -0.10165304
 -0.41154283  0.30927625  1.2269855  -0.31881127  0.22099194  0.01808517
 -0.2782626  -0.1663934  -0.38647017 -0.03154357  0.08422928  0.17087771
 -0.2486602  -0.05540422  0.13214532 -0.08618869 -0.15811993  0.5785864
 -0.39504793  0.18625519 -0.5251579  -0.35120374  0.11517385  0.04281199
  0.09756894 -0.4761443  -0.01187959 -0.47660255  0.49911076 -1.7415235
 -0.27218068 -0.01985066 -0.25912282 -0.35576215 -0.48621362 -0.3769373
 -0.11790129 -0.22092938  0.02354583 -0.87845224  0.61097884 -0.17998523
  0.6045053   0.3019054  -0.1828368   0.5990069  -0.15390904 -0.68428487
  0.02029718  0.19236416]",1.7098063885541965,40.0,
21,CC1CCC(NC(=O)C(C)SCC(=O)Nc2ccc(F)cc2)CC1,"[0, 1]","[-0.5087085   0.05394822  1.0293684   0.7085681   0.03190352 -0.58702886
 -0.2963218  -1.1005245  -0.7423358  -0.46455175  0.720555    1.6257224
 -0.674084    1.2467178  -0.4971122   0.38157243 -1.4972364   0.86841285
 -0.8564929  -0.5120434   0.07304502 -0.6017439   0.47250706  0.7020165
 -0.37161052  0.44134945  1.3274013  -1.3689542  -0.04499969 -1.2652156
 -1.271212   -0.496323    1.8464713  -0.10878366  0.5400887  -0.14599666
 -0.69427377 -0.79755896  0.5176594  -2.5227072   0.4698623   0.9499581
  0.5668588   0.8937751  -0.9562768  -0.5006199   0.93501633 -0.6109704
 -0.736949   -0.719388    0.34369522 -0.98358905  1.6671925   0.07579345
  1.2958587  -0.6213721  -0.05487621  0.28541225  1.1682383   0.30740246
  0.00567853  0.24333107 -1.6857781   0.7076826  -0.4113654  -0.06902075
 -0.2990803   0.72938436 -0.5822914  -1.1468184   0.04907104  0.09590042
 -0.41176444  0.10889342  0.499296   -0.13596547 -0.14738986  0.15774137
  0.4567926   0.36409637  1.1328048  -0.1656367   0.41177458  0.08877113
 -1.3420578  -0.5814028  -0.90155756 -0.345388    0.34163338 -0.20146045
 -0.48518908 -0.12601611 -0.2099209  -0.17831185 -2.8020277  -0.49777278
 -0.7164038  -0.09945494 -0.09395686 -0.12191421  0.1455285  -0.07133462
 -0.05500148 -0.02228004  0.02818666  0.09829551 -0.71470475  1.5719285
  0.3939712  -0.11527853 -0.16519117 -0.1763286   0.45366734 -0.4641345
  0.11716827 -0.51494974  0.4303644  -0.50582826  0.24116307  0.10137621
 -1.3001435  -0.24554774  0.2691411   0.18726167 -0.08034225  0.08332182
  1.6808405   0.18796457]",1.5353161259212096,,
